date, min_price, max_price
1402/03/03, 2588, 2740
1402/03/02, 2580, 2720
1402/03/01, 2556, 2650
1402/02/31, 2527, 2669
1402/02/30, 2551, 2780
1402/02/27, 2540, 2748
1402/02/25, 2530, 2676
1402/02/24, 2400, 2521
1402/02/23, 2334, 2485
1402/02/20, 2406, 2748
1402/02/19, 2533, 2700
1402/02/18, 2722, 2750
1402/02/17, 2897, 3139
1402/02/16, 3060, 3200
1402/02/13, 3115, 3320
1402/02/12, 3234, 3384
1402/02/11, 3093, 3338
1402/02/10, 3101, 3360
1402/02/09, 3085, 3320
1402/02/06, 3052, 3185
1402/02/05, 2977, 2977
1402/02/04, 2783, 2783
1402/01/30, 2512, 2687
1402/01/21, 3230, 3520
1402/01/20, 3350, 3460
1402/01/19, 3226, 3234
1402/01/16, 2841, 3090
1402/01/15, 2832, 2966
1402/01/14, 2742, 2924
1402/01/09, 2837, 2995
1402/01/08, 2836, 2940
1402/01/07, 2691, 2870
1402/01/06, 2685, 2895
1402/01/05, 2750, 2878
1401/12/28, 2610, 2759
1401/12/27, 2507, 2606
1401/12/24, 2368, 2457
1401/12/23, 2335, 2380
1401/12/22, 2309, 2390
1401/12/21, 2322, 2404
1401/12/20, 2348, 2467
1401/12/16, 2291, 2374
1401/12/15, 2212, 2332
1401/12/14, 2251, 2334
1401/12/13, 2226, 2334
1401/12/10, 2288, 2400
1401/12/09, 2363, 2471
1401/12/08, 2320, 2455
1401/12/07, 2365, 2526
1401/12/06, 2300, 2364
1401/12/03, 2150, 2279
1401/12/02, 2169, 2289
1401/12/01, 2052, 2151
1401/11/30, 1970, 2058
1401/11/26, 1949, 1999
1401/11/25, 1970, 2048
1401/11/24, 2012, 2070
1401/11/23, 2006, 2060
1401/11/19, 2049, 2130
1401/11/18, 1980, 2110
1401/11/17, 1962, 2029
1401/11/16, 1957, 2088
1401/11/12, 2030, 2118
1401/11/11, 2050, 2124
1401/11/10, 1996, 2100
1401/11/09, 2046, 2180
1401/11/08, 2145, 2293
1401/11/05, 2185, 2357
1401/11/04, 2300, 2388
1401/11/03, 2300, 2480
1401/11/02, 2367, 2492
1401/11/01, 2375, 2618
1401/10/28, 2441, 2588
1401/10/27, 2434, 2580
1401/10/26, 2400, 2520
1401/10/24, 2275, 2428
1401/10/21, 2301, 2469
1401/10/20, 2410, 2563
1401/10/19, 2360, 2437
1401/10/18, 2372, 2470
1401/10/17, 2260, 2370
1401/10/14, 2223, 2330
1401/10/13, 2245, 2380
1401/10/12, 2312, 2408
1401/10/11, 2213, 2358
1401/10/10, 2300, 2425
1401/10/07, 2410, 2523
1401/10/05, 2373, 2435
1401/10/04, 2420, 2535
1401/10/03, 2368, 2533
1401/09/30, 2392, 2499
1401/09/29, 2271, 2390
1401/09/28, 2106, 2291
1401/09/27, 2090, 2180
1401/09/26, 2010, 2113
1401/09/23, 2010, 2123
1401/09/22, 1941, 2035
1401/09/21, 1855, 1927
1401/09/20, 1791, 1887
1401/09/19, 1785, 1820
1401/09/16, 1795, 1849
1401/09/15, 1844, 1879
1401/09/14, 1850, 1899
1401/09/13, 1887, 1916
1401/09/12, 1892, 1928
1401/09/09, 1900, 1944
1401/09/08, 1907, 1925
1401/09/07, 1901, 1943
1401/09/06, 1889, 1940
1401/09/05, 1900, 1939
1401/09/02, 1901, 1954
1401/09/01, 1912, 1947
1401/08/30, 1920, 1943
1401/08/29, 1893, 1955
1401/08/28, 1850, 1945
1401/08/25, 1900, 1960
1401/08/24, 1910, 1990
1401/08/23, 1912, 2011
1401/08/22, 1928, 2010
1401/08/21, 1965, 2053
1401/08/18, 1950, 2067
1401/08/17, 1990, 2122
1401/08/16, 1861, 2020
1401/08/15, 1836, 1930
1401/08/14, 1750, 1887
1401/08/11, 1730, 1792
1401/08/10, 1750, 1820
1401/08/09, 1660, 1769
1401/08/08, 1640, 1679
1401/08/07, 1601, 1700
1401/08/04, 1609, 1690
1401/08/03, 1685, 1770
1401/08/02, 1750, 1836
1401/08/01, 1810, 1850
1401/07/30, 1835, 1874
1401/07/27, 1830, 1868
1401/07/26, 1832, 1882
1401/07/25, 1825, 1880
1401/07/24, 1820, 1886
1401/07/23, 1855, 1902
1401/07/20, 1869, 1915
1401/07/19, 1874, 1910
1401/07/18, 1840, 1899
1401/07/17, 1825, 1899
1401/07/16, 1882, 1948
1401/07/12, 1869, 1900
1401/07/11, 1853, 1930
1401/07/10, 1880, 1909
1401/07/09, 1884, 1992
1401/07/06, 1960, 2030
1401/07/04, 1872, 1980
1401/07/02, 1874, 1956
1401/06/30, 1953, 1996
1401/06/29, 1980, 2036
1401/06/28, 2001, 2030
1401/06/27, 2001, 2098
1401/06/23, 2072, 2176
1401/06/22, 2142, 2225
1401/06/21, 2211, 2265
1401/06/14, 2333, 2410
1401/06/13, 2336, 2440
1401/06/12, 2330, 2419
1401/06/09, 2250, 2358
1401/06/08, 2261, 2340
1401/06/07, 2286, 2326
1401/06/06, 2287, 2355
1401/06/05, 2291, 2382
1401/06/02, 2284, 2337
1401/06/01, 2250, 2309
1401/05/31, 2241, 2315
1401/05/30, 2244, 2319
1401/05/29, 2165, 2296
1401/05/26, 2181, 2350
1401/05/25, 2122, 2238
1401/05/24, 2061, 2138
1401/05/23, 2050, 2110
1401/05/22, 2022, 2112
1401/05/19, 1981, 2034
1401/05/18, 1985, 2039
1401/05/15, 1980, 2031
1401/05/12, 1916, 2000
1401/05/11, 1901, 1930
1401/05/10, 1880, 1921
1401/05/09, 1843, 1920
1401/05/08, 1899, 1975
1401/05/05, 1920, 1975
1401/05/04, 1888, 1952
1401/05/03, 1895, 1983
1401/05/02, 1986, 2060
1401/05/01, 2019, 2086
1401/04/29, 2019, 2090
1401/04/28, 2000, 2052
1401/04/26, 1974, 2047
1401/04/25, 2017, 2050
1401/04/22, 2054, 2109
1401/04/21, 2000, 2075
1401/04/20, 2023, 2127
1401/04/18, 2100, 2160
1401/04/15, 2103, 2161
1401/04/14, 2138, 2189
1401/04/13, 2076, 2163
1401/04/12, 2036, 2090
1401/04/11, 2051, 2115
1401/04/08, 2080, 2122
1401/04/07, 2053, 2119
1401/04/06, 2011, 2073
1401/04/05, 2025, 2102
1401/04/04, 2074, 2130
1401/04/01, 2089, 2153
1401/03/31, 2151, 2197
1401/03/30, 2180, 2238
1401/03/29, 2179, 2240
1401/03/28, 2190, 2289
1401/03/25, 2236, 2279
1401/03/24, 2259, 2352
1401/03/23, 2220, 2340
1401/03/22, 2163, 2250
1401/03/21, 2190, 2240
1401/03/18, 2202, 2269
1401/03/17, 2180, 2230
1401/03/16, 2180, 2339
1401/03/11, 2290, 2350
1401/03/10, 2294, 2379
1401/03/09, 2327, 2410
1401/03/08, 2302, 2414
1401/03/07, 2342, 2470
1401/03/04, 2291, 2372
1401/03/03, 2280, 2380
1401/03/02, 2282, 2444
1401/03/01, 2353, 2459
1401/02/31, 2335, 2400
1401/02/28, 2402, 2460
1401/02/27, 2462, 2565
1401/02/26, 2470, 2559
1401/02/25, 2431, 2545
1401/02/24, 2490, 2600
1401/02/21, 2405, 2476
1401/02/20, 2270, 2377
1401/02/19, 2313, 2435
1401/02/18, 2401, 2450
1401/02/17, 2426, 2501
