date, min_price, max_price
1402/03/03, 15605, 15708
1402/03/02, 15598, 15665
1402/03/01, 15570, 15648
1402/02/31, 15500, 15647
1402/02/30, 15550, 15646
1402/02/27, 15500, 15601
1402/02/25, 15470, 15581
1402/02/24, 15410, 15539
1402/02/20, 14743, 15343
1402/02/19, 15125, 15475
1402/02/18, 15037, 15533
1402/02/17, 16228, 16240
1402/02/16, 16219, 16381
1402/02/13, 16139, 16141
1402/02/12, 16030, 16190
1402/02/11, 15870, 16080
1402/02/10, 15878, 15929
1402/02/09, 15574, 15727
1402/02/06, 15125, 15225
1402/02/05, 15050, 15255
1402/02/04, 14776, 14939
1402/01/30, 14726, 14874
1402/01/29, 14557, 14853
1402/01/28, 14178, 14672
1402/01/27, 14229, 14372
1402/01/26, 14171, 14380
1402/01/22, 13869, 14199
1402/01/21, 13610, 14150
1402/01/20, 13769, 14100
1402/01/19, 13615, 13849
1402/01/16, 13379, 13545
1402/01/15, 13274, 13420
1402/01/14, 13335, 13350
1402/01/09, 13266, 13266
1402/01/08, 12935, 12935
1402/01/07, 12764, 12854
1402/01/05, 12764, 12764
1401/12/28, 12537, 12663
1401/12/27, 12260, 12411
1401/12/24, 11871, 12030
1401/12/23, 11819, 11831
1401/12/22, 11841, 11842
1401/12/21, 11924, 11990
1401/12/20, 12189, 12190
1401/12/16, 12161, 12202
1401/12/14, 11890, 12010
1401/12/13, 12010, 12010
1401/12/10, 12089, 12089
1401/12/09, 12100, 12100
1401/12/08, 12040, 12040
1401/12/07, 11841, 12089
1401/12/06, 11658, 11933
1401/12/03, 11456, 11456
1401/12/01, 11206, 11234
1401/11/30, 11025, 11026
1401/11/23, 11206, 11206
1401/11/18, 11094, 11094
1401/11/17, 10995, 10995
1401/11/12, 11094, 11094
1401/11/09, 11065, 11065
1401/11/08, 11263, 11263
1401/11/03, 11393, 11393
1401/10/28, 11467, 11467
1401/10/27, 11353, 11353
1401/10/26, 11293, 11457
1401/10/21, 11342, 11342
1401/10/20, 11323, 11323
1401/10/19, 11214, 11214
1401/10/18, 11187, 11187
1401/10/14, 11122, 11234
1401/10/13, 11145, 11145
1401/10/11, 11136, 11226
1401/10/10, 11167, 11177
1401/10/07, 11160, 11240
