date, min_price, max_price
1402/03/03, 13210, 13800
1402/03/02, 13340, 14140
1402/03/01, 13150, 14120
1402/02/31, 12910, 13280
1402/02/30, 13000, 13980
1402/02/27, 13000, 14100
1402/02/25, 13100, 14000
1402/02/24, 12960, 13600
1402/02/23, 12690, 13280
1402/02/20, 12920, 13750
1402/02/19, 13540, 14120
1402/02/18, 13930, 15290
1402/02/17, 14410, 15820
1402/02/16, 14320, 15180
1402/02/13, 14270, 14890
1402/02/12, 13940, 14800
1402/02/11, 13810, 14310
1402/02/10, 14220, 14570
1402/02/09, 13340, 14300
1402/02/06, 13510, 14450
1402/02/05, 13590, 13930
1402/02/04, 13000, 13600
1402/01/30, 13140, 13780
1402/01/29, 13220, 13940
1402/01/28, 13420, 14410
1402/01/27, 13300, 13890
1402/01/26, 12460, 13330
1402/01/22, 12310, 13050
1402/01/21, 12340, 13030
1402/01/20, 12650, 13250
1402/01/19, 12830, 13580
1402/01/16, 13000, 13090
1402/01/15, 12000, 12560
1402/01/14, 11610, 12370
1402/01/09, 11880, 12290
1402/01/08, 11800, 12170
1402/01/07, 11590, 11980
1402/01/06, 11700, 12350
1402/01/05, 12010, 12090
1401/12/28, 11570, 11810
1401/12/27, 11140, 11480
1401/12/24, 10950, 11170
1401/12/23, 10830, 11170
1401/12/22, 10840, 11200
1401/12/21, 10950, 11650
1401/12/20, 11060, 11700
1401/12/16, 10920, 11230
1401/12/15, 10900, 11200
1401/12/14, 10990, 11220
1401/12/13, 10900, 11240
1401/12/10, 11000, 11490
1401/12/09, 11150, 11450
1401/12/08, 11010, 11350
1401/12/07, 11330, 11830
1401/12/06, 10980, 11640
1401/12/03, 10950, 11500
1401/12/02, 11000, 11490
1401/12/01, 10650, 11250
1401/11/30, 10660, 11390
1401/11/26, 10520, 11360
1401/11/25, 10610, 11170
1401/11/24, 10900, 11470
1401/11/23, 10970, 11480
1401/11/19, 10720, 10980
1401/11/18, 10800, 11050
1401/11/17, 10800, 11030
1401/11/16, 10870, 11290
1401/11/12, 11050, 11450
1401/11/11, 11090, 11570
1401/11/10, 11050, 11600
1401/11/09, 11250, 12000
1401/11/08, 11410, 11920
1401/11/05, 11360, 12200
1401/11/04, 11520, 12110
1401/11/03, 11800, 12250
1401/10/27, 11620, 12550
1401/10/26, 11600, 12500
1401/10/24, 11720, 12230
1401/10/21, 11810, 12570
1401/10/20, 12030, 12700
1401/10/19, 12110, 12500
1401/10/18, 11970, 12450
1401/10/17, 12010, 12450
1401/10/14, 11710, 12160
1401/10/13, 11650, 11960
1401/10/12, 11500, 12000
1401/10/11, 11310, 11950
1401/10/10, 11580, 12000
1401/10/07, 11660, 12150
1401/10/05, 11300, 11620
1401/10/04, 11400, 11770
1401/10/03, 11410, 11780
1401/09/30, 11500, 11890
1401/09/29, 11310, 11630
1401/09/28, 11460, 11740
1401/09/27, 11600, 11890
1401/09/26, 11520, 11960
1401/09/23, 11790, 12350
1401/09/22, 11450, 12000
1401/09/21, 11450, 11960
1401/09/20, 11500, 11930
1401/09/19, 11310, 11600
1401/09/16, 11450, 11700
1401/09/15, 11590, 11870
1401/09/14, 11670, 12000
1401/09/13, 11620, 12200
1401/09/12, 11650, 12190
1401/09/09, 11530, 12250
1401/09/08, 11570, 12000
1401/09/07, 11750, 12320
1401/09/06, 11860, 12450
1401/09/05, 11820, 12910
1401/09/02, 12240, 13490
1401/09/01, 12700, 12900
1401/08/30, 12150, 12410
1401/08/29, 11600, 11830
1401/08/28, 11270, 11270
1401/08/25, 10740, 10740
1401/08/17, 25820, 27660
1401/08/16, 26000, 26800
1401/08/15, 25010, 25620
1401/08/14, 24640, 25330
1401/08/11, 23270, 24990
1401/08/10, 24000, 24870
1401/08/09, 23390, 24610
1401/08/08, 22700, 24200
1401/08/07, 23060, 24000
1401/08/04, 22310, 23340
1401/08/03, 22720, 24070
1401/08/02, 22720, 23500
1401/08/01, 22890, 23860
1401/07/30, 21730, 23500
1401/07/27, 21710, 23400
1401/07/26, 21900, 23500
1401/07/25, 21830, 22730
1401/07/24, 21820, 22940
1401/07/23, 21800, 23000
1401/07/20, 22140, 23000
1401/07/19, 22510, 23350
1401/07/18, 22040, 23210
1401/07/17, 22210, 22820
1401/07/16, 22700, 24000
1401/07/12, 22780, 24150
1401/07/11, 22660, 23660
1401/07/10, 22600, 23840
1401/07/09, 22510, 24400
1401/07/06, 22910, 23890
1401/07/04, 22900, 24000
1401/07/02, 23180, 23890
1401/06/30, 23710, 24440
1401/06/29, 23640, 24390
1401/06/28, 23500, 24990
1401/06/27, 23660, 24550
1401/06/23, 24030, 25500
1401/06/22, 23090, 25500
1401/06/21, 23990, 25100
1401/06/20, 23930, 25000
1401/06/19, 23570, 24990
1401/06/16, 23600, 24000
1401/06/15, 23720, 24140
1401/06/14, 24000, 25000
1401/06/13, 23150, 24690
1401/06/12, 23250, 23990
1401/06/09, 23510, 24690
1401/06/08, 23230, 23540
1401/06/07, 23150, 23600
1401/06/06, 23200, 24250
