date, min_price, max_price
1402/03/03, 7320, 7600
1402/03/02, 7330, 7700
1402/03/01, 7320, 7600
1402/02/31, 7180, 7580
1402/02/30, 7000, 7710
1402/02/27, 7150, 7650
1402/02/25, 6860, 7270
1402/02/24, 6860, 7180
1402/02/23, 6560, 7030
1402/02/20, 6700, 7220
1402/02/19, 6240, 7100
1402/02/18, 6620, 6990
1402/02/17, 7080, 7800
1402/02/16, 7350, 7990
1402/02/13, 7550, 7730
1402/02/12, 7020, 7430
1402/02/11, 6810, 7100
1402/02/10, 6810, 7130
1402/02/09, 6780, 7090
1402/02/06, 6460, 6910
1402/02/05, 6310, 6840
1402/02/04, 6300, 6690
1402/01/30, 6190, 6520
1402/01/29, 6120, 6640
1402/01/28, 6250, 6700
1402/01/27, 6380, 6770
1402/01/26, 6130, 6340
1402/01/20, 6040, 6250
1402/01/19, 5630, 5910
1402/01/16, 5240, 5560
1402/01/15, 5110, 5320
1402/01/14, 4950, 5400
1402/01/09, 4897, 5191
1402/01/08, 4600, 4864
1402/01/07, 4460, 4691
1402/01/06, 4370, 4585
1402/01/05, 4333, 4550
1401/12/28, 4321, 4576
1401/12/27, 4073, 4292
1401/12/24, 3834, 4090
1401/12/23, 3810, 3946
1401/12/22, 3808, 3930
1401/12/21, 3838, 4031
1401/12/20, 3900, 4100
1401/12/10, 4453, 4628
1401/12/09, 4371, 4669
1401/12/08, 4311, 4700
1401/12/07, 4354, 4506
1401/12/06, 4050, 4217
1401/12/03, 3821, 4010
1401/12/02, 3710, 3884
1401/12/01, 3370, 3645
1401/11/30, 3315, 3473
1401/11/26, 3373, 3479
1401/11/25, 3376, 3423
1401/11/24, 3177, 3443
1401/11/23, 3350, 3440
1401/11/19, 3393, 3500
1401/11/18, 3373, 3500
1401/11/17, 3263, 3450
1401/11/16, 3280, 3400
1401/11/12, 3335, 3499
1401/11/11, 3335, 3480
1401/11/10, 3187, 3500
1401/11/09, 3269, 3520
1401/11/08, 3451, 3660
1401/11/05, 3450, 3730
1401/11/04, 3660, 3773
1401/11/03, 3661, 3830
1401/11/02, 3663, 3900
1401/11/01, 3752, 3900
1401/10/28, 3740, 3850
1401/10/27, 3760, 3940
1401/10/26, 3750, 3949
1401/10/24, 3688, 3948
1401/10/21, 3800, 4020
1401/10/20, 3562, 3817
1401/10/19, 3482, 3649
1401/10/18, 3482, 3627
1401/10/17, 3310, 3480
1401/10/14, 3170, 3320
1401/10/13, 3151, 3340
1401/10/12, 3231, 3339
1401/10/11, 3150, 3349
1401/10/10, 3108, 3400
1401/10/07, 3100, 3260
1401/10/05, 2970, 3100
1401/10/04, 2944, 3018
1401/10/03, 2801, 2970
1401/09/30, 2828, 2887
1401/09/29, 2822, 2872
1401/09/28, 2815, 2858
1401/09/27, 2788, 2867
1401/09/26, 2700, 2881
1401/09/23, 2670, 2749
1401/09/22, 2617, 2716
1401/09/21, 2601, 2687
1401/09/20, 2590, 2640
1401/09/19, 2591, 2635
1401/09/16, 2590, 2634
