date, min_price, max_price
1402/03/03, 54000, 56330
1402/03/02, 52710, 55110
1402/03/01, 51250, 54000
1402/02/31, 51150, 53800
1402/02/30, 52000, 55590
1402/02/27, 53410, 54730
1402/02/25, 51050, 54720
1402/02/24, 51300, 56620
1402/02/23, 53920, 54990
1402/02/17, 60840, 64040
1402/02/13, 63000, 66400
1402/02/12, 61030, 63700
1402/02/11, 58500, 61010
1402/02/10, 57000, 58120
1402/02/09, 54100, 55380
1402/02/06, 50930, 53880
1402/02/05, 52020, 53450
1402/02/04, 51670, 53950
1402/01/30, 52110, 53900
1402/01/29, 51610, 54900
1402/01/28, 52120, 56380
1402/01/27, 53040, 56980
1402/01/26, 52740, 55330
1402/01/22, 50050, 54180
1402/01/21, 50610, 53440
1402/01/20, 49800, 51240
1402/01/19, 45500, 48940
1402/01/16, 44310, 47490
1402/01/15, 44200, 46970
1402/01/14, 43350, 46350
1402/01/09, 44020, 46390
1402/01/08, 44000, 44190
1402/01/05, 41830, 43580
1401/12/28, 41400, 42800
1401/12/27, 40100, 41500
1401/12/24, 38500, 41010
1401/12/23, 37960, 40120
1401/12/22, 37820, 39440
1401/12/21, 38040, 39060
1401/12/20, 38000, 40000
1401/12/16, 38900, 40490
1401/12/15, 38710, 40200
1401/12/14, 38510, 39600
1401/12/13, 37200, 40000
1401/12/10, 37370, 39100
1401/12/09, 38760, 39550
1401/12/08, 39000, 40950
1401/12/07, 39400, 42720
1401/12/06, 38000, 41130
1401/12/03, 38150, 39900
1401/12/02, 36700, 38720
1401/12/01, 36000, 37720
1401/11/30, 35000, 36670
1401/11/26, 34770, 36150
1401/11/25, 35380, 36980
1401/11/24, 36130, 37130
1401/11/23, 35010, 36530
1401/11/19, 35440, 37070
1401/11/18, 35930, 37850
1401/11/17, 35120, 37260
1401/11/16, 35340, 37500
1401/11/12, 37050, 39000
1401/11/05, 38120, 40330
1401/11/04, 38580, 40330
1401/11/03, 38120, 39600
1401/11/02, 37800, 39600
1401/11/01, 37920, 39600
1401/10/28, 38090, 39640
1401/10/27, 38400, 39690
1401/10/26, 38570, 39940
1401/10/24, 37870, 39920
1401/10/21, 39300, 41600
1401/10/20, 40000, 42690
1401/10/19, 38300, 41230
1401/10/18, 38010, 40890
1401/10/17, 38010, 39790
1401/10/14, 37500, 39100
1401/10/13, 37010, 39420
1401/10/12, 35710, 37610
1401/10/11, 35160, 37000
1401/10/10, 34170, 37150
1401/10/07, 34000, 36250
1401/10/05, 32600, 35450
1401/10/04, 33720, 34900
1401/10/03, 33100, 34690
1401/09/30, 32940, 33600
1401/09/29, 32540, 33480
1401/09/28, 32500, 33220
1401/09/27, 32450, 33580
1401/09/26, 32600, 33470
1401/09/23, 32400, 33680
1401/09/22, 32570, 33810
1401/09/21, 32380, 33990
1401/09/20, 32400, 33530
1401/09/19, 32520, 34880
1401/09/16, 33070, 34750
1401/09/15, 32580, 34650
1401/09/14, 32700, 33690
1401/09/13, 33000, 33990
1401/09/12, 32460, 34160
