date, min_price, max_price
1402/03/03, 20320, 21320
1402/03/02, 20310, 20310
1402/03/01, 18420, 20200
1402/02/31, 19150, 20150
1402/02/30, 19510, 20190
1402/02/27, 19230, 19230
1402/02/24, 18320, 18320
1402/02/19, 17450, 17450
1402/02/18, 16180, 16620
1402/02/17, 15830, 15830
1402/02/16, 15080, 15080
1402/02/13, 14370, 14370
1402/02/12, 13690, 13690
1402/02/11, 13040, 13040
1402/02/10, 12420, 12420
1402/02/09, 11830, 11830
1402/02/06, 11080, 11630
1402/01/28, 7690, 7690
1402/01/27, 7330, 7330
1402/01/26, 6990, 6990
1402/01/22, 6660, 6660
1402/01/21, 6350, 6350
1402/01/20, 6050, 6050
1402/01/19, 5770, 5770
1402/01/16, 5500, 5500
