date, min_price, max_price
1402/02/31, 15410, 16830
1402/02/30, 15790, 16730
1402/02/27, 16250, 16990
1402/02/25, 15510, 16710
1402/02/24, 15330, 15980
1402/02/23, 15140, 16100
1402/02/20, 15790, 16610
1402/02/19, 16610, 16850
1402/02/18, 17480, 17480
1402/02/17, 18350, 19500
1402/02/16, 18960, 19670
1402/02/13, 18710, 20600
1402/02/12, 19080, 19810
1402/02/11, 18420, 19180
1402/02/10, 17440, 18640
1402/02/09, 17010, 18100
1402/02/06, 17200, 18390
1402/02/05, 17380, 18240
1402/02/04, 16610, 17940
1402/01/30, 16400, 17780
1402/01/29, 16860, 17510
1402/01/28, 15350, 16800
1402/01/27, 15390, 16300
1402/01/26, 15450, 15990
1402/01/22, 14900, 15610
1402/01/21, 14720, 16000
1402/01/20, 14530, 15660
1402/01/19, 14560, 15000
1402/01/16, 13610, 14780
1402/01/15, 13800, 14910
1402/01/14, 13590, 14760
1402/01/09, 13730, 14290
1402/01/08, 13180, 13700
1402/01/07, 12610, 13270
1402/01/06, 12580, 13110
1402/01/05, 13000, 13760
1401/12/28, 12700, 13780
1401/12/27, 13000, 13330
1401/12/24, 12160, 12820
1401/12/23, 11990, 12440
1401/12/22, 12340, 12890
1401/12/21, 12570, 13100
1401/12/20, 13040, 13550
1401/12/16, 13010, 13390
1401/12/15, 12310, 13290
1401/12/14, 12500, 13390
1401/12/13, 12970, 13470
1401/12/10, 13240, 14100
1401/12/09, 13150, 14380
1401/12/08, 13680, 14140
1401/12/07, 13520, 14810
1401/12/06, 13500, 14160
1401/12/03, 12900, 13800
1401/12/02, 12700, 12700
1401/12/01, 11800, 12100
1401/11/30, 11400, 12000
1401/11/26, 11440, 12190
1401/11/25, 11410, 12250
1401/11/24, 11620, 12410
1401/11/23, 12180, 12750
1401/11/19, 12400, 13000
1401/11/18, 12220, 12390
1401/11/17, 11640, 12200
1401/11/16, 12220, 12600
1401/11/12, 12510, 13280
1401/11/11, 12750, 13480
1401/11/10, 13210, 13450
1401/11/09, 13900, 13900
1401/11/08, 14630, 14720
1401/11/05, 15390, 16190
1401/11/04, 15450, 16230
1401/11/03, 15190, 15680
1401/11/02, 14750, 15180
1401/11/01, 13680, 14590
1401/10/28, 13420, 14050
1401/10/27, 12880, 13800
1401/10/26, 12700, 13250
1401/10/24, 12150, 13320
1401/10/21, 11830, 13060
1401/10/20, 11770, 12480
1401/10/19, 11190, 12220
1401/10/18, 11350, 11660
1401/10/17, 10550, 11300
1401/10/14, 10520, 10810
1401/10/13, 9990, 10350
1401/10/12, 9300, 9890
1401/10/11, 9190, 9640
1401/10/10, 9290, 9870
1401/10/07, 9460, 9890
1401/10/05, 9350, 9690
1401/10/04, 9410, 9700
1401/10/03, 9250, 9610
1401/09/30, 9100, 9400
1401/09/29, 9010, 9390
1401/09/28, 9160, 9540
1401/09/27, 9020, 9380
1401/09/26, 8850, 9170
1401/09/23, 8620, 9130
1401/09/22, 8600, 8890
1401/09/21, 8380, 8770
1401/09/20, 8330, 8720
1401/09/19, 8330, 8600
1401/09/16, 8460, 8740
1401/09/15, 8680, 9010
1401/09/14, 8330, 8850
1401/09/13, 8330, 8540
1401/09/12, 8280, 8570
1401/09/09, 8350, 8660
1401/09/08, 8370, 8600
1401/09/07, 8170, 8500
1401/09/06, 8140, 8390
1401/09/05, 8250, 8690
1401/09/02, 8300, 8750
1401/09/01, 8420, 8740
1401/08/30, 8480, 8840
1401/08/29, 8510, 9040
1401/08/28, 8040, 8760
1401/08/25, 8230, 8480
1401/08/24, 8240, 8600
1401/08/23, 8250, 8720
1401/08/22, 8310, 8730
1401/08/21, 8010, 8400
1401/08/18, 7820, 8250
1401/08/17, 8000, 8370
1401/08/16, 7930, 8270
1401/08/15, 7650, 8050
1401/08/14, 7400, 7920
1401/08/11, 7390, 7650
1401/08/10, 7380, 7710
1401/08/09, 7200, 7560
1401/08/08, 7200, 7380
1401/08/07, 7150, 7600
1401/08/04, 7390, 7870
1401/08/03, 7650, 8130
1401/08/02, 7920, 8370
1401/08/01, 8130, 8610
1401/07/30, 8300, 8670
1401/07/27, 8440, 8880
1401/07/26, 8590, 8910
1401/07/25, 8480, 9100
1401/07/24, 8320, 9180
1401/07/23, 8400, 8940
1401/07/20, 8560, 8560
1401/07/19, 8160, 8160
1401/07/18, 7370, 8010
1401/07/17, 7590, 8070
1401/07/16, 7560, 8100
1401/07/12, 7690, 8000
1401/07/11, 7700, 8100
1401/07/10, 7820, 8190
1401/07/09, 8100, 8400
1401/07/06, 8040, 8550
1401/07/04, 7900, 8340
1401/07/02, 7880, 8490
1401/06/30, 8100, 8570
1401/06/29, 8170, 8570
1401/06/28, 8270, 8750
1401/06/27, 8450, 8720
1401/06/23, 8450, 8830
1401/06/22, 8470, 8800
1401/06/21, 8230, 8560
1401/06/20, 8300, 8680
1401/06/19, 8420, 8800
1401/06/16, 8610, 9000
1401/06/15, 8650, 8980
1401/06/14, 8700, 9070
1401/06/13, 8600, 8960
1401/06/12, 8440, 8880
1401/06/09, 8610, 9000
1401/06/08, 8630, 8830
1401/06/07, 8550, 8880
1401/06/06, 8590, 9030
1401/06/05, 8820, 9240
1401/06/02, 8560, 9160
1401/06/01, 8340, 8920
1401/05/31, 8420, 8720
1401/05/30, 8300, 8860
1401/05/29, 8380, 8700
1401/05/26, 8500, 9030
1401/05/25, 8310, 8750
1401/05/24, 8210, 8480
1401/05/23, 8200, 8750
1401/05/22, 8050, 8630
1401/05/19, 8010, 8390
1401/05/18, 8120, 8340
1401/05/15, 7710, 8190
1401/05/12, 7530, 7960
1401/05/11, 7520, 7900
1401/05/10, 7420, 7830
1401/05/09, 7670, 7980
1401/05/08, 7770, 8350
1401/05/05, 7890, 8340
1401/05/04, 7980, 8310
1401/05/03, 8360, 8660
1401/05/02, 8620, 9040
1401/05/01, 8820, 9310
1401/04/29, 8950, 9280
1401/04/28, 8910, 9310
1401/04/26, 9090, 9480
1401/04/25, 9180, 9560
1401/04/22, 9500, 9800
1401/04/21, 9070, 9680
1401/04/20, 9320, 9850
1401/04/18, 9570, 10120
1401/04/15, 9980, 10260
1401/04/14, 10110, 10800
1401/04/08, 10450, 11110
1401/04/07, 10250, 10850
1401/04/06, 9790, 10620
1401/04/05, 10000, 10480
1401/04/04, 10250, 10800
1401/04/01, 10500, 10900
1401/03/31, 10790, 11100
1401/03/30, 10820, 11200
1401/03/29, 10890, 11170
1401/03/28, 10860, 11180
1401/03/25, 11260, 11540
1401/03/24, 11410, 11800
1401/03/23, 11650, 12050
1401/03/22, 11350, 11780
1401/03/21, 11280, 11800
1401/03/18, 11260, 11900
1401/03/17, 11380, 12180
1401/03/16, 11940, 12500
1401/03/11, 12330, 12900
1401/03/10, 12400, 13380
1401/03/08, 11890, 13130
1401/03/07, 12370, 13250
1401/03/04, 12420, 13280
1401/03/03, 12410, 13040
1401/03/02, 12730, 13390
1401/03/01, 13270, 13530
1401/02/31, 12400, 13360
1401/02/28, 12560, 12890
1401/02/27, 12540, 13500
1401/02/26, 12900, 13320
1401/02/25, 12600, 13200
1401/02/24, 12990, 13850
1401/02/21, 13070, 13500
1401/02/20, 12500, 13250
1401/02/19, 13030, 13600
1401/02/18, 13320, 14050
1401/02/17, 13170, 13950
1401/02/12, 13070, 13580
1401/02/11, 12830, 13580
1401/02/10, 12770, 13540
1401/02/07, 12710, 13250
1401/02/06, 13250, 13660
1401/02/05, 12610, 13500
1401/02/04, 12710, 13170
1401/01/31, 12730, 13190
1401/01/30, 12040, 13160
1401/01/29, 12110, 12700
1401/01/28, 11600, 12240
1401/01/27, 11410, 11820
1401/01/24, 11310, 11800
1401/01/23, 11270, 11880
1401/01/22, 11300, 11860
1401/01/21, 11630, 12380
1401/01/20, 11490, 12250
1401/01/17, 11600, 11810
1401/01/16, 10820, 11660
1401/01/15, 11300, 11880
1401/01/14, 11560, 12560
1401/01/10, 12040, 12480
1401/01/09, 12130, 12620
1401/01/07, 11900, 12020
1401/01/06, 11010, 11570
1400/12/28, 11020, 11020
1400/12/25, 10500, 10500
1400/12/24, 10290, 10290
1400/11/06, 37900, 41200
1400/11/05, 38600, 42100
1400/11/04, 39950, 42800
1400/11/03, 41900, 44100
1400/11/02, 43700, 46600
1400/10/29, 44050, 47000
1400/10/28, 45700, 49250
1400/10/27, 46000, 50100
1400/10/26, 47000, 51400
1400/10/25, 46950, 51150
1400/10/22, 48900, 50650
1400/10/21, 47900, 50300
1400/10/20, 48750, 49800
1400/10/19, 49700, 52000
1400/10/18, 50950, 52800
1400/10/15, 50670, 53870
1400/10/14, 50800, 51680
1400/10/13, 51120, 52430
1400/10/12, 51020, 52490
1400/10/11, 51100, 52509
1400/10/08, 51803, 52860
1400/10/07, 51350, 52986
1400/10/06, 51002, 53600
1400/10/05, 51250, 53100
1400/10/04, 51200, 55000
1400/10/01, 50480, 53714
1400/09/30, 50000, 52549
1400/09/29, 49861, 51702
1400/09/28, 49700, 51700
1400/09/27, 50100, 52500
1400/09/24, 49978, 52801
1400/09/23, 49611, 51980
1400/09/22, 50340, 52987
1400/09/21, 51310, 53150
1400/09/20, 52701, 54696
1400/09/17, 52541, 55000
1400/09/16, 51550, 54734
1400/09/15, 53911, 55290
1400/09/14, 56595, 58699
1400/09/13, 55161, 60960
1400/09/10, 58058, 58058
1400/09/09, 52586, 56287
1400/09/08, 51750, 55000
1400/09/07, 51700, 55000
1400/09/06, 51576, 57003
1400/09/03, 53201, 55500
1400/09/02, 52813, 55500
1400/09/01, 53000, 55970
1400/08/30, 52001, 55203
1400/08/29, 53000, 55000
1400/08/26, 53310, 55472
1400/08/25, 53310, 54604
1400/08/24, 54010, 55510
1400/08/23, 55000, 57000
1400/08/22, 54480, 57630
1400/08/19, 55026, 57990
1400/08/18, 55155, 57700
1400/08/17, 55200, 58967
1400/08/16, 56109, 58019
1400/08/15, 55257, 55257
1400/08/12, 52626, 52626
1400/08/08, 49426, 52000
1400/08/05, 49497, 53913
1400/08/04, 51441, 54900
1400/08/03, 53924, 56759
1400/08/01, 56744, 58039
1400/07/28, 59730, 59730
1400/07/27, 56886, 56886
1400/07/26, 53416, 57352
1400/07/25, 55200, 58803
1400/07/24, 55350, 58803
1400/07/21, 55904, 58000
1400/07/20, 57738, 60402
1400/07/19, 57510, 61500
1400/07/18, 58600, 60500
1400/07/17, 59887, 64600
1400/07/14, 62150, 63650
1400/07/12, 62242, 64964
1400/07/11, 61999, 63820
1400/07/10, 62881, 65700
1400/07/07, 62403, 64980
1400/07/06, 61310, 64990
1400/07/04, 61757, 64200
1400/07/03, 62090, 65358
1400/06/31, 61912, 65695
1400/06/30, 64725, 67545
1400/06/29, 63770, 69049
1400/06/28, 63700, 68290
1400/06/27, 65293, 68576
1400/06/24, 66500, 71420
1400/06/23, 67220, 70999
1400/06/22, 67003, 69992
1400/06/21, 69873, 73000
1400/06/20, 72887, 75264
1400/06/17, 72605, 76000
1400/06/16, 71777, 75950
1400/06/15, 73222, 76800
1400/06/14, 71300, 75643
1400/06/13, 70850, 73930
1400/06/10, 68316, 72121
1400/06/09, 67159, 71600
1400/06/08, 70230, 72800
1400/06/07, 72243, 76495
1400/06/06, 74944, 78000
1400/06/03, 74500, 78081
1400/06/02, 74518, 76709
