date, min_price, max_price
1402/03/03, 8400, 8600
1402/03/02, 8390, 8960
1402/03/01, 8300, 8720
1402/02/31, 7920, 8480
1402/02/30, 7870, 8500
1402/02/27, 7800, 8380
1402/02/25, 7610, 8160
1402/02/24, 7430, 8080
1402/02/23, 7700, 7840
1402/02/20, 8030, 8450
1402/02/19, 8450, 8600
1402/02/18, 8640, 8640
1402/02/17, 9050, 9490
1402/02/16, 9390, 10230
1402/02/13, 9660, 10250
1402/02/12, 9820, 10120
1402/02/11, 9410, 9690
1402/02/10, 8890, 9340
1402/02/09, 8720, 9580
1402/02/06, 8640, 9240
1402/02/05, 8530, 8850
1402/02/04, 8170, 8480
1402/01/30, 7650, 8140
1402/01/29, 7700, 8040
1402/01/28, 7680, 8100
1402/01/27, 7740, 8150
1402/01/26, 7630, 7780
1402/01/22, 7000, 7440
1402/01/21, 6900, 7330
1402/01/20, 6800, 7230
1402/01/19, 6750, 7000
1402/01/16, 6520, 6830
1402/01/15, 6490, 7020
1402/01/14, 6570, 6990
1402/01/09, 6640, 6900
1402/01/08, 6390, 6610
1402/01/07, 6110, 6380
1402/01/06, 6190, 6430
1402/01/05, 6080, 6470
1401/12/28, 6280, 6580
1401/12/27, 6460, 6910
1401/12/24, 6460, 6730
1401/12/23, 6360, 6650
1401/12/22, 6400, 6800
1401/12/21, 6050, 6670
1401/12/20, 6310, 6650
1401/12/16, 6420, 6690
1401/12/15, 6000, 6390
1401/12/14, 6000, 6090
1401/12/13, 5400, 5810
1401/12/10, 5400, 5720
1401/12/09, 5360, 5520
1401/12/08, 5400, 5680
1401/12/07, 5420, 5670
1401/12/06, 5240, 5410
1401/12/03, 4976, 5229
1401/12/02, 4900, 5247
1401/12/01, 4773, 5114
1401/11/30, 4750, 4880
1401/11/26, 4790, 4950
1401/11/25, 4810, 5040
1401/11/24, 4800, 5100
1401/11/23, 4850, 5090
1401/11/19, 4960, 5390
1401/11/18, 5130, 5310
1401/11/17, 5080, 5360
1401/11/16, 5110, 5610
1401/11/12, 5180, 5440
1401/11/11, 5040, 5350
1401/11/10, 4940, 5300
1401/11/09, 5170, 5480
1401/11/08, 5370, 5600
1401/11/05, 5630, 5940
1401/11/04, 5690, 6140
1401/11/03, 5900, 5950
1401/10/27, 6000, 6000
1401/10/26, 5580, 5720
1401/10/24, 5090, 5560
1401/10/21, 5150, 5470
1401/10/20, 5225, 5437
1401/10/19, 5071, 5290
1401/10/18, 5006, 5138
1401/10/17, 4890, 5083
1401/10/14, 4760, 5040
1401/10/13, 4900, 5330
1401/10/12, 4840, 5180
1401/10/11, 4930, 5150
1401/10/10, 5180, 5310
1401/10/07, 5192, 5503
1401/10/05, 5041, 5359
1401/10/04, 5096, 5267
1401/10/03, 4810, 5031
1401/09/30, 4681, 4871
1401/09/29, 4656, 4900
1401/09/28, 4600, 4801
1401/09/27, 4646, 4840
1401/09/26, 4590, 4764
1401/09/23, 4661, 4863
1401/09/22, 4520, 4719
1401/09/21, 4452, 4630
1401/09/20, 4431, 4518
1401/09/19, 4430, 4567
1401/09/16, 4460, 4529
1401/09/15, 4351, 4596
1401/09/14, 4410, 4680
1401/09/13, 4330, 4591
1401/09/12, 4477, 4599
1401/09/09, 4495, 4608
1401/09/08, 4484, 4635
1401/09/07, 4470, 4598
1401/09/06, 4460, 4610
1401/09/05, 4535, 4794
1401/09/02, 4670, 4908
1401/09/01, 4467, 4757
1401/08/30, 4310, 4640
1401/08/29, 4377, 4679
1401/08/28, 4398, 4723
1401/08/25, 4321, 4732
1401/08/24, 4380, 4541
1401/08/23, 4199, 4446
1401/08/22, 4126, 4350
1401/08/21, 4111, 4280
1401/08/18, 3996, 4240
1401/08/17, 4100, 4414
1401/08/16, 4050, 4255
1401/08/15, 4030, 4183
1401/08/14, 3935, 4107
1401/08/11, 3833, 4069
1401/08/10, 3752, 4036
1401/08/09, 3801, 3927
1401/08/08, 3698, 3957
1401/08/07, 3767, 3989
1401/08/04, 3952, 4000
1401/08/03, 3980, 4130
1401/08/02, 4100, 4213
1401/08/01, 4021, 4222
1401/07/30, 4223, 4403
1401/07/27, 4121, 4223
1401/07/26, 3920, 4138
1401/07/25, 3880, 3995
1401/07/24, 3880, 4030
1401/07/23, 4031, 4080
1401/07/20, 3961, 4147
1401/07/19, 3999, 4190
1401/07/18, 3883, 3999
1401/07/17, 3920, 4058
1401/07/16, 3927, 4100
1401/07/12, 3860, 4147
1401/07/11, 3890, 4199
1401/07/10, 3947, 4110
1401/07/09, 4137, 4527
1401/07/06, 4400, 4530
1401/07/04, 4180, 4470
1401/07/02, 4315, 4535
1401/06/30, 4411, 4639
1401/06/29, 4483, 4610
1401/06/28, 4559, 4900
1401/06/27, 4686, 4980
1401/06/23, 4700, 5040
1401/06/22, 4670, 4870
1401/06/21, 4750, 4960
1401/06/20, 4880, 5140
1401/06/19, 4970, 5240
1401/06/16, 5020, 5300
1401/06/15, 5070, 5200
1401/06/14, 4860, 5120
1401/06/13, 4910, 5060
1401/06/12, 4940, 5090
1401/06/09, 5027, 5250
1401/06/08, 5080, 5390
1401/06/07, 5101, 5440
1401/06/06, 5090, 5336
1401/06/05, 5082, 5082
1401/06/02, 4753, 4990
1401/06/01, 4650, 4843
1401/05/31, 4760, 4910
1401/05/30, 4560, 4797
1401/05/29, 4501, 4650
1401/05/26, 4501, 4694
1401/05/25, 4500, 4754
1401/05/24, 4580, 4780
1401/05/23, 4711, 4900
1401/05/22, 4611, 4888
1401/05/19, 4565, 4800
1401/05/18, 4588, 4766
1401/05/15, 4550, 4800
1401/05/12, 4525, 4790
1401/05/11, 4520, 4688
1401/05/10, 4523, 4740
1401/05/09, 4579, 4700
1401/05/08, 4601, 4934
1401/05/05, 4800, 4990
1401/05/04, 4611, 4940
1401/05/03, 4671, 4765
1401/05/02, 4704, 5055
1401/05/01, 4860, 5098
1401/04/29, 4890, 5080
1401/04/28, 4900, 5030
1401/04/26, 4930, 5040
1401/04/25, 4900, 5150
1401/04/22, 4900, 5180
1401/04/21, 4970, 5190
1401/04/20, 5180, 5340
1401/04/18, 5350, 5600
1401/04/15, 5450, 5640
1401/04/14, 5600, 5770
1401/04/13, 5450, 5690
1401/04/12, 5400, 5670
1401/04/11, 5410, 5550
1401/04/08, 5150, 5460
1401/04/07, 5290, 5580
1401/04/06, 5290, 5550
1401/04/05, 5310, 5610
1401/04/04, 5440, 5700
1401/04/01, 5420, 5760
1401/03/31, 5400, 5730
1401/03/30, 5330, 5680
1401/03/29, 5450, 5750
1401/03/28, 5380, 5800
1401/03/25, 5500, 5698
1401/03/24, 5076, 5456
1401/03/23, 5000, 5350
1401/03/22, 5125, 5126
1401/03/21, 4850, 4972
1401/03/18, 4461, 4840
1401/03/17, 4460, 4690
1401/03/16, 4628, 5000
1401/03/11, 4711, 5010
1401/03/10, 4710, 4930
1401/03/09, 4710, 4990
1401/03/08, 4802, 5000
1401/03/07, 4800, 5250
1401/03/04, 4690, 5090
1401/03/03, 4830, 4990
1401/03/02, 4950, 5270
1401/03/01, 5020, 5330
1401/02/31, 5040, 5260
1401/02/28, 5120, 5340
1401/02/27, 5200, 5390
1401/02/26, 5250, 5450
1401/02/25, 5190, 5520
1401/02/24, 5340, 5690
1401/02/21, 5390, 5620
1401/02/20, 5310, 5490
1401/02/19, 5500, 5750
1401/02/18, 5650, 6090
1401/02/17, 5680, 5900
1401/02/12, 5490, 5680
1401/02/11, 5100, 5480
1401/02/10, 4990, 5310
1401/02/07, 5101, 5350
1401/02/06, 5160, 5397
1401/02/05, 5243, 5426
1401/02/04, 4872, 5243
1401/01/31, 4915, 5110
1401/01/30, 4703, 4938
1401/01/29, 4468, 4711
1401/01/28, 4440, 4629
1401/01/27, 4185, 4515
1401/01/24, 4158, 4355
1401/01/23, 4206, 4402
1401/01/22, 4300, 4510
1401/01/21, 4261, 4490
1401/01/20, 4230, 4435
1401/01/17, 4203, 4506
1401/01/16, 4110, 4400
1401/01/15, 4090, 4280
1401/01/14, 4095, 4270
1401/01/10, 4030, 4249
1401/01/09, 4085, 4299
1401/01/08, 3930, 4188
1401/01/07, 3900, 4050
1401/01/06, 3900, 4125
1400/12/28, 3974, 4060
1400/12/25, 3913, 4050
1400/12/24, 3888, 4049
1400/12/23, 3912, 4190
1400/12/22, 3849, 4183
1400/12/21, 4000, 4124
1400/12/18, 3876, 4011
1400/12/17, 3764, 3980
1400/12/16, 3917, 4000
1400/12/15, 3901, 3999
1400/12/14, 3910, 4080
1400/12/11, 3901, 4050
1400/12/09, 3830, 4100
1400/12/08, 3801, 4050
1400/12/07, 3840, 4046
1400/12/04, 3916, 4098
1400/12/03, 3950, 4300
1400/12/02, 4047, 4363
1400/12/01, 4052, 4052
1400/11/30, 4065, 4065
1400/11/27, 4095, 4095
1400/11/25, 4111, 4111
1400/11/24, 4113, 4113
1400/11/23, 4115, 4115
1400/11/20, 4122, 4122
1400/11/19, 4131, 4131
1400/11/18, 4192, 4280
1400/11/17, 4270, 4458
1400/11/16, 4152, 4247
1400/11/13, 4045, 4045
1400/11/12, 4018, 4018
1400/11/11, 3991, 3991
1400/11/10, 3990, 3990
1400/10/27, 7520, 7900
1400/10/26, 7790, 8100
1400/10/25, 7940, 8280
1400/10/22, 8120, 8500
1400/10/21, 8470, 8740
1400/10/20, 8630, 9520
1400/10/19, 8360, 9220
1400/10/18, 8510, 8910
1400/10/15, 8150, 8540
1400/10/14, 7870, 8340
1400/10/13, 7850, 8150
1400/10/12, 7770, 8150
1400/10/11, 7840, 8250
1400/10/08, 7870, 8390
1400/10/07, 7800, 8200
1400/10/06, 7860, 8510
1400/10/05, 8130, 8540
1400/10/04, 7750, 8300
1400/10/01, 7760, 8050
1400/09/30, 7320, 7890
1400/09/29, 7400, 7630
1400/09/28, 7450, 7690
1400/09/27, 7540, 7870
1400/09/24, 7600, 7860
1400/09/23, 7620, 7910
1400/09/22, 7730, 8060
1400/09/21, 7790, 8230
1400/09/20, 8000, 8300
1400/09/17, 8050, 8350
1400/09/16, 8140, 8380
1400/09/15, 8230, 8570
1400/09/14, 8290, 8740
1400/09/13, 8320, 8970
1400/09/10, 8410, 8970
1400/09/09, 8570, 8990
1400/09/08, 8530, 8960
1400/09/07, 8400, 8700
1400/09/06, 8710, 8980
1400/09/03, 8960, 9200
1400/09/02, 9130, 9440
1400/09/01, 9120, 9620
1400/08/30, 8550, 9340
1400/08/29, 8850, 9290
1400/08/26, 9110, 9700
1400/08/25, 8930, 9330
1400/08/24, 9010, 9800
1400/08/23, 8800, 9430
1400/08/22, 8700, 9200
1400/08/19, 8810, 9240
1400/08/18, 9020, 9330
1400/08/17, 8590, 9240
1400/08/16, 8540, 9400
1400/08/15, 8710, 9240
1400/08/12, 8490, 9070
1400/08/11, 8500, 8950
1400/08/10, 8370, 9220
1400/08/09, 8510, 8800
1400/08/08, 8710, 9250
1400/08/05, 9080, 9550
1400/08/04, 9480, 9700
1400/08/03, 9700, 9800
1400/08/01, 9980, 10690
1400/07/28, 10280, 10740
1400/07/27, 10230, 10750
1400/07/26, 10580, 10880
1400/07/25, 10840, 11590
1400/07/24, 11100, 11850
