date, min_price, max_price
1402/03/03, 95850, 107100
1402/03/02, 94400, 100250
1402/03/01, 93700, 93700
1402/02/31, 83300, 88600
1402/02/30, 77950, 82900
1402/02/27, 77500, 77500
1402/02/20, 72900, 83750
1402/02/19, 77700, 82650
1402/02/18, 83500, 83500
1402/02/17, 88350, 98000
1402/02/16, 91300, 95600
1402/02/13, 89250, 89350
1402/02/12, 79150, 83850
1402/02/11, 75500, 79150
1402/02/10, 74000, 74000
1402/02/09, 69200, 69200
1402/02/06, 62550, 64750
1402/02/05, 58850, 60550
1402/02/04, 54050, 58100
1402/01/30, 53000, 56600
1402/01/29, 53300, 59450
1402/01/28, 53850, 55600
1402/01/26, 52000, 52000
1402/01/22, 46100, 48750
1402/01/21, 42400, 46050
1402/01/20, 42150, 44100
1402/01/19, 39450, 42150
1402/01/16, 37650, 40500
1402/01/15, 37700, 40200
1402/01/14, 36500, 40100
1402/01/09, 37100, 38600
1402/01/08, 35600, 37950
1402/01/07, 34400, 36750
1402/01/06, 33000, 35500
1402/01/05, 34300, 35800
1401/12/28, 34350, 35700
1401/12/27, 33200, 35600
1401/12/24, 33000, 34350
1401/12/23, 32100, 33250
1401/12/22, 32100, 34000
1401/12/21, 32350, 33700
1401/12/20, 33800, 35200
1401/12/16, 34150, 35450
1401/12/15, 33850, 35100
1401/12/14, 33700, 35250
1401/12/13, 32450, 34800
1401/12/10, 32950, 35300
1401/12/09, 33200, 35500
1401/12/08, 33200, 34900
1401/12/07, 33450, 35900
1401/12/06, 32400, 34450
1401/12/03, 31450, 33300
1401/12/02, 32100, 34450
1401/12/01, 31300, 33400
1401/11/30, 30400, 32450
1401/11/26, 29950, 31750
1401/11/25, 29850, 31000
1401/11/24, 29850, 31000
1401/11/23, 29500, 30950
1401/11/19, 30150, 31750
1401/11/18, 30100, 31400
1401/11/17, 29700, 31600
1401/11/16, 30400, 32650
1401/11/12, 30400, 32150
1401/11/11, 29000, 30650
1401/11/10, 27750, 30250
1401/11/09, 29700, 31400
1401/11/08, 31050, 32950
1401/11/05, 31350, 34450
1401/11/04, 32950, 34750
1401/11/03, 33850, 35850
1401/11/02, 34600, 36000
1401/11/01, 34550, 36800
1401/10/28, 34750, 36500
1401/10/27, 34950, 36750
1401/10/26, 35150, 36700
1401/10/24, 33650, 36100
1401/10/21, 35150, 37150
1401/10/20, 36200, 37950
1401/10/19, 36800, 38500
1401/10/18, 34800, 38050
1401/10/17, 34900, 38850
1401/10/14, 33600, 36950
1401/10/13, 33400, 35700
1401/10/12, 32400, 33850
1401/10/11, 30900, 33400
1401/10/10, 31900, 33750
1401/10/07, 32850, 34400
1401/10/05, 32650, 34950
1401/10/04, 32850, 36000
1401/10/03, 32350, 36050
1401/09/30, 32450, 35000
1401/09/29, 30850, 33600
1401/09/28, 30900, 32350
1401/09/27, 29050, 30950
1401/09/26, 28450, 29500
1401/09/23, 28450, 29450
1401/09/22, 28850, 30050
1401/09/21, 28200, 29900
1401/09/20, 27200, 29200
1401/09/19, 27300, 28500
1401/09/16, 27250, 28600
1401/09/15, 26600, 27500
1401/09/14, 26750, 28050
1401/09/13, 26950, 28000
1401/09/12, 27400, 28600
1401/09/09, 27300, 28650
1401/09/08, 27300, 28250
1401/09/07, 26850, 28200
1401/09/06, 26700, 27950
1401/09/05, 27200, 28350
1401/09/02, 26900, 28500
1401/09/01, 26800, 27400
1401/08/30, 26950, 28200
1401/08/29, 26200, 28250
1401/08/28, 25950, 27000
1401/08/25, 26600, 27650
1401/08/24, 26750, 27950
1401/08/23, 26900, 27950
1401/08/22, 27400, 28200
1401/08/21, 27600, 29250
1401/08/18, 26600, 28500
1401/08/17, 27100, 29150
1401/08/16, 27000, 28700
1401/08/15, 26350, 27350
1401/08/14, 25950, 27500
1401/08/11, 25950, 26450
1401/08/10, 26200, 27200
1401/08/09, 26000, 27250
1401/08/08, 25150, 28350
1401/08/07, 26100, 27850
1401/08/04, 26300, 29300
1401/08/03, 26000, 27850
1401/08/02, 25700, 26450
1401/08/01, 25600, 26500
1401/07/30, 25350, 26800
1401/07/27, 25150, 26150
1401/07/26, 25350, 26450
1401/07/25, 25250, 26200
1401/07/24, 25200, 26000
1401/07/23, 25700, 26650
1401/07/20, 26350, 27150
1401/07/19, 25900, 27350
1401/07/18, 25200, 26700
1401/07/17, 25700, 26650
1401/07/16, 25950, 27000
1401/07/12, 25900, 27000
1401/07/11, 25850, 27500
1401/07/10, 26050, 27450
1401/07/09, 26100, 27500
1401/07/06, 26950, 28100
1401/07/04, 26600, 28600
1401/07/02, 27100, 29000
1401/06/30, 28800, 29750
1401/06/29, 28100, 29300
1401/06/28, 28200, 29650
1401/06/27, 28300, 29300
1401/06/23, 28100, 29600
1401/06/22, 29000, 30350
1401/06/21, 28750, 30850
1401/06/20, 28150, 30150
1401/06/19, 29400, 31500
1401/06/16, 30600, 32150
1401/06/15, 30100, 32950
1401/06/14, 29100, 31800
1401/06/13, 28500, 30300
1401/06/12, 28600, 29350
1401/06/09, 28950, 29450
1401/06/08, 28600, 29350
1401/06/07, 28100, 30800
1401/06/06, 28850, 30000
1401/06/02, 29050, 30500
1401/06/01, 28900, 30000
1401/05/31, 28300, 29550
1401/05/30, 28700, 30400
1401/05/29, 28550, 30400
1401/05/26, 28200, 29050
1401/05/25, 26550, 28200
1401/05/24, 26300, 27200
1401/05/23, 25850, 28000
1401/05/22, 26050, 27150
