date, min_price, max_price
1402/03/03, 3519, 3696
1402/03/02, 3596, 3800
1402/03/01, 3352, 3681
1402/02/31, 3273, 3512
1402/02/30, 3265, 3580
1402/02/27, 3130, 3450
1402/02/25, 3112, 3450
1402/02/24, 3150, 3490
1402/02/23, 3294, 3400
1402/02/20, 3439, 3850
1402/02/19, 3676, 3789
1402/02/18, 3952, 3952
1402/02/17, 4240, 4450
1402/02/16, 4285, 4803
1402/02/13, 4457, 4695
1402/02/12, 3869, 4451
1402/02/11, 3981, 4261
1402/02/10, 3951, 4150
1402/02/09, 3954, 4452
1402/02/06, 4020, 4162
1402/02/04, 3771, 3896
1402/01/30, 3510, 3665
1402/01/29, 3150, 3440
1402/01/28, 3090, 3350
1402/01/27, 3094, 3178
1402/01/26, 2860, 2975
1402/01/22, 2705, 2850
1402/01/21, 2697, 3020
1402/01/20, 2811, 2970
1402/01/19, 2830, 2917
1402/01/16, 2500, 2757
1402/01/15, 2510, 2650
1402/01/14, 2475, 2600
1402/01/09, 2475, 2599
1402/01/08, 2413, 2536
1402/01/07, 2334, 2497
1402/01/06, 2413, 2546
1402/01/05, 2260, 2540
1401/12/28, 2398, 2484
1401/12/27, 2300, 2398
1401/12/24, 2155, 2252
1401/12/23, 2060, 2150
1401/12/22, 2060, 2150
1401/12/21, 2101, 2228
1401/12/20, 2181, 2335
1401/12/16, 2066, 2240
1401/12/15, 2015, 2177
1401/12/14, 2090, 2198
1401/12/02, 2402, 2579
1401/12/01, 2371, 2448
1401/11/30, 2180, 2334
1401/11/26, 2121, 2218
1401/11/25, 2170, 2279
1401/11/24, 2151, 2248
1401/11/23, 2111, 2185
1401/11/19, 2127, 2208
1401/11/18, 2080, 2160
1401/11/17, 2013, 2118
1401/11/16, 2025, 2179
1401/11/12, 2100, 2177
1401/11/11, 2082, 2202
1401/11/10, 2067, 2198
1401/11/09, 2092, 2340
1401/11/08, 2222, 2351
1401/11/05, 2308, 2500
1401/11/04, 2400, 2530
1401/11/03, 2383, 2578
1401/11/02, 2400, 2617
1401/11/01, 2460, 2704
1401/10/28, 2540, 2720
1401/10/27, 2580, 2758
1401/10/26, 2508, 2624
1401/10/24, 2205, 2510
1401/10/21, 2251, 2419
1401/10/20, 2300, 2400
1401/10/19, 2280, 2359
1401/10/18, 2279, 2423
1401/10/17, 2248, 2350
1401/10/14, 2100, 2274
1401/10/13, 2050, 2180
1401/10/12, 2010, 2139
1401/10/11, 1982, 2110
1401/10/10, 2080, 2163
1401/10/07, 2205, 2280
1401/10/05, 2060, 2211
1401/10/04, 2066, 2146
1401/10/03, 1949, 2042
1401/09/30, 1877, 1943
1401/09/29, 1886, 1950
1401/09/28, 1900, 1990
1401/09/27, 1920, 1994
1401/09/26, 1831, 1926
1401/09/23, 1875, 1937
1401/09/22, 1822, 1910
1401/09/21, 1771, 1860
1401/09/20, 1765, 1798
1401/09/19, 1752, 1800
1401/09/16, 1763, 1835
1401/09/15, 1754, 1806
1401/09/14, 1751, 1817
1401/09/13, 1770, 1848
1401/09/12, 1800, 1883
1401/09/09, 1789, 1890
1401/09/08, 1775, 1838
1401/09/07, 1720, 1814
1401/09/06, 1726, 1765
1401/09/05, 1718, 1774
1401/09/02, 1714, 1785
1401/09/01, 1690, 1777
1401/08/30, 1720, 1769
1401/08/29, 1695, 1780
1401/08/28, 1631, 1735
1401/08/25, 1682, 1738
1401/08/24, 1682, 1759
1401/08/23, 1701, 1768
1401/08/22, 1737, 1814
1401/08/21, 1773, 1850
1401/08/18, 1600, 1764
1401/08/17, 1600, 1749
1401/08/16, 1550, 1678
1401/08/15, 1500, 1616
1401/08/14, 1460, 1531
1401/08/11, 1417, 1466
1401/08/10, 1413, 1465
1401/08/09, 1375, 1439
1401/08/08, 1332, 1389
1401/08/07, 1343, 1460
1401/08/04, 1410, 1598
1401/08/03, 1494, 1580
1401/08/02, 1550, 1685
1401/08/01, 1601, 1701
1401/07/30, 1690, 1720
1401/07/27, 1700, 1720
1401/07/26, 1707, 1743
1401/07/25, 1693, 1744
1401/07/24, 1702, 1748
1401/07/23, 1730, 1771
1401/07/20, 1727, 1789
1401/07/19, 1700, 1794
1401/07/18, 1676, 1759
1401/07/17, 1680, 1759
1401/07/16, 1710, 1800
1401/07/12, 1730, 1770
1401/07/11, 1725, 1800
1401/07/10, 1730, 1820
1401/07/09, 1744, 1836
1401/07/06, 1787, 1867
1401/07/04, 1720, 1835
1401/07/02, 1750, 1884
1401/06/30, 1841, 1900
1401/06/29, 1860, 1900
1401/06/28, 1861, 1910
1401/06/27, 1854, 1920
1401/06/23, 1900, 1996
1401/06/22, 1870, 1953
1401/06/21, 1891, 1974
1401/06/20, 1804, 1934
1401/06/19, 1801, 1866
1401/06/16, 1830, 1914
1401/06/15, 1847, 1940
1401/06/14, 1863, 1940
1401/06/13, 1845, 1900
1401/06/12, 1850, 1925
1401/06/09, 1901, 1956
1401/06/08, 1880, 1950
1401/06/07, 1896, 1960
1401/06/06, 1889, 1940
1401/06/05, 1925, 2000
1401/06/02, 1850, 1972
1401/06/01, 1826, 1910
1401/05/31, 1790, 1879
1401/05/30, 1776, 1835
1401/05/29, 1791, 1835
1401/05/26, 1788, 1845
1401/05/25, 1798, 1879
1401/05/24, 1800, 1870
1401/05/23, 1802, 1880
1401/05/22, 1747, 1849
1401/05/19, 1716, 1761
1401/05/18, 1726, 1777
1401/05/15, 1716, 1786
1401/05/12, 1700, 1742
1401/05/11, 1665, 1715
1401/05/10, 1650, 1686
1401/05/09, 1611, 1710
1401/05/08, 1649, 1740
1401/05/05, 1688, 1761
1401/05/04, 1670, 1780
1401/05/03, 1731, 1877
1401/05/02, 1816, 1887
1401/05/01, 1851, 1899
1401/04/29, 1840, 1898
1401/04/28, 1812, 1876
1401/04/26, 1824, 1884
1401/04/25, 1820, 1930
1401/04/22, 1888, 1999
1401/04/18, 1961, 2055
1401/04/15, 2021, 2080
1401/04/14, 2032, 2084
1401/04/13, 1998, 2090
1401/04/12, 2000, 2049
1401/04/11, 2011, 2060
1401/04/08, 2030, 2100
1401/04/07, 2011, 2118
1401/04/06, 1980, 2071
1401/04/05, 2000, 2123
1401/04/04, 2030, 2133
1401/04/01, 2052, 2120
1401/03/31, 2053, 2149
1401/03/30, 2076, 2185
1401/03/29, 2050, 2144
1401/03/28, 2070, 2233
1401/03/25, 2183, 2240
1401/03/24, 2160, 2258
1401/03/23, 2129, 2240
1401/03/22, 2023, 2160
1401/03/21, 2050, 2157
1401/03/18, 2050, 2136
1401/03/17, 2007, 2150
1401/03/16, 2084, 2230
1401/03/11, 2172, 2264
1401/03/10, 2150, 2278
1401/03/09, 2201, 2341
1401/03/08, 2218, 2356
1401/03/07, 2296, 2477
1401/03/04, 2380, 2478
1401/03/03, 2361, 2505
1401/03/02, 2392, 2540
1401/03/01, 2350, 2427
1401/02/31, 2350, 2460
1401/02/28, 2355, 2509
1401/02/27, 2433, 2617
1401/02/26, 2491, 2600
1401/02/25, 2461, 2669
1401/02/24, 2451, 2562
1401/02/21, 2320, 2451
1401/02/20, 2280, 2354
1401/02/19, 2284, 2450
1401/02/18, 2367, 2450
1401/02/17, 2365, 2490
1401/02/12, 2367, 2455
1401/02/11, 2294, 2380
1401/02/10, 2347, 2425
1401/02/07, 2326, 2432
1401/02/06, 2322, 2420
1401/02/05, 2260, 2370
1401/02/04, 2268, 2420
1401/01/31, 2312, 2424
1401/01/30, 2298, 2440
1401/01/29, 2202, 2309
1401/01/28, 2150, 2249
1401/01/27, 2132, 2232
1401/01/24, 2072, 2183
1401/01/23, 2176, 2289
1401/01/22, 2220, 2359
1401/01/21, 2184, 2278
1401/01/20, 2090, 2209
1401/01/17, 2050, 2160
1401/01/16, 2040, 2088
1401/01/15, 2043, 2209
1401/01/14, 2041, 2155
1401/01/10, 1990, 2085
1401/01/09, 1980, 2090
1401/01/08, 1962, 2056
1401/01/07, 1915, 1980
1401/01/06, 1937, 2028
1400/12/28, 1892, 1975
1400/12/25, 1863, 1949
1400/12/24, 1875, 1939
1400/12/23, 1849, 1926
1400/12/22, 1823, 1940
1400/12/21, 1871, 1970
1400/12/18, 1927, 2025
1400/12/17, 1937, 2045
1400/12/16, 1941, 2020
1400/12/15, 1871, 1966
1400/12/14, 1851, 1908
1400/12/11, 1850, 1887
1400/12/09, 1830, 1890
1400/12/08, 1782, 1898
1400/12/07, 1821, 1929
1400/12/04, 1866, 1935
1400/12/03, 1766, 1848
1400/12/02, 1735, 1799
1400/12/01, 1710, 1775
1400/11/30, 1735, 1795
1400/11/27, 1745, 1810
1400/11/25, 1771, 1811
1400/11/24, 1770, 1803
1400/11/23, 1786, 1853
1400/11/20, 1770, 1860
1400/11/19, 1777, 1888
1400/11/18, 1781, 1878
1400/11/17, 1824, 1959
1400/11/16, 1823, 1927
1400/11/13, 1800, 1896
1400/11/12, 1822, 1950
1400/11/11, 1830, 1940
1400/11/10, 1854, 1933
1400/11/09, 1770, 1853
1400/11/06, 1713, 1825
1400/11/05, 1735, 1840
1400/11/04, 1798, 1850
1400/11/03, 1881, 1932
1400/11/02, 1920, 2020
1400/10/29, 1921, 2040
1400/10/28, 1967, 2100
1400/10/27, 2010, 2140
1400/10/26, 2061, 2150
1400/10/25, 2110, 2235
1400/10/22, 2130, 2239
1400/10/21, 2139, 2258
1400/10/20, 2142, 2226
1400/10/19, 2188, 2288
1400/10/18, 2251, 2350
1400/10/15, 2250, 2377
1400/10/14, 2290, 2400
1400/10/13, 2360, 2419
1400/10/12, 2311, 2430
1400/10/11, 2315, 2430
1400/10/08, 2370, 2494
1400/10/07, 2446, 2490
1400/10/06, 2373, 2480
1400/10/05, 2350, 2440
1400/10/04, 2351, 2532
1400/10/01, 2340, 2421
1400/09/30, 2191, 2334
1400/09/29, 2155, 2250
1400/09/28, 2197, 2298
1400/09/27, 2230, 2301
1400/09/24, 2181, 2250
1400/09/23, 2185, 2305
1400/09/22, 2280, 2400
1400/09/21, 2380, 2496
1400/09/20, 2460, 2590
1400/09/17, 2472, 2548
1400/09/16, 2390, 2520
1400/09/15, 2432, 2546
1400/09/14, 2390, 2539
1400/09/13, 2457, 2620
