date, min_price, max_price
1402/03/02, 11750, 12010
1402/03/01, 11230, 11760
1402/02/31, 10500, 11280
1402/02/30, 10330, 10760
1402/02/27, 9660, 10430
1402/02/25, 9910, 10620
1402/02/24, 10170, 11040
1402/02/23, 10540, 10820
1402/02/20, 10750, 11870
1402/02/19, 10700, 11820
1402/02/18, 11170, 11750
1402/02/17, 10850, 11990
1402/02/16, 11420, 11420
1402/02/13, 10880, 10880
1402/02/12, 10010, 10380
1402/02/11, 9890, 9890
1402/02/10, 9420, 9420
1402/02/09, 8890, 9010
1402/02/06, 8340, 8850
1402/02/05, 8460, 9000
1402/02/04, 8640, 9070
1402/01/30, 9070, 9280
1402/01/29, 9210, 10170
1402/01/28, 8940, 9860
1402/01/27, 9210, 9410
1402/01/26, 8790, 8980
1402/01/22, 8220, 8750
1402/01/21, 8550, 9200
1402/01/20, 8710, 9280
1402/01/19, 8800, 8860
1402/01/16, 8250, 8710
1402/01/15, 8070, 8450
1402/01/14, 7600, 8120
1402/01/09, 7450, 7910
1402/01/08, 7500, 7540
1402/01/07, 6850, 7240
1402/01/06, 6900, 6900
1401/12/28, 6390, 6710
1401/12/27, 6360, 6800
1401/12/24, 6470, 6750
1401/12/23, 5990, 6610
1401/12/22, 6170, 6310
1401/12/21, 5750, 6050
1401/12/20, 5500, 5980
1401/12/16, 5590, 5950
1401/12/15, 5310, 5830
1401/12/14, 5410, 5580
1401/12/13, 5010, 5350
1401/12/10, 5101, 5101
1401/12/09, 4562, 4904
1401/12/08, 4615, 4780
1401/12/07, 4651, 4966
1401/12/06, 4600, 4761
1401/12/03, 4517, 4722
1401/12/02, 4550, 4848
1401/12/01, 4470, 4750
1401/11/30, 4525, 4700
1401/11/26, 4193, 4631
1401/11/25, 4266, 4470
1401/11/19, 4336, 4675
1401/11/18, 4527, 4763
1401/11/17, 4526, 4619
1401/11/16, 4613, 4980
1401/11/12, 4620, 4940
1401/11/11, 4710, 5040
1401/11/10, 4870, 5150
1401/11/09, 5060, 5570
1401/11/08, 5140, 5650
1401/11/05, 5330, 5750
1401/11/04, 5550, 5850
1401/11/03, 5680, 5930
1401/11/02, 5390, 5830
1401/11/01, 5570, 5670
1401/10/28, 5180, 5530
1401/10/27, 5190, 5380
1401/10/26, 5170, 5330
1401/10/24, 5040, 5300
1401/10/21, 5151, 5380
1401/10/20, 5303, 5550
1401/10/19, 5065, 5384
1401/10/18, 5001, 5187
1401/10/17, 4923, 5070
1401/10/14, 4810, 4939
1401/10/13, 4810, 5070
1401/10/12, 4890, 5070
1401/10/11, 4753, 5070
1401/10/10, 4760, 5000
1401/10/07, 4800, 4985
1401/10/05, 4700, 4835
1401/10/04, 4761, 4847
1401/10/03, 4712, 4823
1401/09/30, 4661, 4859
1401/09/29, 4705, 4964
1401/09/28, 4663, 5000
1401/09/27, 4613, 4923
1401/09/26, 4597, 4800
1401/09/23, 4556, 4894
1401/09/22, 4631, 4838
1401/09/21, 4550, 4850
1401/09/20, 4608, 4800
1401/09/19, 4455, 4895
1401/09/16, 4531, 4800
1401/09/15, 4426, 4699
1401/09/14, 4230, 4544
1401/09/13, 4211, 4330
1401/09/12, 4200, 4361
1401/09/09, 4264, 4399
1401/09/08, 4242, 4590
1401/09/07, 4250, 4597
1401/09/06, 4142, 4479
1401/09/05, 4132, 4294
1401/09/02, 4213, 4444
1401/09/01, 4062, 4360
1401/08/30, 4021, 4169
1401/08/29, 4007, 4250
1401/08/28, 4182, 4300
1401/08/25, 4271, 4469
1401/08/24, 4358, 4358
1401/08/23, 4285, 4285
1401/08/22, 4208, 4208
1401/08/21, 3850, 4119
1401/08/18, 3845, 4000
1401/08/17, 3856, 4098
1401/08/16, 3950, 4040
1401/08/15, 3761, 3990
1401/08/14, 3730, 3930
1401/08/11, 3748, 3898
1401/08/10, 3791, 3900
1401/08/09, 3782, 3900
1401/08/08, 3720, 3839
1401/08/07, 3612, 3856
1401/08/04, 3685, 3779
1401/08/03, 3750, 3876
1401/08/02, 3789, 3950
1401/08/01, 3898, 4042
1401/07/30, 4037, 4149
1401/07/27, 4061, 4187
1401/07/26, 4050, 4206
1401/07/25, 4117, 4295
1401/07/24, 4273, 4420
1401/07/23, 4345, 4555
1401/07/20, 4466, 4687
1401/07/19, 4519, 4700
1401/07/18, 4439, 4745
1401/07/17, 4527, 4760
1401/07/16, 4629, 4870
1401/07/12, 4621, 4839
1401/07/11, 4590, 4870
1401/07/10, 4622, 4850
1401/07/09, 4684, 4920
1401/07/06, 4850, 5050
1401/07/04, 4870, 5050
1401/07/02, 4830, 5070
1401/06/30, 5000, 5280
1401/06/29, 5120, 5270
1401/06/28, 5150, 5320
1401/06/27, 5220, 5380
1401/06/23, 5260, 5440
1401/06/22, 5220, 5470
1401/06/21, 5280, 5450
1401/06/20, 5310, 5600
1401/06/19, 5290, 5770
1401/06/16, 5370, 5740
1401/06/15, 5200, 5650
1401/06/08, 5210, 5500
1401/06/07, 5400, 5500
1401/06/06, 5300, 5420
1401/06/05, 5350, 5550
1401/06/02, 5300, 5550
1401/06/01, 5210, 5470
1401/05/31, 5210, 5470
1401/05/30, 5150, 5450
1401/05/29, 5190, 5520
1401/05/26, 5340, 5610
1401/05/25, 5410, 5630
1401/05/24, 5420, 5670
1401/05/23, 5490, 5770
1401/05/22, 5680, 5900
1401/05/19, 5570, 5910
1401/05/18, 5450, 5790
1401/05/15, 5400, 5610
1401/05/12, 5190, 5480
1401/05/11, 5170, 5400
1401/05/10, 5110, 5490
1401/05/09, 5150, 5450
1401/05/08, 5200, 5580
1401/05/05, 5350, 5640
1401/05/04, 5220, 5660
1401/05/03, 5460, 5730
1401/05/02, 5720, 6000
1401/05/01, 5900, 6120
1401/04/29, 5680, 5990
1401/04/28, 5580, 5850
1401/04/26, 5640, 5900
1401/04/25, 5780, 6040
1401/04/22, 5630, 5920
1401/04/21, 5500, 5690
1401/04/20, 5570, 5870
1401/04/18, 5630, 5850
1401/04/15, 5600, 5830
1401/04/14, 5690, 5920
1401/04/13, 5740, 5940
1401/04/12, 5650, 5850
1401/04/11, 5600, 5870
1401/04/08, 5740, 5950
1401/04/07, 5860, 6080
1401/04/06, 5730, 6210
1401/04/05, 5810, 6120
1401/04/04, 5700, 6080
1401/04/01, 5700, 5940
