date, min_price, max_price
1402/02/12, 7490, 7750
1402/02/11, 7200, 7600
1402/02/10, 7270, 7700
1402/02/09, 7370, 7970
1402/02/06, 7400, 7940
1402/02/05, 7240, 7790
1402/02/04, 7010, 7610
1402/01/30, 7120, 7860
1402/01/29, 7490, 7490
1402/01/28, 7140, 7140
1402/01/26, 6800, 6800
1402/01/22, 6280, 6480
1402/01/21, 5950, 6210
1402/01/20, 5920, 5920
1402/01/19, 5640, 5640
1402/01/16, 5104, 5415
1402/01/15, 5050, 5290
1402/01/14, 4803, 5094
1402/01/09, 4562, 4918
1402/01/08, 4480, 4705
1402/01/07, 4200, 4550
1402/01/06, 4270, 4500
1402/01/05, 4410, 4529
1401/12/28, 4315, 4480
1401/12/27, 4185, 4376
1401/12/24, 4200, 4311
1401/12/23, 4005, 4263
1401/12/22, 4000, 4100
1401/12/21, 4000, 4099
1401/12/20, 4030, 4290
1401/12/16, 4000, 4330
1401/12/15, 4090, 4378
1401/12/14, 4202, 4380
1401/12/13, 4235, 4400
1401/12/10, 4305, 4489
1401/12/09, 4227, 4426
1401/12/08, 4134, 4345
1401/12/07, 4305, 4558
1401/12/06, 4401, 4718
1401/12/03, 4276, 4650
1401/12/02, 4400, 4560
1401/12/01, 4370, 4443
1401/11/30, 4113, 4233
1401/11/26, 3911, 4303
1401/11/25, 4113, 4140
1401/11/24, 4100, 4421
1401/11/23, 4100, 4217
1401/11/19, 3905, 4054
1401/11/18, 3794, 3895
1401/11/17, 3423, 3776
1401/11/16, 3543, 3790
1401/11/12, 3610, 3820
1401/11/11, 3554, 3706
1401/11/10, 3496, 3651
1401/11/09, 3680, 3680
1401/11/08, 3763, 3971
1401/11/05, 3702, 3931
1401/11/04, 3650, 3930
1401/11/03, 3647, 3990
1401/11/02, 3800, 4070
1401/11/01, 3890, 4250
1401/10/28, 4001, 4104
1401/10/27, 3800, 3927
1401/10/26, 3610, 3797
1401/10/24, 3550, 3620
1401/10/21, 3448, 3448
1401/10/20, 3195, 3288
1401/10/19, 3132, 3132
1401/10/18, 2900, 2986
1401/10/17, 2686, 2881
1401/10/14, 2693, 2818
1401/10/13, 2741, 2873
1401/10/12, 2611, 2747
1401/10/11, 2588, 2759
1401/10/10, 2672, 2849
1401/10/07, 2750, 2891
1401/10/05, 2705, 2820
1401/10/04, 2749, 2829
1401/10/03, 2660, 2800
1401/09/30, 2650, 2850
1401/09/29, 2759, 2854
1401/09/28, 2768, 2958
1401/09/27, 2818, 2818
1401/09/26, 2684, 2684
1401/09/23, 2557, 2557
1401/09/22, 2453, 2453
1401/09/13, 2236, 2380
1401/09/12, 2280, 2418
1401/09/09, 2326, 2412
1401/09/08, 2263, 2398
1401/09/07, 2260, 2353
1401/09/06, 2250, 2295
1401/09/05, 2216, 2290
1401/09/02, 2241, 2280
1401/09/01, 2216, 2288
1401/08/30, 2213, 2289
1401/08/29, 2245, 2280
1401/08/23, 2220, 2280
1401/08/22, 2190, 2290
1401/08/21, 2180, 2263
1401/08/18, 2150, 2263
1401/08/17, 2199, 2345
1401/08/16, 2271, 2345
1401/08/15, 2172, 2303
1401/08/14, 2070, 2203
1401/08/11, 2050, 2151
1401/08/10, 2076, 2130
1401/08/09, 1953, 2076
1401/08/08, 1950, 2026
1401/08/07, 1952, 2053
1401/08/04, 1950, 2119
1401/08/03, 2015, 2105
1401/08/02, 2087, 2136
1401/08/01, 2088, 2133
1401/07/30, 2088, 2184
1401/07/27, 2103, 2190
1401/07/26, 2165, 2230
1401/07/25, 2159, 2210
1401/07/24, 2200, 2236
1401/07/23, 2230, 2339
1401/07/20, 2285, 2347
1401/07/19, 2197, 2292
1401/07/18, 2135, 2239
1401/07/17, 2087, 2198
1401/07/16, 2129, 2195
1401/07/12, 2066, 2168
1401/07/11, 2041, 2135
1401/07/10, 2035, 2086
1401/07/09, 2029, 2154
1401/07/06, 2085, 2150
1401/07/04, 2037, 2155
1401/07/02, 2089, 2170
1401/06/30, 2183, 2250
1401/06/29, 2226, 2320
1401/06/28, 2221, 2297
1401/06/27, 2190, 2305
1401/06/23, 2176, 2259
1401/06/22, 2176, 2287
1401/06/21, 2172, 2244
1401/06/20, 2190, 2299
1401/06/19, 2233, 2348
1401/06/16, 2327, 2438
1401/06/15, 2366, 2466
1401/06/14, 2399, 2399
1401/06/13, 2176, 2333
1401/06/12, 2205, 2250
1401/06/09, 2227, 2285
1401/06/08, 2204, 2335
1401/06/07, 2224, 2306
1401/06/06, 2226, 2327
1401/06/05, 2265, 2390
1401/06/02, 2237, 2359
1401/06/01, 2163, 2270
1401/05/31, 2128, 2195
1401/05/30, 2065, 2204
1401/05/29, 2100, 2226
1401/05/19, 2141, 2230
1401/05/18, 2085, 2229
1401/05/15, 2135, 2214
1401/05/12, 2040, 2124
1401/05/11, 1942, 2033
1401/05/10, 1888, 1997
1401/05/09, 1933, 2019
1401/05/08, 1991, 2119
1401/05/05, 2041, 2124
1401/05/04, 2078, 2169
1401/05/03, 2143, 2190
1401/05/02, 2213, 2354
1401/05/01, 2300, 2367
1401/04/26, 2306, 2452
1401/04/25, 2381, 2499
1401/04/22, 2400, 2498
1401/04/21, 2335, 2518
1401/04/20, 2431, 2577
1401/04/18, 2554, 2640
1401/04/15, 2590, 2824
1401/04/14, 2630, 2698
1401/04/13, 2454, 2616
1401/04/12, 2413, 2549
1401/04/11, 2445, 2569
1401/04/08, 2547, 2630
1401/04/07, 2460, 2564
1401/04/06, 2411, 2493
1401/04/05, 2420, 2520
1401/04/04, 2450, 2537
1401/04/01, 2440, 2542
1401/03/31, 2444, 2561
1401/03/30, 2502, 2568
1401/03/29, 2500, 2553
1401/03/28, 2500, 2617
1401/03/25, 2548, 2618
1401/03/24, 2552, 2648
1401/03/23, 2512, 2620
1401/03/22, 2502, 2580
1401/03/21, 2508, 2586
1401/03/18, 2533, 2618
1401/03/17, 2545, 2637
1401/03/16, 2553, 2681
1401/03/11, 2636, 2737
1401/03/10, 2560, 2680
1401/03/09, 2587, 2676
1401/03/08, 2614, 2710
1401/03/07, 2721, 2900
1401/03/04, 2800, 2929
1401/03/03, 2837, 2921
1401/03/02, 2964, 3080
1401/03/01, 3077, 3177
1401/02/31, 3041, 3128
1401/02/28, 3076, 3190
1401/02/27, 3043, 3283
1401/02/26, 3079, 3266
