date, min_price, max_price
1402/03/03, 4380, 4627
1402/03/02, 4470, 4696
1402/03/01, 4362, 4544
1402/02/31, 4094, 4440
1402/02/30, 4080, 4419
1402/02/27, 4121, 4349
1402/02/25, 4191, 4459
1402/02/24, 4145, 4456
1402/02/23, 4361, 4361
1402/02/20, 4540, 4840
1402/02/19, 4760, 4920
1402/02/18, 5010, 5010
1402/02/17, 5260, 5470
1402/02/16, 5360, 5690
1402/02/13, 5300, 5486
1402/02/12, 5060, 5238
1402/02/11, 4840, 5100
1402/02/10, 4905, 5120
1402/02/09, 4906, 5140
1402/02/06, 4844, 5100
1402/02/05, 4951, 5151
1402/02/04, 4720, 5025
1402/01/30, 4717, 4860
1402/01/29, 4500, 4635
1402/01/28, 4180, 4449
1402/01/27, 4150, 4312
1402/01/26, 4110, 4227
1402/01/22, 3941, 4092
1402/01/21, 3989, 4288
1402/01/20, 4062, 4300
1402/01/19, 4050, 4152
1402/01/16, 3770, 4090
1402/01/15, 3800, 4010
1402/01/14, 3715, 3989
1402/01/09, 3673, 3853
1402/01/08, 3540, 3727
1402/01/07, 3455, 3600
1402/01/06, 3449, 3639
1402/01/05, 3530, 3668
1401/12/28, 3494, 3494
1401/12/22, 3400, 3530
1401/12/21, 3372, 3550
1401/12/20, 3439, 3541
1401/12/16, 3271, 3471
1401/12/15, 3230, 3380
1401/12/14, 3281, 3430
1401/12/13, 3201, 3365
1401/12/10, 3278, 3437
1401/12/09, 3220, 3440
1401/12/08, 3194, 3400
1401/12/07, 3225, 3445
1401/12/06, 3200, 3282
1401/12/03, 3033, 3200
1401/12/02, 3002, 3100
1401/12/01, 2830, 2970
1401/11/30, 2740, 2859
1401/11/26, 2700, 2784
1401/11/25, 2751, 2840
1401/11/24, 2770, 2840
1401/11/23, 2721, 2830
1401/11/19, 2767, 2836
1401/11/18, 2701, 2801
1401/11/17, 2610, 2735
1401/11/16, 2642, 2825
1401/11/12, 2720, 2837
1401/11/11, 2710, 2846
1401/11/10, 2639, 2810
1401/11/09, 2762, 2940
1401/11/08, 2845, 2997
1401/11/05, 2908, 3070
1401/11/04, 3003, 3086
1401/11/03, 2881, 3062
1401/11/02, 2920, 3100
1401/11/01, 3000, 3180
1401/10/28, 3040, 3226
1401/10/27, 3040, 3180
1401/10/26, 3030, 3134
1401/10/24, 2901, 3070
1401/10/21, 2972, 3150
1401/10/20, 3023, 3100
1401/10/19, 2855, 2986
1401/10/18, 2759, 2847
1401/10/17, 2663, 2741
1401/10/14, 2637, 2690
1401/10/13, 2640, 2795
1401/10/12, 2641, 2716
1401/10/11, 2560, 2732
1401/10/10, 2656, 2776
1401/10/07, 2745, 2830
1401/10/05, 2677, 2769
1401/10/04, 2672, 2736
1401/10/03, 2610, 2730
1401/09/30, 2560, 2653
1401/09/29, 2570, 2627
1401/09/28, 2575, 2690
1401/09/27, 2601, 2680
1401/09/26, 2545, 2618
1401/09/23, 2571, 2662
1401/09/22, 2500, 2591
1401/09/21, 2423, 2510
1401/09/20, 2399, 2465
1401/09/19, 2390, 2499
1401/09/16, 2453, 2538
1401/09/15, 2413, 2478
1401/09/14, 2395, 2455
1401/09/13, 2400, 2460
1401/09/12, 2375, 2432
1401/09/09, 2390, 2450
1401/09/08, 2359, 2467
1401/09/07, 2326, 2410
1401/09/06, 2364, 2445
1401/09/05, 2425, 2460
1401/09/02, 2429, 2500
1401/09/01, 2421, 2495
1401/08/30, 2430, 2520
1401/08/29, 2447, 2540
1401/08/28, 2411, 2555
1401/08/25, 2411, 2521
1401/08/24, 2320, 2449
1401/08/23, 2300, 2400
1401/08/22, 2380, 2439
1401/08/21, 2385, 2487
1401/08/18, 2341, 2499
1401/08/17, 2360, 2544
1401/08/16, 2331, 2478
1401/08/15, 2315, 2400
1401/08/14, 2251, 2353
1401/08/11, 2190, 2289
1401/08/10, 2162, 2231
1401/08/09, 2060, 2144
1401/08/08, 2000, 2085
1401/08/07, 2010, 2160
1401/08/04, 2090, 2200
1401/08/03, 2165, 2299
1401/08/02, 2246, 2350
1401/08/01, 2315, 2355
1401/07/30, 2324, 2370
1401/07/27, 2352, 2404
1401/07/26, 2350, 2410
1401/07/25, 2316, 2390
1401/07/24, 2320, 2415
1401/07/23, 2372, 2465
1401/07/20, 2251, 2391
1401/07/19, 2245, 2300
1401/07/18, 2203, 2290
1401/07/17, 2237, 2348
1401/07/16, 2303, 2370
1401/07/12, 2305, 2380
1401/07/11, 2305, 2419
1401/07/10, 2350, 2420
1401/07/09, 2400, 2498
1401/07/06, 2410, 2528
1401/07/04, 2320, 2450
1401/07/02, 2356, 2500
1401/06/30, 2461, 2530
1401/06/29, 2520, 2598
1401/06/28, 2551, 2618
1401/06/27, 2538, 2620
1401/06/23, 2551, 2639
1401/06/22, 2516, 2633
1401/06/21, 2490, 2533
1401/06/20, 2473, 2648
1401/06/19, 2568, 2676
1401/06/16, 2650, 2743
1401/06/15, 2652, 2745
1401/06/14, 2652, 2768
1401/06/13, 2583, 2717
1401/06/12, 2600, 2690
1401/06/09, 2640, 2730
1401/06/08, 2627, 2710
1401/06/07, 2660, 2754
1401/06/06, 2675, 2768
1401/06/05, 2746, 2856
1401/06/02, 2720, 2828
1401/06/01, 2602, 2767
1401/05/31, 2561, 2680
1401/05/30, 2544, 2592
1401/05/29, 2531, 2605
1401/05/26, 2565, 2666
1401/05/25, 2596, 2672
1401/05/24, 2520, 2660
1401/05/23, 2575, 2650
1401/05/22, 2581, 2699
1401/05/19, 2554, 2613
1401/05/18, 2553, 2704
1401/05/15, 2523, 2631
1401/05/12, 2430, 2523
1401/05/11, 2388, 2439
1401/05/10, 2363, 2425
1401/05/09, 2362, 2486
1401/05/08, 2453, 2540
1401/05/05, 2460, 2539
1401/05/04, 2451, 2567
1401/05/03, 2489, 2620
1401/05/02, 2540, 2730
1401/04/29, 2565, 2724
1401/04/28, 2555, 2640
1401/04/26, 2520, 2628
1401/04/25, 2542, 2670
1401/04/22, 2597, 2749
1401/04/21, 2581, 2669
1401/04/20, 2601, 2749
1401/04/18, 2664, 2807
1401/04/15, 2751, 2860
1401/04/14, 2820, 2875
1401/04/13, 2781, 2850
1401/04/12, 2770, 2847
1401/04/11, 2833, 2873
1401/04/08, 2827, 2960
1401/04/07, 2760, 2898
1401/04/06, 2720, 2800
1401/04/05, 2720, 2879
1401/04/04, 2791, 2872
1401/04/01, 2765, 2867
1401/03/31, 2831, 3003
1401/03/30, 2936, 3079
1401/03/29, 2930, 3079
1401/03/28, 2922, 3070
1401/03/25, 3000, 3140
1401/03/24, 3050, 3173
1401/03/23, 2980, 3118
1401/03/22, 2891, 3040
1401/03/21, 2927, 3038
1401/03/18, 2932, 3040
1401/03/17, 2920, 3048
1401/03/16, 2997, 3154
1401/03/11, 3064, 3259
1401/03/10, 3151, 3289
1401/03/09, 3190, 3333
1401/03/08, 3229, 3320
1401/03/07, 3257, 3501
1401/03/04, 3200, 3353
1401/03/03, 3135, 3299
1401/03/02, 3250, 3530
1401/03/01, 3378, 3498
1401/02/31, 3360, 3440
1401/02/28, 3420, 3588
1401/02/27, 3512, 3691
1401/02/26, 3610, 3784
1401/02/25, 3490, 3760
1401/02/24, 3510, 3657
1401/02/21, 3340, 3492
1401/02/20, 3271, 3365
1401/02/19, 3276, 3440
1401/02/18, 3261, 3350
1401/02/17, 3251, 3370
1401/02/12, 3251, 3352
1401/02/11, 3271, 3371
1401/02/10, 3211, 3350
1401/02/07, 3250, 3369
1401/02/06, 3316, 3450
1401/02/05, 3191, 3344
1401/02/04, 3140, 3230
1401/01/31, 3123, 3229
1401/01/30, 3101, 3239
1401/01/29, 3105, 3293
1401/01/28, 3090, 3180
1401/01/27, 3125, 3259
1401/01/24, 3134, 3260
1401/01/23, 3090, 3300
1401/01/22, 3030, 3184
1401/01/21, 2960, 3080
1401/01/20, 2903, 3041
1401/01/17, 2952, 3089
1401/01/16, 2897, 3030
1401/01/15, 2910, 3060
1401/01/14, 2950, 3050
1401/01/10, 2894, 3043
1401/01/09, 2909, 3108
1401/01/08, 3015, 3098
1401/01/07, 3020, 3115
1401/01/06, 2998, 2998
1400/12/22, 2900, 3030
1400/12/21, 2920, 3026
1400/12/18, 2860, 2973
1400/12/17, 2728, 2920
1400/12/16, 2771, 2849
1400/12/15, 2701, 2794
1400/12/14, 2700, 2870
1400/12/11, 2756, 2869
1400/12/09, 2752, 2820
1400/12/08, 2759, 2823
1400/12/07, 2721, 2825
1400/12/04, 2777, 2844
1400/12/03, 2743, 2842
1400/12/02, 2641, 2751
1400/12/01, 2585, 2670
1400/11/30, 2591, 2690
1400/11/27, 2630, 2720
1400/11/25, 2652, 2710
1400/11/24, 2635, 2742
1400/11/23, 2678, 2799
1400/11/20, 2690, 2800
1400/11/19, 2673, 2810
1400/11/18, 2680, 2798
1400/11/17, 2744, 2888
1400/11/16, 2840, 2950
1400/11/13, 2751, 2920
1400/11/12, 2766, 2925
1400/11/11, 2670, 2826
1400/11/10, 2642, 2745
1400/11/09, 2571, 2676
