date, min_price, max_price
1402/03/03, 7220, 7570
1402/03/02, 7030, 7220
1402/03/01, 6880, 6880
1402/02/31, 6400, 6690
1402/02/24, 6820, 7050
1402/02/23, 7170, 7170
1402/02/20, 7380, 8090
1402/02/19, 7760, 7760
1402/02/18, 8160, 8160
1402/02/17, 8480, 9190
1402/02/16, 8700, 8980
1402/02/11, 8530, 8560
1402/02/10, 7840, 8380
1402/02/09, 7680, 8040
1402/02/06, 7590, 7980
1402/02/05, 7770, 8300
1402/02/04, 7940, 7940
1402/01/30, 8260, 8980
1402/01/27, 8340, 8700
1402/01/26, 8100, 8310
1402/01/22, 7360, 8090
1402/01/21, 7290, 7930
1402/01/20, 7090, 7600
1402/01/19, 7140, 7240
1402/01/16, 6460, 6940
1402/01/15, 6310, 6810
1402/01/14, 6090, 6510
1402/01/09, 6090, 6320
1402/01/08, 6160, 6450
1402/01/07, 5860, 6350
1402/01/06, 5990, 6500
1402/01/05, 5900, 6340
1401/12/28, 5820, 6060
1401/12/27, 5560, 5800
1401/12/24, 5210, 5572
1401/12/23, 5162, 5432
1401/12/22, 5300, 5361
1401/12/21, 4820, 5203
1401/12/20, 4860, 5050
1401/12/16, 4810, 5040
1401/12/15, 4800, 5027
1401/12/14, 4851, 5010
1401/12/13, 4750, 5050
1401/12/10, 4879, 5100
1401/12/09, 4960, 5299
1401/12/08, 4700, 5087
1401/12/07, 4610, 5072
1401/12/06, 4835, 4840
1401/12/03, 4321, 4727
1401/12/02, 4330, 4515
1401/12/01, 4088, 4314
1401/11/30, 3981, 4209
1401/11/26, 3961, 4129
1401/11/25, 4086, 4318
1401/11/24, 4230, 4464
1401/11/23, 4270, 4550
1401/11/19, 4311, 4599
1401/11/18, 4250, 4480
1401/11/17, 4157, 4450
1401/11/16, 4313, 4580
1401/11/12, 4370, 4670
1401/11/11, 4440, 4800
1401/11/10, 4660, 4810
1401/11/09, 4900, 4950
1401/11/08, 5140, 5490
1401/11/05, 5050, 5470
1401/11/04, 4890, 5230
1401/11/03, 4940, 5290
1401/11/02, 5170, 5440
1401/11/01, 5170, 5570
1401/10/28, 5050, 5440
1401/10/27, 5078, 5377
1401/10/26, 5040, 5224
1401/10/24, 4751, 5100
1401/10/21, 4810, 5190
1401/10/20, 4900, 5032
1401/10/19, 4500, 4838
1401/10/18, 4350, 4668
1401/10/17, 4401, 4540
1401/10/14, 4310, 4549
1401/10/13, 4339, 4550
1401/10/12, 4270, 4472
1401/10/11, 4110, 4400
1401/10/10, 4198, 4480
1401/10/07, 4201, 4512
1401/10/05, 4172, 4469
1401/10/04, 4222, 4339
1401/10/03, 3877, 4146
1401/09/30, 3872, 4047
1401/09/29, 3813, 3999
1401/09/28, 3820, 3980
1401/09/27, 3865, 4034
1401/09/26, 3820, 3950
1401/09/23, 3844, 3967
1401/09/22, 3805, 3922
1401/09/21, 3650, 3810
1401/09/20, 3600, 3798
1401/09/19, 3670, 3820
1401/09/16, 3750, 3850
1401/09/15, 3712, 3869
1401/09/14, 3687, 3941
1401/09/13, 3680, 3900
1401/09/12, 3763, 3900
1401/09/09, 3854, 4000
1401/09/08, 3945, 4190
1401/09/07, 3881, 4070
1401/09/06, 3644, 3977
1401/09/05, 3696, 3922
1401/09/02, 3750, 3919
1401/09/01, 3740, 4097
1401/08/30, 3813, 3952
1401/08/29, 3631, 3769
1401/08/28, 3450, 3650
1401/08/25, 3475, 3669
1401/08/24, 3470, 3650
1401/08/23, 3454, 3610
1401/08/22, 3523, 3771
1401/08/21, 3599, 3772
1401/08/18, 3530, 3818
1401/08/17, 3520, 3643
1401/08/16, 3361, 3492
1401/08/15, 3326, 3326
1401/08/14, 3204, 3204
1401/08/11, 2971, 3119
1401/08/10, 2980, 3100
1401/08/09, 2920, 3041
1401/08/08, 2810, 3000
1401/08/07, 2877, 3066
1401/08/04, 3028, 3093
1401/08/03, 3134, 3340
1401/08/02, 3288, 3456
1401/08/01, 3370, 3490
1401/07/30, 3451, 3552
1401/07/27, 3410, 3500
1401/07/26, 3318, 3436
1401/07/25, 3283, 3429
1401/07/24, 3330, 3548
1401/07/23, 3366, 3530
1401/07/20, 3370, 3424
1401/07/19, 3366, 3499
1401/07/18, 3350, 3470
1401/07/17, 3362, 3640
1401/07/16, 3517, 3642
1401/07/12, 3400, 3590
1401/07/11, 3401, 3673
1401/07/10, 3483, 3699
1401/07/09, 3637, 3800
1401/07/06, 3711, 3900
1401/07/04, 3670, 3905
1401/07/02, 3839, 4000
1401/06/30, 3994, 4254
1401/06/29, 3982, 4366
1401/06/28, 4175, 4299
1401/06/27, 4389, 4600
1401/06/23, 4466, 4717
1401/06/22, 4450, 4670
1401/06/21, 4486, 4810
1401/06/20, 4526, 4820
1401/06/19, 4757, 4757
1401/06/16, 4592, 4592
1401/06/05, 10180, 11240
1401/06/02, 10420, 10960
1401/06/01, 10030, 10590
1401/05/31, 9800, 10290
1401/05/30, 9700, 10120
1401/05/29, 9800, 10030
1401/05/26, 9660, 9990
1401/05/25, 9590, 10100
1401/05/24, 9570, 10070
1401/05/19, 9670, 10240
1401/05/18, 9990, 10760
1401/05/15, 9900, 10370
1401/05/12, 9480, 9940
1401/05/11, 9290, 9620
1401/05/10, 9440, 9710
1401/05/09, 9300, 9890
1401/05/08, 9740, 10480
1401/05/05, 10020, 10670
1401/05/04, 10000, 10430
1401/05/03, 10240, 10610
1401/05/02, 10550, 11010
1401/05/01, 10610, 11190
1401/04/29, 10670, 11160
1401/04/28, 10420, 11080
1401/04/26, 10730, 11450
1401/04/25, 11220, 12070
1401/04/22, 11600, 12270
1401/04/21, 11410, 12510
1401/04/15, 11730, 12680
1401/04/14, 12000, 12640
1401/04/13, 11900, 12520
1401/04/12, 11340, 12410
1401/04/11, 11410, 12110
1401/04/08, 11700, 12290
1401/04/07, 11750, 12190
1401/04/06, 11530, 12300
1401/04/05, 11610, 12400
1401/04/04, 12070, 12960
1401/04/01, 12400, 13100
1401/03/31, 12760, 13750
1401/03/30, 13020, 13810
1401/03/29, 12590, 13770
1401/03/28, 13070, 13840
1401/03/25, 13140, 13990
1401/03/24, 13000, 13950
1401/03/23, 12910, 13390
1401/03/22, 12300, 13000
1401/03/21, 12400, 13000
1401/03/18, 12500, 13180
1401/03/17, 12430, 13040
1401/03/16, 12240, 13180
1401/03/11, 12710, 13300
1401/03/10, 12800, 13550
1401/03/09, 12800, 13550
1401/03/08, 12950, 14260
1401/03/07, 13520, 14400
1401/03/04, 13700, 14730
1401/03/03, 14100, 14890
1401/03/02, 14260, 15100
1401/03/01, 14460, 15330
1401/02/31, 14000, 14700
1401/02/21, 13740, 14430
1401/02/20, 13560, 14480
1401/02/19, 14000, 14700
1401/02/18, 14330, 14990
1401/02/17, 13520, 14540
1401/02/12, 13500, 14090
1401/02/11, 13200, 13780
1401/02/06, 12900, 13490
1401/02/05, 12780, 13490
1401/02/04, 13110, 13980
1401/01/31, 13410, 14040
1401/01/30, 13420, 14300
1401/01/29, 13370, 13990
1401/01/28, 13080, 13720
1401/01/27, 13380, 13920
1401/01/24, 12750, 13970
1401/01/23, 13190, 13960
1401/01/22, 13370, 14240
1401/01/21, 13250, 14150
1401/01/20, 13010, 14140
1401/01/17, 13300, 13770
1401/01/16, 12750, 13400
1401/01/15, 12510, 13330
1401/01/14, 12800, 13300
1401/01/10, 12700, 13500
1401/01/09, 12890, 13340
1401/01/08, 12260, 12880
1401/01/07, 12020, 12500
1401/01/06, 12220, 12980
1400/12/28, 12190, 12720
1400/12/25, 12020, 12400
1400/12/24, 11910, 12110
1400/12/23, 12000, 12600
1400/12/22, 12120, 12570
1400/12/21, 11930, 12550
1400/12/18, 12290, 12970
1400/12/17, 12090, 13000
1400/12/16, 11930, 12670
1400/12/15, 11900, 12400
1400/12/14, 11710, 12390
1400/12/11, 11550, 12430
1400/12/09, 11900, 12350
1400/12/08, 11870, 12560
1400/12/07, 12110, 12410
1400/12/04, 11440, 12070
1400/12/03, 11450, 11780
1400/12/02, 11060, 11700
1400/12/01, 11170, 11830
1400/11/30, 11010, 11600
1400/11/27, 11150, 11580
1400/11/25, 11070, 11750
1400/11/24, 11120, 11560
1400/11/23, 11210, 11860
1400/11/20, 11220, 11810
1400/11/19, 11300, 11860
1400/11/18, 11130, 11940
1400/11/17, 11680, 12350
1400/11/16, 12110, 12770
1400/11/13, 11480, 12550
1400/11/12, 11650, 12650
1400/11/11, 11620, 12080
1400/11/10, 11010, 11520
1400/11/09, 10980, 10980
1400/11/06, 10500, 10830
1400/11/05, 10190, 10780
1400/11/04, 10400, 11050
1400/11/03, 10450, 11050
1400/11/02, 10590, 11400
1400/10/29, 10570, 11500
1400/10/28, 11090, 11400
1400/10/27, 11300, 12000
1400/10/26, 11640, 12290
1400/10/25, 11940, 12640
1400/10/22, 12000, 12530
1400/10/21, 11950, 12600
1400/10/20, 12130, 12740
