date, min_price, max_price
1402/03/03, 24400, 25000
1402/03/02, 24300, 24888
1402/03/01, 24230, 24610
1402/02/31, 23700, 24470
1402/02/30, 23600, 24554
1402/02/27, 23501, 24500
1402/02/25, 22950, 24348
1402/02/24, 23010, 24400
1402/02/23, 22050, 23939
1402/02/20, 23010, 25100
1402/02/19, 23400, 25289
1402/02/18, 23487, 25099
1402/02/17, 25020, 27280
1402/02/16, 26602, 27278
1402/02/13, 26401, 26850
1402/02/12, 26424, 26839
1402/02/11, 25863, 26579
1402/02/10, 25941, 26420
1402/02/09, 24950, 26180
1402/02/06, 24300, 25100
1402/02/05, 24501, 25050
1402/02/04, 24150, 24700
1402/01/30, 24256, 24680
1402/01/29, 24252, 25000
1402/01/28, 23825, 24400
1402/01/27, 23550, 24400
1402/01/26, 23110, 24050
1402/01/22, 22000, 23100
1402/01/21, 21500, 23300
1402/01/20, 22461, 23339
1402/01/19, 21797, 22965
1402/01/16, 21200, 21900
1402/01/15, 21271, 21899
1402/01/14, 21060, 21600
1402/01/09, 20916, 21479
1402/01/08, 20707, 21055
1402/01/07, 20250, 20750
1402/01/06, 20688, 20688
1402/01/05, 20440, 20970
1401/12/28, 20310, 21199
1401/12/27, 19600, 21439
1401/12/24, 19000, 20000
1401/12/23, 18650, 18990
1401/12/22, 18556, 18974
1401/12/21, 18500, 18900
1401/12/20, 18850, 19420
1401/12/16, 18486, 19300
1401/12/15, 18274, 18685
1401/12/14, 18500, 19200
1401/12/13, 18290, 18760
1401/12/10, 18500, 19090
1401/12/09, 18570, 19234
1401/12/08, 18230, 19150
1401/12/07, 18500, 20939
1401/12/06, 18200, 19242
1401/12/03, 17210, 17990
1401/12/02, 17300, 18763
1401/12/01, 16230, 17480
1401/11/30, 16081, 16349
1401/11/26, 15970, 16194
1401/11/25, 16041, 16270
1401/11/24, 16098, 16330
1401/11/23, 16120, 16340
1401/11/19, 16150, 16480
1401/11/18, 16020, 16410
1401/11/17, 15650, 16200
1401/11/16, 15502, 16245
1401/11/12, 16130, 16478
1401/11/11, 16050, 16487
1401/11/10, 15900, 16400
1401/11/09, 15802, 16603
1401/11/08, 16560, 16945
1401/11/05, 16620, 17337
1401/11/04, 17210, 17455
1401/11/03, 17251, 17620
1401/11/02, 17200, 17588
1401/11/01, 17257, 17699
1401/10/28, 17401, 17690
1401/10/27, 17560, 17750
1401/10/26, 17340, 17680
1401/10/24, 16850, 17296
1401/10/21, 17040, 17377
1401/10/20, 17152, 17500
1401/10/19, 16855, 17150
1401/10/18, 16650, 17030
1401/10/17, 16291, 16650
1401/10/14, 16000, 16200
1401/10/13, 16112, 16540
1401/10/12, 16250, 16470
1401/10/11, 15660, 16399
1401/10/10, 15750, 16570
1401/10/07, 16347, 16950
1401/10/05, 15950, 16199
1401/10/04, 15822, 16095
1401/10/03, 15400, 15939
1401/09/30, 15201, 15347
1401/09/29, 15121, 15329
1401/09/28, 15150, 15500
1401/09/27, 15270, 15489
1401/09/26, 15050, 15239
1401/09/23, 15025, 15348
1401/09/22, 14550, 15070
1401/09/21, 14280, 14574
1401/09/20, 14080, 14284
1401/09/19, 13901, 14300
1401/09/16, 14255, 14439
1401/09/15, 14300, 14470
1401/09/14, 14370, 14500
1401/09/13, 14440, 14520
1401/09/12, 14424, 14540
1401/09/09, 14461, 14630
1401/09/08, 14395, 14590
1401/09/07, 14340, 14473
1401/09/06, 14255, 14478
1401/09/05, 14351, 14440
1401/09/02, 14375, 14450
1401/09/01, 14354, 14440
1401/08/30, 14270, 14396
1401/08/29, 14300, 14400
1401/08/28, 14100, 14401
1401/08/25, 14330, 14500
1401/08/24, 14260, 14430
1401/08/23, 14120, 14480
1401/08/22, 14301, 14580
1401/08/21, 14400, 14550
1401/08/18, 14000, 14475
1401/08/17, 14050, 14448
1401/08/16, 13580, 14200
1401/08/15, 13402, 13655
1401/08/14, 13020, 13550
1401/08/11, 12900, 13045
1401/08/10, 12940, 13094
1401/08/09, 12850, 13000
1401/08/08, 12601, 12870
1401/08/07, 12521, 12749
1401/08/04, 12491, 12889
1401/08/03, 12780, 13129
1401/08/02, 12903, 13160
1401/08/01, 13190, 13387
1401/07/30, 13327, 13400
1401/07/27, 13315, 13400
1401/07/26, 13355, 13450
1401/07/25, 13301, 13448
1401/07/24, 13320, 13485
1401/07/23, 13351, 13600
1401/07/20, 13420, 13889
1401/07/19, 13313, 13469
1401/07/18, 13190, 13319
1401/07/17, 13220, 13390
1401/07/16, 13360, 13489
1401/07/12, 13280, 13450
1401/07/11, 13355, 13460
1401/07/10, 13330, 13589
1401/07/09, 13360, 13820
1401/07/06, 13638, 13790
1401/07/04, 13391, 13670
1401/07/02, 13401, 13740
1401/06/30, 13700, 13950
1401/06/29, 13711, 13997
1401/06/28, 13801, 13999
1401/06/27, 13820, 13999
1401/06/23, 13980, 14049
1401/06/22, 13970, 14050
1401/06/21, 13950, 14074
1401/06/20, 13929, 14020
1401/06/19, 13921, 14185
1401/06/16, 14125, 14379
1401/06/15, 14230, 14290
1401/06/14, 14271, 14423
1401/06/13, 14260, 14301
1401/06/12, 14260, 14539
1401/06/09, 14450, 14583
1401/06/08, 14400, 14530
1401/06/07, 14450, 14550
1401/06/06, 14480, 14510
1401/06/05, 14530, 14720
1401/06/02, 14540, 14740
1401/06/01, 14350, 14550
1401/05/31, 14270, 14490
1401/05/30, 14292, 14400
1401/05/29, 14320, 14470
1401/05/26, 14451, 14540
1401/05/25, 14440, 14695
1401/05/24, 14481, 14690
1401/05/23, 14511, 14794
1401/05/22, 14300, 14750
1401/05/19, 14240, 14329
1401/05/18, 14280, 14381
1401/05/15, 14211, 14415
1401/05/12, 14133, 14250
1401/05/11, 14040, 14149
1401/05/10, 13940, 14160
1401/05/09, 13820, 14050
1401/05/08, 14048, 14334
1401/05/05, 14040, 14280
1401/05/04, 13976, 14160
1401/05/03, 13645, 14231
1401/05/02, 14421, 14530
1401/05/01, 14506, 14700
1401/04/29, 14409, 14590
1401/04/28, 14290, 14444
1401/04/26, 14102, 14540
1401/04/25, 14400, 14550
1401/04/22, 14502, 14692
1401/04/21, 14405, 14750
1401/04/20, 14420, 14796
1401/04/18, 14709, 14899
1401/04/15, 14790, 14900
1401/04/14, 14900, 14962
1401/04/13, 14901, 15086
1401/04/12, 14780, 15050
1401/04/11, 14890, 15098
1401/04/08, 14990, 15150
1401/04/07, 14919, 15077
1401/04/06, 14650, 14840
1401/04/05, 14581, 14950
1401/04/04, 14860, 15200
1401/04/01, 14960, 15250
1401/03/31, 15150, 15350
1401/03/30, 15255, 15419
1401/03/29, 15170, 15350
1401/03/28, 15150, 15439
1401/03/25, 15300, 15448
1401/03/24, 15286, 15568
1401/03/23, 15055, 15580
1401/03/22, 14700, 15140
1401/03/21, 14680, 14829
1401/03/18, 14430, 14740
1401/03/17, 14351, 14743
1401/03/16, 14346, 15139
1401/03/11, 14890, 15095
1401/03/10, 14831, 15000
1401/03/09, 14803, 15070
1401/03/08, 14750, 15134
1401/03/07, 15050, 15599
1401/03/04, 15315, 15500
1401/03/03, 14942, 15350
1401/03/02, 14953, 15648
1401/03/01, 15361, 15650
1401/02/31, 15300, 15639
1401/02/28, 15455, 15694
1401/02/27, 15660, 15907
1401/02/26, 15650, 15995
1401/02/25, 15480, 15808
1401/02/24, 15511, 15990
1401/02/21, 15231, 15580
1401/02/20, 14850, 15300
1401/02/19, 14900, 15269
1401/02/18, 14856, 15450
1401/02/17, 14811, 15000
1401/02/12, 14555, 14999
1401/02/11, 14501, 14800
1401/02/10, 14390, 14700
1401/02/07, 14354, 14599
1401/02/06, 14490, 14668
1401/02/05, 14150, 14568
1401/02/04, 14112, 14372
1401/01/31, 14201, 14530
1401/01/30, 14055, 14480
1401/01/29, 13960, 14384
1401/01/28, 13705, 13971
1401/01/27, 13630, 13914
1401/01/24, 13433, 13679
1401/01/23, 13150, 13780
1401/01/22, 13711, 13873
1401/01/21, 13575, 13819
1401/01/20, 13256, 13600
1401/01/17, 13290, 13799
1401/01/16, 13457, 13780
1401/01/15, 13503, 13980
1401/01/14, 13460, 13820
1401/01/10, 12924, 13400
1401/01/09, 12930, 13370
1401/01/07, 12902, 13400
1401/01/06, 12877, 13480
1400/12/28, 12680, 13070
1400/12/25, 12462, 12694
1400/12/24, 12390, 12485
1400/12/23, 12340, 12510
1400/12/22, 12300, 12510
1400/12/21, 12200, 12611
1400/12/18, 12461, 12800
1400/12/17, 12420, 12590
1400/12/16, 12400, 12840
1400/12/15, 12025, 12593
1400/12/14, 11950, 12225
1400/12/11, 11870, 11930
1400/12/09, 11880, 11959
1400/12/08, 11870, 11968
1400/12/07, 11922, 12045
1400/12/04, 11903, 11997
1400/12/03, 11821, 11983
1400/12/02, 11741, 11910
1400/12/01, 11720, 11798
1400/11/30, 11700, 11830
1400/11/27, 11750, 11840
1400/11/25, 11750, 11829
1400/11/24, 11680, 11830
1400/11/23, 11790, 11900
1400/11/20, 11784, 11910
1400/11/19, 11750, 11974
1400/11/18, 11710, 11840
1400/11/17, 11625, 12000
1400/11/16, 11970, 12100
1400/11/13, 11900, 12190
1400/11/12, 11980, 12300
1400/11/11, 11920, 12242
1400/11/10, 11900, 12350
1400/11/09, 11756, 12380
1400/11/06, 11401, 11800
1400/11/05, 11300, 11520
1400/11/04, 11500, 11828
1400/11/03, 11753, 12150
1400/11/02, 12201, 12589
1400/10/29, 12254, 12578
1400/10/28, 12200, 12500
1400/10/27, 12600, 12997
1400/10/26, 12600, 12798
1400/10/25, 12705, 12860
1400/10/22, 12821, 12940
1400/10/21, 12850, 13194
1400/10/20, 12750, 13100
1400/10/19, 12750, 13190
1400/10/18, 13063, 13290
1400/10/15, 13002, 13200
1400/10/14, 13011, 13250
1400/10/13, 13227, 13400
1400/10/12, 13302, 13492
1400/10/11, 13300, 13425
1400/10/08, 13456, 13680
1400/10/07, 13460, 13850
1400/10/06, 13463, 13749
1400/10/05, 13285, 13578
1400/10/04, 13392, 13810
1400/10/01, 12900, 13550
1400/09/30, 12400, 12899
1400/09/29, 12316, 12550
1400/09/28, 12252, 12500
1400/09/27, 12454, 12620
1400/09/24, 12350, 12600
1400/09/23, 12300, 12590
1400/09/22, 12300, 12640
1400/09/21, 12600, 12829
1400/09/20, 12712, 12950
1400/09/17, 12706, 12990
1400/09/16, 12615, 12820
1400/09/15, 12650, 12940
1400/09/14, 12710, 12888
1400/09/13, 12600, 12935
1400/09/10, 12752, 12935
1400/09/09, 12854, 13070
1400/09/08, 12820, 13088
1400/09/07, 12910, 13040
1400/09/06, 12851, 13095
1400/09/03, 13016, 13380
1400/09/02, 13260, 13500
1400/09/01, 13224, 13699
1400/08/30, 13017, 13300
