date, min_price, max_price
1402/03/03, 10018, 10030
1402/03/02, 10011, 10013
1402/03/01, 10005, 10007
1402/02/31, 10195, 10197
1402/02/30, 10188, 10190
1402/02/27, 10169, 10181
1402/02/25, 10157, 10163
1402/02/24, 10150, 10152
1402/02/23, 10144, 10146
1402/02/20, 10125, 10139
1402/02/19, 10119, 10121
1402/02/18, 10112, 10114
1402/02/17, 10106, 10108
1402/02/16, 10100, 10101
1402/02/13, 10081, 10094
1402/02/12, 10075, 10077
1402/02/11, 10068, 10070
1402/02/10, 10062, 10064
1402/02/09, 10056, 10058
1402/02/06, 10037, 10050
1402/02/05, 10031, 10033
1402/02/04, 10024, 10026
1402/01/30, 10226, 10240
1402/01/29, 10220, 10222
1402/01/28, 10213, 10215
1402/01/27, 10207, 10209
1402/01/26, 10201, 10202
1402/01/22, 10175, 10189
1402/01/21, 10169, 10171
1402/01/20, 10163, 10165
1402/01/19, 10157, 10159
1402/01/16, 10138, 10151
1402/01/15, 10131, 10133
1402/01/14, 10125, 10127
1402/01/09, 10094, 10119
1402/01/08, 10087, 10089
1402/01/07, 10081, 10083
1402/01/06, 10075, 10077
1402/01/05, 10068, 10070
1401/12/28, 10031, 10067
1401/12/24, 10150, 10163
1401/12/23, 10143, 10146
1401/12/22, 10138, 10140
1401/12/21, 10131, 10133
1401/12/20, 10123, 10127
1401/12/16, 10100, 10119
1401/12/15, 10094, 10096
1401/12/14, 10087, 10089
1401/12/13, 10081, 10083
1401/12/10, 10062, 10077
1401/12/09, 10055, 10058
1401/12/08, 10049, 10051
1401/12/07, 10043, 10045
1401/12/06, 10037, 10039
1401/12/03, 10018, 10031
1401/12/02, 10012, 10013
1401/12/01, 10005, 10007
1401/11/30, 10188, 10190
1401/11/26, 10163, 10175
1401/11/25, 10157, 10158
1401/11/24, 10150, 10151
1401/11/23, 10142, 10144
1401/11/19, 10119, 10124
1401/11/18, 10112, 10113
1401/11/17, 10106, 10107
1401/11/16, 10099, 10101
1401/11/12, 10075, 10078
1401/11/11, 10068, 10069
1401/11/10, 10062, 10064
1401/11/09, 10056, 10058
1401/11/08, 10049, 10051
1401/11/05, 10031, 10033
1401/11/04, 10024, 10025
1401/11/03, 10018, 10019
1401/11/02, 10012, 10014
1401/11/01, 10005, 10007
1401/10/28, 10175, 10176
1401/10/27, 10169, 10170
1401/10/26, 10163, 10164
1401/10/24, 10150, 10151
1401/10/21, 10122, 10123
1401/10/20, 10115, 10118
1401/10/19, 10110, 10112
1401/10/18, 10104, 10105
1401/10/17, 10098, 10099
1401/10/14, 10081, 10083
1401/10/13, 10074, 10077
1401/10/12, 10069, 10071
1401/10/11, 10063, 10065
1401/10/10, 10057, 10059
1401/10/07, 10040, 10042
1401/10/05, 10028, 10030
1401/10/04, 10022, 10024
1401/10/03, 10016, 10019
1401/09/30, 10174, 10176
1401/09/29, 10168, 10169
1401/09/28, 10162, 10164
1401/09/27, 10157, 10159
1401/09/26, 10151, 10153
1401/09/23, 10133, 10134
1401/09/22, 10127, 10129
1401/09/21, 10122, 10124
1401/09/20, 10116, 10118
1401/09/19, 10110, 10111
1401/09/16, 10092, 10094
1401/09/15, 10086, 10087
1401/09/14, 10081, 10082
1401/09/13, 10075, 10077
1401/09/12, 10069, 10070
1401/09/09, 10051, 10054
1401/09/08, 10046, 10048
1401/09/07, 10040, 10042
1401/09/06, 10034, 10036
1401/09/05, 10028, 10030
1401/09/02, 10011, 10013
1401/09/01, 10005, 10007
1401/08/30, 10174, 10176
1401/08/29, 10168, 10170
1401/08/28, 10161, 10164
1401/08/25, 10145, 10147
1401/08/24, 10139, 10141
1401/08/23, 10133, 10135
1401/08/22, 10127, 10129
1401/08/21, 10121, 10123
1401/08/18, 10104, 10107
1401/08/17, 10096, 10099
1401/08/16, 10090, 10094
1401/08/15, 10085, 10087
1401/08/14, 10080, 10082
1401/08/11, 10063, 10066
1401/08/10, 10057, 10059
1401/08/09, 10051, 10054
1401/08/08, 10045, 10048
1401/08/07, 10039, 10042
1401/08/04, 10022, 10025
1401/08/03, 10016, 10019
1401/08/02, 10011, 10013
1401/08/01, 10005, 10008
1401/07/30, 10175, 10176
1401/07/27, 10158, 10162
1401/07/26, 10151, 10154
1401/07/25, 10146, 10149
1401/07/24, 10139, 10141
1401/07/23, 10134, 10136
1401/07/20, 10117, 10123
1401/07/19, 10110, 10113
1401/07/18, 10105, 10107
1401/07/17, 10099, 10102
1401/07/16, 10093, 10096
1401/07/12, 10072, 10082
1401/07/11, 10063, 10066
1401/07/10, 10058, 10060
1401/07/09, 10052, 10055
1401/07/06, 10036, 10042
1401/07/04, 10023, 10028
1401/07/02, 10012, 10015
1401/06/30, 10177, 10187
1401/06/29, 10169, 10172
1401/06/28, 10163, 10166
1401/06/27, 10158, 10161
1401/06/23, 10143, 10149
1401/06/22, 10128, 10131
1401/06/21, 10122, 10125
1401/06/20, 10116, 10119
1401/06/19, 10110, 10113
1401/06/16, 10093, 10096
1401/06/15, 10087, 10090
1401/06/14, 10081, 10084
1401/06/13, 10075, 10078
1401/06/12, 10069, 10071
1401/06/09, 10052, 10055
