date, min_price, max_price
1402/02/27, 6580, 6580
1402/02/24, 6000, 6350
1402/02/23, 6240, 6450
1402/02/20, 6470, 7240
1402/02/19, 6910, 7250
1402/02/18, 7430, 7430
1402/02/17, 7940, 8220
1402/02/16, 8120, 8990
1402/02/13, 8250, 8740
1402/02/12, 7790, 8270
1402/02/11, 7450, 8080
1402/02/10, 7750, 8050
1402/01/29, 6810, 7200
1402/01/28, 6300, 7010
1402/01/27, 6360, 6590
1402/01/26, 6160, 6160
1402/01/22, 5260, 6000
1402/01/21, 5330, 5990
1402/01/20, 5490, 5760
1402/01/19, 5390, 5390
1402/01/16, 4650, 5118
1402/01/15, 4670, 4970
1402/01/14, 4464, 4740
1402/01/09, 4574, 4748
1402/01/08, 4620, 4840
1402/01/07, 4410, 4742
1402/01/06, 4450, 4780
1402/01/05, 4571, 4755
1401/12/28, 4380, 4600
1401/12/27, 4400, 4607
1401/12/24, 4220, 4383
1401/12/23, 4200, 4428
1401/12/22, 4200, 4505
1401/12/21, 4199, 4199
1401/12/06, 8290, 8480
1401/12/03, 7550, 8240
1401/12/02, 7660, 7920
1401/12/01, 7100, 7440
1401/11/30, 6790, 7240
1401/11/26, 6750, 7170
1401/11/25, 7010, 7500
1401/11/24, 7350, 7600
1401/11/23, 7310, 7640
1401/11/19, 7590, 7990
1401/11/18, 7450, 7870
1401/11/17, 7130, 7630
1401/11/16, 7520, 8100
1401/11/12, 7770, 8350
1401/11/11, 7620, 7980
1401/11/10, 7150, 7980
1401/11/09, 7660, 7880
1401/11/08, 8190, 8500
1401/11/05, 8740, 9000
1401/11/01, 8870, 9510
1401/10/28, 8600, 9170
1401/10/27, 8710, 9230
1401/10/26, 8630, 8630
1401/10/24, 7360, 8180
1401/10/21, 7160, 7740
1401/10/20, 6980, 7380
1401/10/19, 6830, 7180
1401/10/18, 6500, 6850
1401/10/17, 6080, 6460
1401/10/14, 5890, 6180
1401/10/13, 5970, 6290
1401/10/12, 6030, 6270
1401/10/11, 5850, 6350
1401/10/10, 6170, 6560
1401/10/07, 6390, 6640
1401/10/05, 6060, 6340
1401/10/04, 6150, 6460
1401/10/03, 5970, 6230
1401/09/30, 5800, 6110
1401/09/29, 5850, 6160
1401/09/28, 5980, 6400
1401/09/27, 6040, 6240
1401/09/26, 5600, 6080
1401/09/23, 5650, 5990
1401/09/22, 5410, 5660
1401/09/21, 5050, 5380
1401/09/20, 4900, 5130
1401/09/19, 4880, 5260
1401/09/16, 5000, 5190
1401/09/15, 5050, 5170
1401/09/14, 4990, 5200
1401/09/13, 5040, 5270
1401/09/08, 5190, 5330
1401/09/07, 5160, 5290
1401/09/06, 5100, 5340
1401/09/05, 5110, 5440
1401/09/02, 5250, 5490
1401/09/01, 5060, 5540
1401/08/30, 5130, 5430
1401/08/29, 5030, 5320
1401/08/28, 4930, 5270
1401/08/25, 5170, 5390
1401/08/24, 4960, 5240
1401/08/23, 4790, 5020
1401/08/22, 4950, 5260
1401/08/21, 5130, 5490
1401/08/18, 4870, 5400
1401/08/17, 5002, 5147
1401/08/16, 4690, 4844
1401/08/15, 4335, 4606
1401/08/14, 4120, 4329
1401/08/11, 3953, 4135
1401/08/10, 4051, 4278
1401/08/09, 3800, 4032
1401/08/08, 3600, 3901
1401/08/07, 3522, 3798
1401/08/04, 3614, 3917
1401/08/03, 3805, 4063
1401/08/02, 4010, 4194
1401/08/01, 4061, 4210
1401/07/30, 4120, 4230
1401/07/27, 4100, 4229
1401/07/26, 4130, 4277
1401/07/25, 4061, 4150
1401/07/24, 4060, 4309
1401/07/23, 4205, 4374
1401/07/20, 4297, 4500
1401/07/19, 4160, 4437
1401/07/18, 4140, 4290
1401/07/17, 4080, 4340
1401/07/16, 4289, 4395
1401/07/12, 4270, 4370
1401/07/11, 4266, 4399
1401/07/10, 4250, 4450
1401/07/09, 4400, 4572
1401/07/06, 4530, 4736
1401/07/04, 4351, 4579
1401/07/02, 4365, 4560
