date, min_price, max_price
1402/03/03, 15084, 15086
1402/03/02, 15065, 15067
1402/03/01, 15055, 15057
1402/02/31, 15045, 15047
1402/02/30, 15036, 15038
1402/02/27, 15017, 15020
1402/02/25, 14998, 15001
1402/02/24, 14979, 14981
1402/02/23, 14970, 14973
1402/02/20, 14951, 14954
1402/02/19, 14933, 14935
1402/02/18, 14923, 14925
1402/02/17, 14914, 14916
1402/02/16, 14903, 14906
1402/02/13, 14886, 14889
1402/02/12, 14868, 14869
1402/02/11, 14859, 14860
1402/02/10, 14849, 14850
1402/02/09, 14840, 14841
1402/02/06, 14822, 14823
1402/02/05, 14803, 14804
1402/02/04, 14794, 14795
1402/01/30, 14766, 14767
1402/01/29, 14738, 14739
1402/01/28, 14729, 14730
1402/01/27, 14720, 14721
1402/01/26, 14711, 14712
1402/01/22, 14684, 14685
1402/01/21, 14666, 14667
1402/01/20, 14657, 14658
1402/01/19, 14648, 14649
1402/01/16, 14630, 14631
1402/01/15, 14612, 14613
1402/01/14, 14603, 14604
1402/01/09, 14575, 14576
1402/01/08, 14547, 14548
1402/01/07, 14538, 14539
1402/01/06, 14529, 14529
1402/01/05, 14519, 14520
1401/12/28, 14482, 14484
1401/12/27, 14454, 14455
1401/12/24, 14436, 14437
1401/12/23, 14417, 14418
1401/12/22, 14408, 14409
1401/12/21, 14399, 14400
1401/12/20, 14390, 14391
1401/12/16, 14362, 14363
1401/12/15, 14344, 14345
1401/12/14, 14335, 14336
1401/12/13, 14325, 14326
1401/12/10, 14307, 14308
1401/12/09, 14289, 14290
1401/12/08, 14280, 14281
1401/12/07, 14271, 14272
1401/12/06, 14261, 14262
1401/12/03, 14243, 14244
1401/12/02, 14225, 14226
1401/12/01, 14216, 14217
1401/11/30, 14207, 14208
1401/11/26, 14180, 14181
1401/11/25, 14162, 14163
1401/11/24, 14153, 14154
1401/11/23, 14144, 14145
1401/11/19, 14118, 14119
1401/11/18, 14100, 14101
1401/11/17, 14091, 14092
1401/11/16, 14082, 14083
1401/11/12, 14056, 14057
1401/11/11, 14038, 14039
1401/11/10, 14029, 14030
1401/11/09, 14020, 14021
1401/11/08, 14011, 14012
1401/11/05, 13994, 13995
1401/11/04, 13975, 13976
