date, min_price, max_price
1402/03/03, 11020, 11950
1402/03/02, 11010, 11610
1402/03/01, 10800, 11180
1402/02/31, 10300, 10900
1402/02/30, 10620, 11420
1402/02/27, 11000, 11410
1402/02/25, 10980, 11760
1402/02/24, 10900, 11510
1402/02/23, 10950, 11300
1402/02/20, 10920, 12060
1402/02/19, 11390, 11990
1402/02/18, 11980, 11980
1402/02/17, 12550, 13200
1402/02/16, 13100, 13600
1402/02/13, 13080, 14280
1402/02/12, 13370, 13740
1402/02/10, 12980, 13150
1402/02/09, 12240, 12630
1402/02/06, 11400, 12490
1402/02/05, 11710, 11940
1402/02/04, 10920, 11800
1402/01/30, 10850, 11310
1402/01/29, 10780, 10780
1402/01/28, 10270, 10270
1402/01/27, 9210, 9950
1402/01/26, 9230, 9620
1402/01/22, 8920, 9500
1402/01/21, 9010, 9870
1402/01/20, 9120, 9510
1402/01/19, 8710, 9100
1402/01/16, 8470, 8760
1402/01/15, 8520, 8920
1402/01/14, 8690, 8980
1402/01/09, 8420, 8880
1402/01/08, 8450, 8790
1402/01/07, 8320, 8800
1402/01/06, 8300, 8860
1402/01/05, 8410, 8900
1401/12/28, 8500, 9050
1401/12/27, 8350, 8820
1401/12/24, 8220, 8550
1401/12/23, 7740, 8440
1401/12/22, 7810, 8160
1401/12/21, 7690, 8080
1401/12/20, 7950, 8250
1401/12/16, 7800, 8350
1401/12/15, 7980, 8400
1401/12/14, 8200, 8650
1401/12/13, 8300, 8680
1401/12/10, 8550, 9080
1401/12/09, 8800, 9130
1401/12/08, 8370, 9040
1401/12/07, 8420, 9160
1401/12/06, 8190, 9050
1401/12/03, 8500, 9020
1401/12/02, 8860, 9230
1401/12/01, 9150, 9500
1401/11/30, 8890, 9640
1401/11/26, 9100, 9400
1401/11/25, 8670, 8980
1401/11/24, 8360, 8900
1401/11/23, 8790, 8800
1401/11/19, 8910, 9520
1401/11/18, 8920, 9160
1401/11/17, 8240, 9100
1401/11/16, 8560, 9140
1401/11/12, 8350, 9140
1401/11/11, 8620, 9420
1401/11/10, 8880, 9080
1401/11/09, 8350, 8680
1401/10/27, 16400, 17100
1401/10/26, 16010, 16480
1401/10/24, 15170, 16290
1401/10/21, 15510, 16330
1401/10/20, 16020, 16970
1401/10/19, 16030, 16480
1401/10/18, 15700, 15700
1401/10/17, 14570, 14980
1401/10/14, 14130, 14620
1401/10/13, 14100, 15060
1401/10/12, 14000, 14360
1401/10/11, 12920, 14170
1401/10/10, 13590, 14000
1401/10/07, 13910, 14390
1401/10/05, 13370, 13970
1401/10/04, 13050, 13790
1401/10/03, 12710, 13270
1401/09/30, 12110, 12670
1401/09/29, 11950, 12380
1401/09/28, 12050, 12430
1401/09/27, 12020, 12460
1401/09/26, 12000, 12700
1401/09/23, 11890, 12610
1401/09/22, 12150, 12620
1401/09/21, 11700, 12200
1401/09/20, 11350, 11950
1401/09/19, 11450, 12050
1401/09/16, 11060, 11680
1401/09/15, 11030, 11290
1401/09/14, 11090, 11480
1401/09/13, 11000, 11300
1401/09/12, 11000, 11390
1401/09/09, 11100, 11390
1401/09/08, 10870, 11560
1401/09/07, 11000, 11340
1401/09/06, 11140, 11500
1401/09/05, 11110, 11570
1401/09/02, 11210, 11690
1401/09/01, 11210, 11500
1401/08/30, 11260, 11580
1401/08/29, 11400, 12270
1401/08/28, 11780, 12900
1401/08/25, 11600, 12660
1401/08/24, 11900, 12480
1401/08/23, 11650, 12160
1401/08/22, 11360, 11840
1401/08/21, 11240, 11970
1401/08/18, 11090, 11700
1401/08/17, 11200, 11880
1401/08/16, 11010, 11610
1401/08/15, 10920, 11180
1401/08/14, 10900, 11340
1401/08/11, 10730, 10990
1401/08/10, 10630, 11160
1401/08/09, 10570, 10980
1401/08/08, 10500, 10930
1401/08/07, 10940, 11300
1401/08/04, 11070, 11640
1401/08/03, 10870, 11240
1401/08/02, 10570, 10990
1401/08/01, 10700, 11050
1401/07/30, 10600, 11050
1401/07/27, 10710, 11100
1401/07/26, 10510, 11080
1401/07/25, 10530, 11150
