date, min_price, max_price
1402/03/03, 12040, 12980
1402/03/02, 11970, 12590
1402/03/01, 11920, 12670
1402/02/31, 12090, 12600
1402/02/30, 11440, 12670
1402/02/27, 12300, 12300
1402/02/16, 12600, 13880
1402/02/13, 12550, 13640
1402/02/12, 12740, 12880
1402/02/11, 10960, 12560
1402/02/10, 11240, 11980
1402/02/09, 10790, 11630
1402/02/06, 10780, 11500
1402/02/05, 11120, 12050
1402/02/04, 10650, 11320
1402/01/30, 10290, 10990
1402/01/29, 10110, 10680
1402/01/28, 9800, 9990
1402/01/27, 8900, 9480
1402/01/26, 8700, 8980
1402/01/22, 8360, 8840
1402/01/21, 8490, 9190
1402/01/20, 8800, 9160
1402/01/19, 8490, 8990
1402/01/16, 8220, 8820
1402/01/15, 8230, 8670
1402/01/14, 7990, 8410
1402/01/09, 8130, 8500
1402/01/08, 8100, 8790
1402/01/07, 8270, 8840
1402/01/06, 8320, 9290
1402/01/05, 8740, 9730
1401/12/28, 9090, 9660
1401/12/27, 8950, 9330
1401/12/24, 8500, 9110
1401/12/23, 8800, 9280
1401/12/22, 8130, 8770
1401/12/21, 8100, 8350
1401/12/20, 7830, 8190
1401/12/16, 7290, 7930
1401/12/15, 7350, 7970
1401/12/14, 7640, 8240
1401/12/13, 7900, 8400
1401/12/10, 8060, 8420
1401/12/09, 7450, 8500
1401/12/08, 7990, 8240
1401/12/07, 8240, 9080
1401/12/06, 8330, 9220
1401/12/03, 8400, 8940
1401/12/02, 7900, 8390
1401/12/01, 7550, 8230
1401/11/18, 11600, 12800
1401/11/17, 12240, 13250
1401/11/16, 12790, 13580
1401/11/12, 12200, 13210
1401/11/11, 12460, 13020
1401/11/10, 13020, 14500
1401/11/09, 12910, 14410
1401/11/08, 13470, 13470
1401/11/05, 12080, 12630
1401/11/04, 11810, 11810
1401/11/03, 10680, 11050
1401/11/02, 9980, 10780
1401/10/28, 10560, 10890
1401/10/27, 10000, 10570
1401/10/26, 9600, 9940
1401/10/24, 8200, 9410
1401/10/21, 8450, 9090
1401/10/20, 8470, 8740
1401/10/19, 8150, 8170
1401/10/18, 7400, 7700
1401/10/17, 7100, 7330
1401/10/14, 7040, 7250
1401/10/13, 7090, 7340
1401/10/12, 6910, 7250
1401/10/11, 6810, 7390
1401/10/10, 6930, 7370
1401/10/07, 7150, 7500
1401/10/05, 7050, 7340
1401/10/04, 7000, 7500
1401/10/03, 7010, 7470
1401/09/30, 6900, 7080
1401/09/29, 6790, 7090
1401/09/28, 6910, 7390
1401/09/27, 7200, 7480
1401/09/26, 7020, 7480
1401/09/23, 7200, 7690
1401/09/22, 7010, 7340
1401/09/21, 6650, 7030
1401/09/20, 6500, 6780
1401/09/19, 6370, 6790
1401/09/16, 6540, 6930
1401/09/15, 6540, 7000
1401/09/14, 6490, 6820
1401/09/13, 6700, 6990
1401/09/12, 6780, 7180
1401/09/09, 6720, 7180
1401/09/08, 6710, 7160
1401/09/07, 6500, 6770
1401/09/06, 6070, 6370
1401/09/05, 5790, 6110
1401/09/02, 5860, 6100
1401/09/01, 5640, 6070
1401/08/30, 5660, 5900
1401/08/29, 5500, 5890
1401/08/28, 5470, 5870
1401/08/25, 5640, 5870
1401/08/24, 5650, 5890
1401/08/23, 5620, 5970
1401/08/22, 5720, 6000
1401/08/21, 5880, 6170
1401/08/18, 5750, 6160
1401/08/17, 5890, 6290
1401/08/16, 5780, 6180
1401/08/15, 5700, 5990
1401/08/14, 5500, 5840
1401/08/11, 4990, 5630
1401/08/10, 5150, 5420
1401/08/09, 4980, 5180
1401/08/08, 4570, 5090
1401/08/07, 4710, 5180
1401/08/04, 5030, 5400
1401/08/03, 5230, 5700
1401/08/02, 5510, 5870
1401/08/01, 5720, 5980
1401/07/30, 5760, 6030
1401/07/27, 5880, 6120
1401/07/26, 5850, 6000
1401/07/25, 5710, 6000
1401/07/24, 5800, 5960
1401/07/23, 5840, 6290
1401/07/20, 5950, 6130
1401/07/19, 5900, 6130
1401/07/18, 5880, 6090
1401/07/17, 5800, 6030
1401/07/16, 6060, 6270
1401/07/12, 5880, 6190
1401/07/11, 5850, 6070
1401/07/10, 5680, 6030
1401/07/09, 6010, 6540
1401/07/06, 6210, 6580
1401/07/04, 6000, 6300
1401/07/02, 6080, 6600
1401/06/30, 6450, 6740
1401/06/29, 6620, 6890
1401/06/28, 6710, 6990
1401/06/27, 6850, 7130
1401/06/23, 6850, 7140
1401/06/22, 7000, 7270
1401/06/21, 7120, 7360
1401/06/20, 6980, 7310
1401/06/19, 6900, 7250
1401/06/16, 7100, 7490
1401/06/15, 7310, 7670
1401/06/14, 7180, 7650
1401/06/13, 7020, 7320
1401/06/12, 7040, 7550
1401/06/09, 7350, 7740
1401/06/08, 7170, 7900
1401/06/07, 7230, 7600
1401/06/06, 7190, 7690
1401/06/05, 7260, 7880
1401/06/02, 7250, 7770
1401/06/01, 7210, 7390
1401/05/31, 6690, 7350
1401/05/30, 6840, 7170
1401/05/29, 6710, 7190
1401/05/26, 6520, 6980
1401/05/25, 6420, 6750
1401/05/24, 6390, 6700
1401/05/23, 6340, 6790
1401/05/18, 6480, 7050
1401/05/15, 6450, 6830
1401/05/12, 6300, 6590
1401/05/11, 6270, 6800
1401/05/10, 6550, 7090
1401/05/09, 6900, 7200
1401/05/08, 7070, 7440
1401/05/05, 6850, 7390
1401/05/04, 7270, 7440
1401/05/03, 7700, 8080
1401/05/02, 7940, 8450
1401/05/01, 8000, 8550
1401/04/29, 8150, 8490
1401/04/28, 7600, 8140
1401/04/26, 7430, 8060
1401/04/25, 7650, 8320
1401/04/22, 8040, 8510
1401/04/21, 8280, 8850
1401/04/20, 8510, 9100
1401/04/18, 8150, 8750
1401/04/15, 8160, 8630
1401/04/14, 8460, 8920
1401/04/13, 8650, 9140
1401/04/12, 8240, 8790
1401/04/11, 8040, 8650
1401/04/08, 7860, 8310
1401/04/07, 7540, 7880
1401/04/06, 6850, 7540
1401/04/05, 7050, 7400
1401/04/04, 7180, 7830
1401/04/01, 7350, 7680
1401/03/31, 7350, 7840
1401/03/30, 7350, 7790
1401/03/29, 7510, 8070
1401/03/28, 7870, 8550
1401/03/25, 8270, 8690
1401/03/24, 8410, 8840
1401/03/23, 8400, 8980
1401/03/22, 8560, 8930
1401/03/21, 8490, 9100
1401/03/18, 8500, 9030
1401/03/17, 8320, 9220
1401/03/16, 8750, 9620
1401/03/11, 9150, 9520
1401/03/10, 8800, 9550
1401/03/09, 8500, 9050
1401/03/08, 8360, 9050
1401/03/07, 8640, 9170
1401/03/04, 8500, 9090
1401/03/03, 8560, 9000
1401/03/02, 8490, 9380
1401/03/01, 8600, 9250
1401/02/31, 8480, 9240
1401/02/28, 8720, 9400
1401/02/27, 9000, 9480
