date, min_price, max_price
1402/02/23, 102830, 102830
1402/02/20, 103600, 114500
1402/02/19, 108600, 113500
1402/02/18, 114310, 114310
1402/02/17, 114390, 126430
1402/02/16, 120410, 120410
1402/02/12, 114680, 114680
1402/02/11, 109220, 109220
1402/02/10, 104000, 104020
1402/02/09, 94900, 99710
1402/02/06, 92000, 96590
1402/01/30, 90000, 93070
1402/01/29, 88000, 88680
1402/01/28, 82000, 85020
1402/01/27, 78460, 81300
1402/01/26, 75700, 77510
1402/01/22, 70820, 76000
1402/01/21, 69300, 76200
1402/01/20, 69220, 73650
1402/01/19, 68610, 70370
1402/01/16, 63240, 68320
1402/01/15, 62540, 67300
1402/01/14, 61770, 66490
1402/01/09, 63440, 65500
1402/01/08, 61210, 64490
1402/01/07, 57900, 62430
1402/01/06, 57500, 60850
1402/01/05, 57000, 59590
1401/12/28, 55510, 57940
1401/12/27, 53310, 55530
1401/12/24, 51330, 53500
1401/12/23, 49990, 51810
1401/12/22, 50410, 52800
1401/12/21, 51910, 53700
1401/12/20, 53600, 56790
1401/12/16, 53030, 56200
1401/12/15, 53400, 55540
1401/12/14, 51200, 52950
1401/12/13, 48710, 52320
1401/12/10, 50340, 52980
1401/12/09, 51400, 54000
1401/12/08, 50500, 54990
1401/12/07, 50970, 53500
1401/12/06, 50290, 51010
1401/12/03, 47760, 49500
1401/12/02, 48600, 50770
1401/12/01, 47200, 48470
1401/11/30, 45070, 47000
1401/11/26, 44880, 46970
1401/11/25, 45660, 47360
1401/11/24, 46030, 48290
1401/11/23, 45500, 48490
1401/11/19, 46300, 48280
1401/11/18, 46000, 47990
1401/11/17, 45650, 47000
1401/11/16, 47680, 50390
1401/11/12, 48960, 52000
1401/11/11, 48000, 50990
1401/11/10, 47070, 51510
1401/11/09, 49330, 51300
1401/11/08, 51610, 54000
1401/11/05, 53730, 57870
1401/11/04, 55700, 58010
1401/11/03, 56870, 61290
1401/11/02, 59000, 62990
1401/11/01, 60860, 66300
1401/10/28, 62000, 66210
1401/10/27, 62520, 64380
1401/10/26, 61550, 61550
1401/10/20, 56800, 60650
1401/10/19, 57830, 57830
1401/10/14, 54680, 56870
1401/10/13, 55800, 60200
1401/10/12, 56010, 57770
1401/10/11, 53200, 55600
1401/10/10, 51000, 54900
1401/10/07, 51500, 53610
1401/10/05, 49600, 52770
1401/10/04, 49390, 51440
1401/10/03, 48020, 49490
1401/09/30, 47200, 48970
1401/09/29, 46920, 49880
1401/09/28, 48000, 50570
1401/09/27, 49300, 50930
1401/09/26, 48000, 49770
1401/09/23, 47340, 49800
1401/09/22, 46600, 48810
1401/09/21, 45280, 47200
1401/09/20, 44800, 46980
1401/09/19, 46180, 47990
1401/09/16, 47450, 49980
1401/09/15, 47180, 49700
1401/09/14, 47600, 49900
1401/09/13, 46240, 49000
1401/09/12, 45500, 47990
1401/09/09, 46110, 47990
1401/09/08, 43960, 46820
1401/09/07, 43800, 45500
1401/09/06, 43800, 45500
1401/09/05, 44270, 45400
1401/09/02, 43980, 45900
1401/09/01, 43490, 45000
1401/08/30, 44200, 45800
1401/08/29, 43300, 45120
1401/08/28, 42600, 44390
1401/08/25, 44500, 46000
1401/08/24, 44600, 46960
1401/08/23, 44500, 48430
1401/08/22, 44860, 46660
1401/08/21, 42510, 45320
1401/08/18, 42280, 44300
1401/08/17, 42770, 45890
1401/08/16, 42200, 43840
1401/08/15, 40640, 42490
1401/08/14, 39840, 42000
1401/08/11, 39600, 40970
1401/08/10, 40210, 42380
1401/08/09, 39200, 40910
1401/08/08, 38700, 40000
1401/08/07, 40120, 42500
1401/08/04, 42000, 44200
1401/08/03, 43000, 45800
1401/08/02, 43450, 45990
1401/08/01, 43380, 45300
1401/07/30, 44100, 46400
1401/07/27, 45210, 46600
1401/07/26, 46400, 47790
1401/07/25, 44400, 46250
1401/07/24, 43470, 45860
1401/07/23, 45510, 46700
1401/07/20, 45910, 48870
1401/07/19, 45650, 46560
1401/07/18, 41650, 45610
1401/07/17, 43300, 44890
1401/07/16, 44810, 46490
1401/07/12, 44920, 47000
1401/07/11, 46680, 50250
1401/07/10, 49020, 50770
1401/07/09, 51480, 53800
1401/07/06, 53000, 55290
1401/07/04, 53050, 55000
1401/06/28, 52600, 54800
