date, min_price, max_price
1402/02/25, 1997, 1997
1402/02/24, 1800, 1877
1402/02/23, 1739, 1830
1402/02/20, 1821, 2059
1402/02/19, 1888, 2029
1402/02/18, 2024, 2024
1402/02/17, 2155, 2270
1402/02/16, 2267, 2440
1402/02/13, 2295, 2388
1402/02/12, 2122, 2241
1402/02/11, 2038, 2130
1402/02/10, 2086, 2249
1402/02/09, 2108, 2158
1402/02/06, 1960, 2040
1402/02/05, 1831, 1974
1402/01/21, 1785, 1944
1402/01/20, 1851, 1983
1402/01/19, 1942, 2042
1402/01/16, 1860, 1965
1402/01/15, 1748, 1879
1402/01/14, 1708, 1795
1402/01/09, 1705, 1823
1402/01/08, 1700, 1767
1402/01/07, 1530, 1677
1402/01/06, 1527, 1633
1402/01/05, 1564, 1645
1401/12/28, 1500, 1575
1401/12/27, 1464, 1537
1401/12/24, 1411, 1460
1401/12/23, 1382, 1430
1401/12/22, 1380, 1420
1401/12/21, 1379, 1435
1401/12/20, 1413, 1474
1401/12/16, 1405, 1456
1401/12/15, 1371, 1428
1401/12/14, 1402, 1441
1401/12/13, 1388, 1454
1401/12/10, 1407, 1480
1401/12/09, 1412, 1465
1401/12/08, 1407, 1470
1401/12/07, 1406, 1570
1401/12/06, 1415, 1481
1401/12/03, 1367, 1420
1401/12/02, 1397, 1475
1401/12/01, 1367, 1430
1401/11/30, 1326, 1388
1401/11/26, 1325, 1400
1401/11/25, 1371, 1411
1401/11/24, 1355, 1421
1401/11/23, 1363, 1425
1401/11/19, 1390, 1430
1401/11/18, 1393, 1443
1401/11/17, 1361, 1425
1401/11/16, 1374, 1438
1401/11/12, 1406, 1470
1401/11/11, 1421, 1480
1401/11/10, 1354, 1480
1401/11/09, 1426, 1500
1401/11/08, 1520, 1627
1401/11/05, 1570, 1710
1401/11/04, 1501, 1610
1401/11/03, 1466, 1570
1401/11/02, 1467, 1559
1401/11/01, 1514, 1600
1401/10/28, 1525, 1608
1401/10/27, 1531, 1630
1401/10/26, 1538, 1556
1401/10/24, 1350, 1489
1401/10/21, 1371, 1430
1401/10/20, 1400, 1449
1401/10/19, 1371, 1429
1401/10/18, 1369, 1430
1401/10/17, 1337, 1360
1401/10/14, 1315, 1358
1401/10/13, 1317, 1381
1401/10/12, 1340, 1385
1401/10/11, 1322, 1381
1401/10/10, 1310, 1380
1401/10/07, 1359, 1418
1401/10/05, 1328, 1380
1401/10/04, 1364, 1419
1401/10/03, 1345, 1420
1401/09/30, 1314, 1385
1401/09/29, 1316, 1381
1401/09/28, 1345, 1409
1401/09/27, 1295, 1373
1401/09/26, 1268, 1321
1401/09/23, 1285, 1330
1401/09/22, 1296, 1330
1401/09/21, 1253, 1320
1401/09/20, 1250, 1294
1401/09/19, 1251, 1320
1401/09/16, 1240, 1280
1401/09/15, 1242, 1279
1401/09/14, 1236, 1290
1401/09/13, 1236, 1279
1401/09/12, 1250, 1300
1401/09/09, 1277, 1314
1401/09/08, 1270, 1315
1401/09/07, 1280, 1337
1401/09/06, 1300, 1340
1401/09/05, 1315, 1355
1401/09/02, 1290, 1320
1401/08/23, 1495, 1594
1401/08/22, 1529, 1592
1401/08/21, 1544, 1620
1401/08/18, 1556, 1635
1401/08/17, 1570, 1700
1401/08/16, 1547, 1671
1401/08/15, 1521, 1594
1401/08/14, 1499, 1581
1401/08/11, 1472, 1514
1401/08/10, 1440, 1520
1401/08/09, 1372, 1472
1401/08/08, 1353, 1400
1401/08/07, 1360, 1420
1401/08/04, 1351, 1410
1401/08/03, 1373, 1450
1401/08/02, 1425, 1450
1401/08/01, 1420, 1465
1401/07/30, 1418, 1464
1401/07/27, 1391, 1438
1401/07/26, 1362, 1420
1401/07/25, 1392, 1425
1401/07/24, 1381, 1428
1401/07/23, 1410, 1434
1401/07/20, 1371, 1433
1401/07/19, 1350, 1439
1401/07/18, 1320, 1379
1401/07/17, 1315, 1388
1401/07/16, 1370, 1404
1401/07/12, 1367, 1420
1401/07/11, 1368, 1450
1401/07/10, 1370, 1429
1401/07/09, 1370, 1455
1401/07/06, 1422, 1480
1401/07/04, 1322, 1437
1401/07/02, 1321, 1430
1401/06/30, 1368, 1444
1401/06/29, 1380, 1472
1401/06/28, 1421, 1479
1401/06/27, 1424, 1477
1401/06/23, 1442, 1483
1401/06/22, 1440, 1488
1401/06/21, 1442, 1488
1401/06/20, 1448, 1495
1401/06/19, 1434, 1500
1401/06/16, 1439, 1498
1401/06/15, 1459, 1500
1401/06/14, 1451, 1507
1401/06/13, 1482, 1514
1401/06/12, 1471, 1509
1401/06/09, 1475, 1511
1401/06/08, 1473, 1512
1401/06/07, 1480, 1540
1401/06/06, 1518, 1569
1401/06/05, 1541, 1596
1401/06/02, 1502, 1600
1401/06/01, 1482, 1553
1401/05/31, 1490, 1550
1401/05/30, 1472, 1548
1401/05/29, 1508, 1550
1401/05/26, 1530, 1580
1401/05/25, 1543, 1590
1401/05/24, 1501, 1577
1401/05/23, 1459, 1554
1401/05/22, 1513, 1537
1401/05/19, 1444, 1500
1401/05/18, 1441, 1513
1401/05/15, 1400, 1495
1401/05/12, 1387, 1430
1401/05/11, 1351, 1402
1401/05/10, 1355, 1400
1401/05/09, 1368, 1399
1401/05/08, 1390, 1429
1401/05/05, 1382, 1420
1401/05/04, 1382, 1404
1401/05/03, 1358, 1417
1401/05/02, 1376, 1420
1401/05/01, 1387, 1430
1401/04/29, 1356, 1440
1401/04/28, 1315, 1376
1401/04/26, 1317, 1382
1401/04/25, 1365, 1457
1401/04/22, 1400, 1439
1401/04/21, 1380, 1445
1401/04/20, 1360, 1450
1401/04/18, 1380, 1450
1401/04/15, 1422, 1475
1401/04/14, 1411, 1487
1401/04/13, 1440, 1490
1401/04/12, 1410, 1470
1401/04/11, 1416, 1470
1401/04/08, 1456, 1494
1401/04/07, 1416, 1489
1401/04/06, 1402, 1453
1401/04/05, 1435, 1520
1401/04/04, 1465, 1535
1401/04/01, 1470, 1520
1401/03/31, 1475, 1537
1401/03/30, 1495, 1550
1401/03/23, 1600, 1663
1401/03/22, 1580, 1640
1401/03/21, 1559, 1655
1401/03/18, 1581, 1640
1401/03/17, 1590, 1675
1401/03/16, 1580, 1700
1401/03/11, 1580, 1682
1401/03/10, 1508, 1597
1401/03/09, 1461, 1542
1401/03/08, 1443, 1519
1401/03/07, 1520, 1649
1401/03/04, 1600, 1670
1401/03/03, 1571, 1637
1401/03/02, 1577, 1699
1401/03/01, 1626, 1705
1401/02/31, 1560, 1709
1401/02/28, 1607, 1671
1401/02/27, 1630, 1749
1401/02/26, 1650, 1714
1401/02/25, 1619, 1725
1401/02/24, 1674, 1767
1401/02/21, 1611, 1723
1401/02/20, 1580, 1700
1401/02/19, 1610, 1646
1401/02/18, 1492, 1593
1401/02/17, 1489, 1525
1401/02/12, 1484, 1540
1401/02/11, 1482, 1555
1401/02/10, 1460, 1545
1401/02/07, 1458, 1489
1401/02/06, 1455, 1495
1401/02/05, 1450, 1509
1401/02/04, 1434, 1494
1401/01/31, 1451, 1517
1401/01/30, 1431, 1520
1401/01/29, 1445, 1492
1401/01/28, 1400, 1470
1401/01/27, 1435, 1480
1401/01/24, 1390, 1465
1401/01/23, 1388, 1469
1401/01/22, 1440, 1493
1401/01/21, 1450, 1493
1401/01/20, 1431, 1494
1401/01/17, 1487, 1590
1401/01/16, 1511, 1571
1401/01/15, 1443, 1508
1401/01/14, 1405, 1451
1401/01/10, 1390, 1429
1401/01/09, 1399, 1450
1401/01/08, 1378, 1459
1401/01/07, 1378, 1410
1401/01/06, 1361, 1433
1400/12/28, 1363, 1440
1400/12/25, 1320, 1376
1400/12/24, 1287, 1339
1400/12/23, 1291, 1363
1400/12/22, 1313, 1375
1400/12/21, 1324, 1394
1400/12/18, 1365, 1412
1400/12/17, 1360, 1417
1400/12/16, 1356, 1412
1400/12/15, 1381, 1424
1400/12/14, 1366, 1430
1400/12/11, 1370, 1450
1400/12/09, 1361, 1441
1400/12/08, 1351, 1390
1400/12/07, 1362, 1424
1400/12/04, 1380, 1411
1400/12/03, 1372, 1420
1400/12/02, 1398, 1430
1400/12/01, 1336, 1419
1400/11/30, 1367, 1456
1400/11/27, 1351, 1449
1400/11/25, 1363, 1410
1400/11/24, 1360, 1420
1400/11/23, 1332, 1425
1400/11/20, 1301, 1367
1400/11/19, 1225, 1315
1400/11/18, 1248, 1299
1400/11/17, 1267, 1370
1400/11/16, 1270, 1327
1400/11/13, 1236, 1289
1400/11/12, 1193, 1267
1400/11/11, 1141, 1226
1400/11/10, 1155, 1196
1400/11/09, 1130, 1181
1400/11/06, 1090, 1142
1400/11/05, 1084, 1150
1400/11/04, 1130, 1160
1400/11/03, 1135, 1186
1400/11/02, 1145, 1195
1400/10/29, 1150, 1186
1400/10/28, 1136, 1196
1400/10/27, 1166, 1213
1400/10/26, 1173, 1204
1400/10/25, 1185, 1220
1400/10/22, 1201, 1229
1400/10/21, 1198, 1240
1400/10/20, 1145, 1233
1400/10/19, 1188, 1245
1400/10/18, 1235, 1287
1400/10/15, 1250, 1320
1400/10/14, 1286, 1320
1400/10/13, 1273, 1319
1400/10/12, 1267, 1310
1400/10/11, 1262, 1302
1400/10/08, 1284, 1344
1400/10/07, 1230, 1323
1400/10/06, 1214, 1265
1400/10/05, 1187, 1225
1400/10/04, 1192, 1266
1400/10/01, 1174, 1227
1400/09/30, 1141, 1188
1400/09/29, 1135, 1174
1400/09/28, 1135, 1174
1400/09/27, 1140, 1190
1400/09/24, 1146, 1180
1400/09/23, 1133, 1179
1400/09/22, 1115, 1185
1400/09/21, 1152, 1210
1400/09/20, 1196, 1249
1400/09/17, 1200, 1245
1400/09/16, 1196, 1249
1400/09/15, 1203, 1241
1400/09/14, 1130, 1194
1400/09/13, 1121, 1192
1400/09/10, 1139, 1218
1400/09/09, 1186, 1230
1400/09/08, 1190, 1244
1400/09/07, 1201, 1240
