date, min_price, max_price
1402/03/01, 26800, 27950
1402/02/31, 26500, 27700
1402/02/30, 27800, 29150
1402/02/27, 29050, 30850
1402/02/25, 28500, 31000
1402/02/24, 28150, 29500
1402/02/23, 27400, 29900
1402/02/20, 28800, 31300
1402/02/19, 28100, 31550
1402/02/18, 29900, 31000
1402/02/17, 31900, 34200
1402/02/16, 33650, 35000
1402/02/13, 33900, 35650
1402/02/12, 33400, 35500
1402/02/11, 33100, 34000
1402/02/10, 33400, 35000
1402/02/09, 33050, 35150
1402/02/06, 32100, 34100
1402/02/05, 31450, 32700
1402/02/04, 31000, 32200
1402/01/30, 30500, 32100
1402/01/29, 31450, 32950
1402/01/28, 30400, 32900
1402/01/27, 30300, 31900
1402/01/26, 31000, 32200
1402/01/22, 29050, 31000
1402/01/21, 29800, 32800
1402/01/20, 31400, 33050
1402/01/19, 31400, 33250
1402/01/16, 28850, 31350
1402/01/15, 28750, 30000
1402/01/14, 27400, 29850
1402/01/09, 26400, 29000
1402/01/08, 27100, 28450
1402/01/07, 26250, 28500
1402/01/06, 26600, 27300
1402/01/05, 27350, 29300
1401/12/28, 27400, 29500
1401/12/27, 27200, 28850
1401/12/24, 25950, 27100
1401/12/23, 24450, 25950
1401/12/22, 24250, 25200
1401/12/21, 23500, 24950
1401/12/20, 24600, 25500
1401/12/16, 24900, 26200
1401/12/15, 24500, 25600
1401/12/14, 25200, 27000
1401/12/13, 25200, 26500
1401/12/10, 25500, 27500
1401/12/09, 25850, 27950
1401/12/08, 26100, 28800
1401/12/07, 26350, 28050
1401/12/06, 26250, 26250
1401/12/03, 23200, 25100
1401/12/02, 23500, 23500
1401/12/01, 21250, 22000
1401/11/30, 20150, 21200
1401/11/26, 19800, 20400
1401/11/25, 19800, 20180
1401/11/24, 19100, 20100
1401/11/23, 19030, 20010
1401/11/19, 19760, 20150
1401/11/18, 19300, 19980
1401/11/17, 18600, 19440
1401/11/16, 18670, 19740
1401/11/12, 18610, 19620
1401/11/11, 18650, 19250
1401/11/10, 17900, 19500
1401/11/09, 18960, 20010
1401/11/08, 19010, 20470
1401/11/05, 19550, 20850
1401/11/04, 20700, 21450
1401/11/03, 20300, 21500
1401/11/02, 19650, 20550
1401/11/01, 19750, 21000
1401/10/28, 20100, 20800
1401/10/27, 20150, 21150
1401/10/26, 20300, 21100
1401/10/24, 19550, 20750
1401/10/21, 20000, 21060
1401/10/20, 20080, 21110
1401/10/19, 19770, 20670
1401/10/18, 19200, 20490
1401/10/17, 18500, 19650
1401/10/14, 18700, 19550
1401/10/13, 18850, 20500
1401/10/12, 18950, 20100
1401/10/11, 18300, 20200
1401/10/10, 19550, 20250
1401/10/07, 19800, 21310
