date, min_price, max_price
1402/02/24, 74500, 79710
1402/02/23, 74350, 84400
1402/02/20, 77340, 83950
1402/02/19, 81480, 83860
1402/02/18, 84130, 84130
1402/02/17, 90200, 94380
1402/02/16, 88000, 100000
1402/02/13, 89470, 94390
1402/02/12, 80700, 88360
1402/02/11, 81010, 83950
1402/02/10, 76500, 86500
1402/02/09, 77670, 80920
1402/02/06, 69690, 77220
1402/02/05, 70000, 73140
1402/02/04, 70000, 72850
1402/01/30, 70000, 72490
1402/01/29, 68000, 72600
1402/01/28, 70500, 72540
1402/01/27, 68500, 71880
1402/01/26, 70000, 72720
1402/01/22, 69000, 71000
1402/01/21, 68440, 73490
1402/01/20, 69980, 73850
1402/01/19, 68990, 72340
1402/01/16, 62010, 69070
1402/01/15, 63640, 65900
1402/01/14, 63500, 65200
1402/01/09, 62880, 65000
1402/01/08, 61990, 63670
1402/01/07, 61060, 63360
1402/01/06, 60930, 64200
1402/01/05, 60510, 67520
1401/12/28, 63200, 67750
1401/12/27, 59770, 64700
1401/12/24, 59090, 61250
1401/12/23, 57950, 60260
1401/12/22, 58370, 61990
1401/12/21, 60000, 62000
1401/12/20, 62320, 65740
1401/12/16, 61100, 65000
1401/12/15, 63440, 65740
1401/12/14, 60700, 63900
1401/12/13, 57260, 63950
1401/12/10, 58090, 61990
1401/12/09, 58500, 60430
1401/12/08, 58000, 61250
1401/12/07, 58010, 64970
1401/12/06, 60010, 61790
1401/12/03, 55250, 59430
1401/12/02, 54250, 57180
1401/12/01, 50540, 53640
1401/11/30, 49000, 51600
1401/11/26, 48290, 50700
1401/11/25, 48200, 50990
1401/11/24, 49600, 51370
1401/11/23, 50320, 51950
1401/11/19, 50140, 52000
1401/11/18, 49400, 50810
1401/11/17, 48790, 50000
1401/11/16, 47010, 49080
1401/11/12, 46200, 49870
1401/11/11, 47050, 49700
1401/11/10, 44470, 48560
1401/11/09, 44620, 47500
1401/11/08, 46900, 50000
1401/11/05, 49010, 52270
1401/11/04, 51150, 53490
1401/11/03, 51400, 54250
1401/11/02, 51430, 53960
1401/11/01, 52000, 53500
1401/10/28, 48910, 53000
1401/10/27, 49500, 52070
1401/10/26, 49690, 52000
1401/10/24, 46000, 49690
1401/10/21, 47520, 48950
1401/10/20, 47620, 49000
1401/10/19, 47600, 49320
1401/10/18, 46500, 48400
1401/10/17, 44430, 47880
1401/10/14, 44080, 46450
1401/10/13, 44330, 47540
1401/10/12, 43340, 45170
1401/10/11, 42060, 45000
1401/10/10, 41220, 43990
1401/10/07, 43230, 44690
1401/10/05, 41720, 43590
1401/10/04, 41400, 43800
1401/10/03, 42500, 43990
1401/09/30, 42120, 43970
1401/09/29, 43500, 45610
1401/09/28, 44460, 46720
1401/09/27, 42050, 44660
1401/09/26, 41390, 43920
1401/09/23, 40260, 43420
1401/09/22, 42000, 43980
1401/09/21, 40510, 43350
1401/09/20, 40220, 41000
1401/09/19, 41620, 43980
1401/09/16, 42500, 45500
1401/09/15, 41070, 44000
1401/09/14, 41270, 44300
1401/09/13, 40030, 42960
1401/09/12, 37240, 40410
1401/09/09, 37700, 38390
1401/09/08, 37250, 38240
1401/09/07, 37400, 38690
1401/09/06, 37310, 38640
1401/09/05, 38020, 38640
1401/09/02, 38000, 38990
1401/09/01, 37530, 39300
1401/08/30, 37520, 38960
1401/08/29, 36070, 39190
1401/08/28, 36370, 37970
1401/08/25, 36810, 38140
1401/08/24, 37050, 38330
1401/08/23, 36530, 38300
1401/08/22, 36820, 38190
1401/08/21, 36220, 38470
1401/08/18, 35510, 37990
1401/08/17, 36040, 39000
1401/08/16, 35000, 38460
1401/08/15, 34700, 36480
1401/08/14, 32580, 34720
1401/08/11, 32160, 33180
1401/08/10, 32100, 33390
1401/08/09, 30820, 32950
1401/08/08, 30870, 32790
1401/08/07, 31000, 32490
1401/08/04, 31100, 32900
1401/08/03, 32200, 33200
1401/08/02, 32840, 33410
1401/08/01, 32900, 33350
1401/07/30, 32750, 33940
1401/07/27, 32620, 34800
1401/07/26, 32790, 33800
1401/07/25, 32250, 33090
1401/07/24, 32780, 33190
1401/07/23, 32910, 33900
1401/07/20, 32700, 33850
1401/07/19, 32300, 33590
1401/07/18, 32250, 33000
1401/07/17, 32050, 33200
1401/07/16, 32140, 33660
1401/07/12, 32590, 34000
1401/07/11, 32050, 34600
1401/07/10, 31750, 33300
1401/07/09, 32040, 33800
1401/07/06, 33780, 36230
1401/07/04, 33100, 35390
1401/07/02, 33560, 35900
1401/06/30, 35440, 36570
1401/06/29, 35550, 36800
1401/06/28, 35820, 37370
1401/06/27, 36050, 37880
1401/06/23, 37150, 38020
1401/06/22, 36770, 38190
1401/06/21, 36800, 38000
1401/06/20, 37120, 37990
1401/06/19, 36320, 38200
1401/06/16, 37500, 39500
1401/06/15, 37370, 39600
1401/06/14, 38440, 39580
1401/06/13, 38000, 38920
1401/06/12, 37470, 39230
1401/06/09, 38600, 39680
1401/06/08, 38260, 39770
1401/06/07, 37110, 39500
1401/06/06, 37710, 39740
1401/06/05, 36100, 37960
1401/06/02, 35570, 36900
1401/06/01, 34900, 36700
1401/05/31, 34340, 35480
1401/05/30, 34000, 35500
1401/05/29, 34280, 36400
1401/05/26, 35000, 35980
1401/05/25, 34330, 36750
1401/05/24, 34740, 36100
1401/05/23, 34900, 36460
1401/05/22, 35870, 37390
1401/05/19, 35000, 36500
1401/05/18, 36140, 37630
1401/05/15, 36070, 37950
1401/05/12, 36020, 36990
1401/05/11, 34860, 36700
1401/05/10, 34010, 35990
1401/05/09, 33240, 34740
1401/05/08, 33210, 34990
1401/05/05, 33030, 35300
1401/05/04, 32660, 36680
1401/05/03, 34340, 35980
1401/05/02, 35120, 36910
1401/04/25, 40060, 43000
1401/04/22, 40600, 43300
1401/04/21, 42500, 44000
1401/04/20, 43000, 45930
1401/04/18, 44840, 46000
1401/04/15, 45270, 48050
1401/04/14, 44850, 47250
1401/04/13, 44740, 46660
1401/04/12, 45380, 46480
1401/04/11, 45200, 47800
1401/04/08, 44150, 46000
1401/04/07, 44910, 46450
1401/04/06, 44800, 46090
1401/04/05, 44500, 46970
1401/04/04, 45830, 47800
1401/04/01, 47180, 49000
1401/03/31, 48020, 49200
1401/03/30, 48110, 49000
1401/03/29, 48120, 49480
1401/03/28, 48100, 49950
1401/03/25, 49030, 50180
1401/03/24, 48810, 51000
1401/03/23, 48440, 51650
1401/03/22, 47800, 49830
1401/03/21, 48000, 50600
1401/03/18, 48500, 50470
1401/03/17, 48050, 50310
1401/03/16, 48510, 52630
1401/03/11, 50860, 53250
1401/03/07, 51500, 52900
1401/03/04, 48250, 50510
1401/03/03, 48000, 50500
1401/03/02, 48740, 52980
1401/03/01, 50300, 52000
1401/02/31, 50700, 53000
1401/02/28, 51660, 53940
1401/02/27, 51510, 55000
1401/02/26, 53000, 55320
1401/02/25, 51410, 53780
1401/02/24, 49160, 50980
1401/02/21, 46170, 49700
1401/02/20, 46030, 48200
1401/02/19, 47060, 49000
1401/02/18, 47010, 48690
1401/02/17, 47500, 49990
1401/02/12, 47860, 50540
1401/02/11, 47100, 49800
1401/02/10, 44600, 48090
1401/02/07, 44630, 46440
1401/02/06, 44560, 47700
1401/02/05, 44210, 46100
1401/02/04, 44160, 46100
1401/01/31, 43300, 45600
1401/01/30, 42620, 46670
1401/01/29, 42140, 44290
1401/01/28, 41200, 42990
1401/01/27, 41800, 43990
1401/01/24, 40130, 44000
1401/01/23, 41840, 43850
1401/01/22, 43000, 45960
1401/01/21, 43000, 44080
1401/01/20, 40250, 43000
1401/01/17, 40600, 42090
1401/01/16, 41000, 42300
1401/01/15, 41200, 42980
1401/01/14, 40310, 41590
1401/01/10, 40150, 42000
1401/01/09, 40000, 42490
1401/01/08, 39410, 41060
1401/01/07, 38610, 39490
1401/01/06, 38400, 40320
1400/12/28, 38760, 40180
1400/12/25, 38010, 39180
1400/12/24, 38110, 39450
1400/12/23, 38360, 39700
1400/12/22, 38200, 39100
1400/12/21, 38100, 40200
1400/12/18, 39500, 40900
1400/12/17, 39110, 40330
1400/12/16, 39410, 41680
1400/12/15, 40600, 42800
