date, min_price, max_price
1402/02/23, 18450, 19420
1402/02/20, 18740, 20700
1402/02/19, 19230, 21250
1402/02/18, 20240, 20260
1402/02/17, 20600, 22760
1402/02/16, 21680, 21680
1402/02/13, 20390, 20650
1402/02/12, 18680, 19840
1402/02/11, 18200, 19020
1402/02/10, 17500, 18580
1402/02/09, 17510, 18700
1402/02/06, 17750, 18800
1402/02/05, 18070, 18070
1402/01/29, 16800, 17290
1402/01/28, 15630, 16750
1402/01/27, 15560, 16480
1402/01/26, 16050, 16660
1402/01/22, 15300, 16500
1402/01/21, 15100, 16680
1402/01/20, 15600, 15930
1402/01/19, 15180, 15180
1402/01/16, 14000, 14790
1402/01/15, 13800, 14120
1402/01/14, 12600, 13620
1402/01/09, 12650, 13330
1402/01/08, 12500, 12990
1402/01/07, 12290, 12770
1402/01/06, 12160, 13090
1402/01/05, 12330, 13080
1401/12/28, 12390, 12930
1401/12/27, 11730, 12360
1401/12/24, 11600, 11980
1401/12/23, 11430, 12090
1401/12/22, 11150, 11950
1401/12/21, 11520, 11920
1401/12/20, 12000, 12830
1401/12/16, 12350, 12890
1401/12/15, 12080, 13120
1401/12/14, 12410, 13260
1401/12/13, 12970, 13490
1401/12/10, 12900, 13830
1401/12/09, 12510, 13350
1401/12/08, 12140, 12900
1401/12/07, 11800, 12580
1401/12/06, 11670, 12020
1401/12/03, 11020, 11660
1401/12/02, 11100, 11640
1401/12/01, 10960, 11440
1401/11/30, 10790, 11150
1401/11/26, 10600, 10970
1401/11/25, 10750, 11280
1401/11/24, 10350, 11040
1401/11/23, 10330, 10690
1401/11/19, 10350, 11050
1401/11/18, 10360, 10940
1401/11/17, 10600, 11130
1401/11/16, 10710, 11760
1401/11/12, 10800, 11510
1401/11/11, 10890, 11450
1401/11/10, 10300, 11190
1401/11/09, 10640, 11200
1401/11/08, 10390, 11380
1401/11/05, 10640, 11700
1401/11/04, 10560, 11240
1401/11/03, 10500, 10910
1401/11/02, 10570, 11300
1401/11/01, 11030, 11540
1401/10/28, 11200, 12090
1401/10/27, 11320, 12150
1401/10/26, 11380, 11930
1401/10/24, 10850, 11780
1401/10/21, 10910, 11300
1401/10/20, 10200, 10850
1401/10/19, 10100, 10530
1401/10/18, 10250, 10780
1401/10/17, 10030, 10750
1401/10/14, 9880, 10290
1401/10/13, 9700, 9800
1401/10/12, 9000, 9480
1401/10/11, 8820, 9210
1401/10/10, 8950, 9310
1401/10/07, 9140, 9460
1401/10/05, 9000, 9460
1401/10/04, 9040, 9500
1401/10/03, 9100, 9410
1401/09/30, 8950, 9190
1401/09/29, 8770, 9250
1401/09/28, 8980, 9260
1401/09/27, 9000, 9340
