date, min_price, max_price
1402/02/31, 71800, 75600
1402/02/30, 72800, 79500
1402/02/27, 71000, 76550
1402/02/25, 67650, 72200
1402/02/24, 65000, 67650
1402/02/23, 62500, 67050
1402/02/20, 62500, 70950
1402/02/19, 65000, 69050
1402/02/18, 69850, 69850
1402/02/17, 74900, 78700
1402/02/16, 77000, 82850
1402/02/13, 76550, 80750
1402/02/12, 72300, 76200
1402/02/11, 67650, 73600
1402/02/10, 67000, 70800
1402/02/09, 64500, 68050
1402/02/06, 64000, 66600
1402/02/05, 65550, 69050
1402/02/04, 63300, 66400
1402/01/30, 63250, 66250
1402/01/29, 62900, 65600
1402/01/28, 62750, 65200
1402/01/27, 62800, 66000
1402/01/26, 64500, 67350
1402/01/22, 61700, 64450
1402/01/21, 61100, 68700
1402/01/20, 62600, 65250
1402/01/19, 59050, 62450
1402/01/16, 57350, 59500
1402/01/15, 57000, 60800
1402/01/14, 56600, 60550
1402/01/09, 57400, 63000
1402/01/08, 60050, 62900
1402/01/07, 58500, 60700
1402/01/06, 57750, 60600
1402/01/05, 57100, 61150
1401/12/28, 56100, 58400
1401/12/27, 55600, 58600
1401/12/24, 55400, 57850
1401/12/23, 56750, 60450
1401/12/22, 59500, 62600
1401/12/21, 54900, 61650
1401/12/20, 58850, 63100
1401/12/16, 60700, 64800
1401/12/15, 58350, 60700
1401/12/14, 53650, 57100
1401/12/13, 50750, 57000
1401/11/25, 86300, 90650
1401/11/24, 85350, 89500
1401/11/23, 82800, 87750
1401/11/19, 85600, 93000
1401/11/18, 86300, 90000
1401/11/17, 78700, 86150
1401/11/16, 78600, 82700
1401/11/12, 79750, 82400
1401/11/11, 79150, 82900
1401/11/10, 76100, 81000
1401/11/09, 78100, 83700
1401/11/08, 82600, 88200
1401/11/05, 86050, 91050
1401/11/04, 87900, 92900
1401/11/03, 87150, 90400
1401/11/02, 84650, 89300
1401/11/01, 86200, 94100
1401/10/28, 91000, 94550
1401/10/27, 92150, 99000
1401/10/26, 91600, 94950
1401/10/24, 85650, 90500
1401/10/21, 82000, 86300
1401/10/20, 83500, 86350
1401/10/19, 83600, 86950
1401/10/18, 82300, 86500
1401/10/17, 81600, 84500
1401/10/14, 80400, 84400
1401/10/13, 80550, 84200
1401/10/12, 80000, 83400
1401/10/11, 80000, 83000
1401/10/10, 79850, 85850
1401/10/07, 83900, 87300
1401/10/05, 82400, 84700
1401/10/04, 82900, 86350
1401/10/03, 82900, 86750
1401/09/30, 78500, 84000
1401/09/29, 78200, 81850
1401/09/28, 79850, 81600
1401/09/27, 79100, 81000
1401/09/26, 78700, 80600
1401/09/23, 77150, 79800
1401/09/22, 76000, 79450
1401/09/21, 75100, 77150
1401/09/20, 75250, 77500
1401/09/19, 75000, 77650
1401/09/16, 75000, 77900
1401/09/15, 75500, 77450
1401/09/14, 75800, 77200
1401/09/13, 73500, 76900
1401/09/12, 75550, 81500
1401/09/09, 80400, 82850
1401/09/08, 79850, 83550
1401/09/07, 81500, 84600
1401/09/06, 82000, 85000
1401/09/05, 82000, 84050
1401/09/02, 81950, 84650
1401/09/01, 81500, 83950
1401/08/30, 81700, 85700
1401/08/29, 80900, 84500
1401/08/28, 81850, 85250
1401/08/25, 81800, 86500
1401/08/24, 81500, 85450
1401/08/23, 81150, 85400
1401/08/22, 83050, 88000
1401/08/21, 85050, 89400
1401/08/18, 85700, 87800
1401/08/17, 86350, 90050
1401/08/16, 82700, 88500
1401/08/15, 82500, 86500
1401/08/14, 82450, 85150
1401/08/11, 81450, 83900
1401/08/10, 79900, 82850
1401/08/09, 78000, 81000
1401/08/08, 76900, 79950
1401/08/07, 75350, 79300
1401/08/04, 73100, 78800
1401/08/03, 72950, 78600
1401/08/02, 76050, 78400
1401/08/01, 76300, 78900
1401/07/30, 76100, 79000
1401/07/27, 75900, 78800
1401/07/26, 75650, 78800
1401/07/25, 73600, 77300
1401/07/24, 73500, 75500
1401/07/23, 73050, 75500
1401/07/20, 72650, 75200
1401/07/19, 71500, 74500
1401/07/18, 72300, 74850
1401/07/17, 71200, 74650
1401/07/16, 70000, 74900
1401/07/12, 70000, 74900
1401/07/11, 72100, 77800
1401/07/10, 76200, 78100
1401/07/09, 76100, 79400
1401/07/06, 75800, 79000
1401/07/04, 74550, 77450
1401/07/02, 74200, 77950
1401/06/30, 75100, 77800
1401/06/29, 76500, 78000
1401/06/28, 76300, 79500
1401/06/27, 76100, 78100
1401/06/23, 75500, 78850
1401/06/22, 77500, 79950
1401/06/21, 72900, 78300
1401/06/20, 71800, 74200
1401/06/19, 71500, 74400
1401/06/16, 71500, 74450
1401/06/15, 71050, 74200
1401/06/14, 70550, 74300
1401/06/13, 70200, 74000
1401/06/12, 71300, 74750
1401/06/09, 72600, 75000
1401/06/08, 72800, 75750
1401/06/07, 72600, 74650
1401/06/06, 71400, 74900
1401/06/05, 72600, 75000
1401/06/02, 70150, 73900
1401/06/01, 69650, 72250
1401/05/31, 68950, 70900
1401/05/30, 67300, 71000
1401/05/29, 69500, 72700
1401/05/26, 71600, 75250
1401/05/25, 72550, 75950
1401/05/24, 73000, 76300
1401/05/23, 73550, 76400
1401/05/22, 72650, 76000
1401/05/19, 73700, 76800
1401/05/18, 72800, 75850
1401/05/15, 72400, 76600
1401/05/12, 74100, 76900
1401/05/11, 71550, 75200
1401/05/10, 69250, 73450
1401/05/09, 68500, 71550
1401/05/08, 69150, 71300
1401/05/05, 67150, 70000
1401/05/04, 63100, 67850
1401/05/03, 63500, 67000
1401/05/02, 65450, 69400
1401/05/01, 68350, 70150
1401/04/29, 69000, 70500
1401/04/28, 68300, 71800
1401/04/26, 67600, 70850
1401/04/25, 67900, 72150
1401/04/22, 69100, 72100
1401/04/21, 66600, 69800
1401/04/20, 68400, 72850
1401/04/18, 71550, 74900
1401/04/15, 72500, 75250
1401/04/14, 72850, 75400
1401/04/13, 74100, 76000
1401/04/12, 74100, 76750
1401/04/11, 73050, 77250
1401/04/08, 73850, 77550
1401/04/07, 73800, 77650
1401/04/06, 74300, 77850
1401/04/05, 72400, 74400
1401/04/04, 71250, 74550
1401/04/01, 73000, 76600
1401/03/31, 74500, 79450
1401/03/30, 71000, 79300
1401/03/22, 78450, 81900
1401/03/21, 79650, 83500
1401/03/18, 79700, 83450
1401/03/17, 77050, 80350
1401/03/16, 79050, 85550
1401/03/11, 82400, 86050
1401/03/10, 80850, 85850
1401/03/09, 79000, 84000
1401/03/08, 82650, 86700
1401/03/07, 86500, 91900
1401/03/04, 89200, 93950
1401/03/03, 89150, 92800
1401/03/02, 89100, 97150
1401/03/01, 93500, 97800
1401/02/31, 94500, 101150
1401/02/28, 93600, 99950
1401/02/27, 94500, 102500
1401/02/26, 98250, 100800
1401/02/25, 90200, 96650
1401/02/24, 90000, 93100
1401/02/21, 88400, 91350
1401/02/20, 88450, 93350
1401/02/19, 90750, 95000
1401/02/18, 88900, 92700
1401/02/17, 91050, 94950
1401/02/12, 90050, 94850
1401/02/11, 90800, 94600
1401/02/10, 93100, 97800
1401/02/07, 90000, 92850
1401/02/06, 86150, 89950
1401/02/05, 83050, 88450
1401/02/04, 82650, 88900
1401/01/31, 87150, 89800
1401/01/30, 86200, 91600
1401/01/29, 86650, 91500
1401/01/28, 89200, 92700
1401/01/27, 87150, 91950
1401/01/24, 85650, 92300
1401/01/23, 88100, 93300
1401/01/22, 90100, 94600
1401/01/21, 90000, 96700
1401/01/20, 91500, 95900
1401/01/17, 92900, 98800
1401/01/16, 91100, 94300
1401/01/15, 88300, 91550
1401/01/14, 90350, 96500
1401/01/10, 92500, 95700
1401/01/09, 89200, 95500
1401/01/07, 88550, 92800
1401/01/06, 86200, 88450
1400/12/28, 80050, 85600
1400/12/25, 81050, 82950
1400/12/24, 79300, 84450
1400/12/23, 78200, 83950
1400/12/22, 81850, 83400
1400/12/21, 86100, 88200
1400/12/18, 89800, 95500
1400/12/17, 90100, 95950
1400/12/16, 89150, 95000
1400/12/15, 90500, 93200
1400/12/14, 93350, 101150
1400/12/11, 94850, 103100
1400/12/09, 96300, 100900
1400/12/08, 91850, 97450
1400/12/07, 87500, 95600
1400/12/04, 89100, 94400
1400/12/03, 86000, 91900
1400/12/02, 86000, 87600
1400/12/01, 81450, 83850
1400/11/30, 78000, 80050
1400/11/27, 73850, 76350
1400/11/25, 70750, 74850
1400/11/24, 70100, 72400
1400/11/23, 69550, 73300
1400/11/20, 69000, 71900
1400/11/19, 69350, 73250
1400/11/18, 70550, 74000
1400/11/17, 74200, 78250
1400/11/16, 76500, 82200
1400/11/13, 77700, 83900
1400/11/12, 78600, 80750
1400/11/11, 76550, 80450
1400/11/10, 79850, 84050
1400/11/09, 81850, 85100
1400/11/06, 78550, 82000
1400/11/05, 74200, 81900
1400/11/04, 76000, 79650
1400/11/03, 74200, 80000
1400/11/02, 74650, 78350
1400/10/29, 74650, 74650
1400/10/28, 75750, 75750
1400/10/27, 79700, 81100
1400/10/26, 83600, 88700
1400/10/25, 87300, 93600
1400/10/22, 89500, 93300
1400/10/21, 87300, 92000
1400/10/20, 91850, 91850
1400/10/19, 94050, 102700
1400/10/18, 96750, 102900
1400/10/15, 100090, 103490
1400/10/14, 101000, 103440
1400/10/13, 100770, 103780
1400/10/12, 101970, 104000
1400/10/11, 100635, 105000
1400/10/08, 101400, 105699
1400/10/07, 104250, 107900
1400/10/06, 104000, 108100
1400/10/05, 101050, 105305
1400/10/04, 103207, 109999
1400/10/01, 106084, 109997
1400/09/30, 100421, 106800
1400/09/29, 99999, 105000
1400/09/28, 100631, 105548
1400/09/27, 104500, 107970
1400/09/24, 103000, 107400
1400/09/23, 100035, 106310
1400/09/22, 100000, 103000
1400/09/21, 100041, 103900
1400/09/20, 103300, 108400
1400/09/17, 102562, 110499
1400/09/16, 105730, 110000
1400/09/15, 106043, 109145
1400/09/14, 104000, 108000
1400/09/13, 103010, 109159
1400/09/10, 104155, 106880
1400/09/09, 103130, 108300
1400/09/08, 107780, 114966
1400/09/07, 109008, 116200
1400/09/06, 114627, 118699
1400/09/03, 117031, 123900
1400/09/02, 114945, 119487
1400/09/01, 107401, 114945
1400/08/30, 107550, 111900
1400/08/29, 101000, 109751
1400/08/26, 103000, 108000
1400/08/25, 101470, 106960
1400/08/24, 103405, 109900
1400/08/23, 103110, 111299
1400/08/22, 105797, 114736
1400/08/19, 107000, 113999
1400/08/18, 110318, 116800
1400/08/17, 112000, 119020
1400/08/16, 112040, 121280
1400/08/15, 105296, 116378
1400/08/12, 108501, 113423
1400/08/11, 105000, 110111
1400/08/10, 104444, 108825
1400/08/09, 107245, 107245
1400/08/08, 112373, 120000
1400/08/05, 116501, 122270
1400/08/04, 115913, 121000
1400/08/03, 116002, 121070
1400/08/01, 116527, 123999
1400/07/28, 120000, 125000
1400/07/27, 121740, 125630
1400/07/26, 119000, 122878
1400/07/25, 122878, 130000
1400/07/24, 125300, 130809
1400/07/21, 120000, 128500
1400/07/20, 123385, 130698
1400/07/19, 127719, 131329
1400/07/18, 123195, 128500
1400/07/17, 121540, 128922
1400/07/14, 120486, 126490
1400/07/12, 119787, 125995
1400/07/11, 126081, 128000
1400/07/10, 128000, 135999
1400/07/07, 126790, 132152
1400/07/06, 124501, 128500
1400/07/04, 120790, 127690
1400/07/03, 119550, 122720
1400/06/31, 109205, 117700
1400/06/30, 110083, 117000
1400/06/29, 111401, 117038
1400/06/28, 108067, 118200
1400/06/27, 113075, 118500
1400/06/24, 117000, 122300
1400/06/23, 111210, 118850
1400/06/22, 112890, 121000
1400/06/21, 118059, 123840
1400/06/20, 122411, 127330
1400/06/17, 117720, 124800
1400/06/16, 118215, 122500
1400/06/15, 119829, 130320
1400/06/14, 120850, 125640
1400/06/13, 116840, 119829
1400/06/10, 107500, 118500
1400/06/09, 112593, 117500
1400/06/08, 118484, 122000
1400/06/07, 120881, 130999
1400/06/06, 122500, 130800
1400/06/03, 124853, 129470
1400/06/02, 128800, 133730
1400/06/01, 121000, 131900
1400/05/31, 122750, 125863
1400/05/24, 119025, 125279
1400/05/23, 121938, 134200
1400/05/20, 125000, 128613
1400/05/19, 119000, 123144
1400/05/18, 114000, 118002
1400/05/17, 109000, 112796
1400/05/16, 104200, 108596
1400/05/13, 101002, 104600
1400/05/12, 95806, 103890
1400/05/11, 100035, 105400
1400/05/10, 99554, 109490
1400/05/09, 100573, 105599
1400/05/06, 100052, 104189
1400/05/05, 104189, 109700
1400/05/04, 106723, 112790
1400/04/28, 109800, 114400
1400/04/27, 104650, 111233
1400/04/26, 103500, 110000
1400/04/23, 103590, 108499
1400/04/22, 104441, 110000
1400/04/21, 106000, 113888
1400/04/20, 105200, 111890
1400/04/19, 103960, 110010
1400/04/16, 106766, 111990
1400/04/15, 109377, 119770
1400/04/14, 106225, 115629
1400/04/13, 108422, 114000
1400/04/12, 111000, 118693
1400/04/09, 110501, 121829
1400/04/08, 107500, 118025
1400/04/07, 108060, 112502
1400/04/06, 102492, 107595
1400/04/05, 94000, 103623
1400/04/02, 98689, 98689
1400/04/01, 91000, 94500
1400/03/31, 90000, 90000
1400/03/24, 98304, 98304
1400/03/23, 103477, 103477
1400/03/22, 108923, 108923
1400/03/19, 114655, 114655
1400/03/18, 121129, 121129
1400/03/17, 121187, 121187
1400/03/12, 121338, 121338
1400/03/11, 121472, 121472
1400/03/10, 121488, 121488
1400/03/09, 121665, 121665
1400/03/08, 122272, 122272
1400/03/05, 122287, 122287
1400/03/04, 122630, 122630
1400/03/03, 122640, 122640
1400/03/02, 122644, 122644
1400/03/01, 122683, 122683
1400/02/29, 123120, 123120
1400/02/28, 123256, 123256
1400/02/27, 123272, 123272
1400/02/26, 123293, 123293
1400/02/25, 123349, 123349
1400/02/22, 125952, 125952
1400/02/21, 125985, 125985
1400/02/20, 125988, 125988
1400/02/19, 125989, 125989
1400/02/18, 125995, 125995
1400/02/15, 126027, 126027
1400/02/13, 128144, 128144
1400/02/12, 128145, 128145
1400/02/11, 128154, 128154
1400/02/08, 128189, 128189
1400/02/07, 130781, 130781
1400/02/06, 130792, 130792
1400/02/05, 130798, 130798
1400/02/04, 130812, 130812
1400/02/01, 130866, 130866
1400/01/31, 132839, 132839
1400/01/30, 132842, 132842
1400/01/29, 132921, 132921
1400/01/28, 132928, 132928
1400/01/25, 132949, 132949
1400/01/24, 133035, 133035
1400/01/23, 133422, 133422
1400/01/22, 133660, 133660
1400/01/21, 133663, 133663
1400/01/18, 134128, 134128
