date, min_price, max_price
1402/03/03, 47950, 49770
1402/03/02, 48200, 50210
1402/02/31, 46500, 48850
1402/02/30, 46420, 50870
1402/02/27, 48000, 49610
1402/02/25, 48000, 49800
1402/02/24, 46010, 47860
1402/02/23, 45360, 48500
1402/02/20, 47440, 52300
1402/02/19, 49670, 51950
1402/02/18, 52280, 52500
1402/02/17, 54880, 59970
1402/02/16, 55450, 58170
1402/02/13, 54410, 56650
1402/02/12, 51200, 54830
1402/02/11, 51410, 53090
1402/02/10, 49800, 52350
1402/02/09, 48520, 50850
1402/02/06, 48000, 49800
1402/02/05, 48130, 50100
1402/02/04, 48000, 50700
1402/01/30, 49060, 50900
1402/01/29, 49510, 52480
1402/01/28, 49650, 51990
1402/01/27, 48090, 50480
1402/01/26, 45630, 48090
1402/01/22, 44720, 47000
1402/01/21, 44470, 48750
1402/01/20, 44600, 46870
1402/01/19, 41250, 44670
1402/01/16, 39950, 43540
1402/01/15, 40300, 42100
1402/01/14, 39040, 41490
1402/01/09, 39500, 40950
1402/01/08, 38310, 40250
1402/01/07, 37650, 39650
1402/01/06, 38870, 40910
1402/01/05, 40000, 42830
1401/12/28, 39990, 41900
1401/12/27, 38430, 40320
1401/12/24, 36100, 38530
1401/12/23, 36000, 37300
1401/12/22, 36210, 38280
1401/12/21, 36110, 37490
1401/12/20, 36910, 38120
1401/12/16, 37240, 38470
1401/12/15, 37100, 38490
1401/12/14, 37090, 38500
1401/12/13, 37420, 39000
1401/12/10, 38070, 39420
1401/12/09, 37310, 39200
1401/12/08, 36610, 38390
1401/12/07, 35210, 38790
1401/12/06, 35900, 37080
1401/12/03, 34900, 36140
1401/12/02, 35010, 36350
1401/12/01, 32810, 34970
1401/11/30, 32510, 33690
1401/11/26, 33000, 33980
1401/11/25, 32800, 34440
1401/11/24, 33030, 33790
1401/11/23, 31450, 33500
1401/11/19, 32020, 33900
1401/11/18, 32000, 33420
1401/11/17, 30590, 32270
1401/11/16, 31110, 32900
1401/11/12, 31440, 32690
1401/11/11, 30090, 33190
1401/11/10, 30690, 32680
1401/11/09, 31060, 33120
1401/11/08, 31880, 33680
1401/11/05, 32720, 34590
1401/11/04, 33200, 35490
1401/11/03, 33350, 35100
1401/11/02, 33330, 35240
1401/11/01, 33810, 35340
1401/10/28, 34300, 35660
1401/10/27, 33250, 34440
1401/10/26, 31870, 33180
1401/10/24, 30750, 32840
1401/10/21, 31680, 33420
1401/10/20, 32700, 33900
1401/10/19, 33030, 34100
1401/10/18, 32700, 34300
1401/10/17, 33930, 35510
1401/10/14, 33440, 35420
1401/10/13, 32300, 33900
1401/10/12, 29760, 32320
1401/10/11, 30590, 32630
1401/10/10, 31940, 33040
1401/10/07, 32750, 33640
1401/10/05, 31550, 33000
1401/10/04, 32000, 33810
1401/10/03, 30810, 33420
1401/09/30, 31100, 33250
1401/09/29, 30690, 32950
1401/09/28, 30810, 32010
1401/09/27, 31390, 33590
1401/09/26, 31050, 32720
1401/09/23, 30810, 31900
1401/09/22, 29520, 32320
1401/09/21, 30080, 31320
1401/09/20, 28420, 29960
1401/09/19, 27900, 28990
1401/09/16, 27010, 28190
1401/09/15, 27500, 28000
1401/09/14, 27210, 28830
1401/09/13, 27180, 28220
1401/09/12, 26810, 27730
1401/09/09, 26600, 27880
1401/09/08, 27100, 27700
1401/09/07, 26700, 28390
1401/09/06, 27260, 28500
1401/09/05, 27780, 28700
1401/09/02, 26780, 29000
1401/09/01, 27310, 28670
1401/08/30, 26800, 27460
1401/08/25, 25800, 26800
1401/08/24, 26150, 27200
1401/08/23, 26410, 27400
1401/08/22, 26500, 28180
1401/08/21, 26110, 27620
1401/08/18, 24410, 26530
1401/08/17, 24430, 25860
1401/08/16, 22960, 25070
1401/08/15, 23700, 24790
1401/08/14, 22480, 23690
1401/08/11, 21980, 23120
1401/08/10, 22190, 22950
1401/08/09, 21750, 22800
1401/08/08, 21400, 22260
1401/08/07, 21220, 22680
1401/08/04, 21540, 22200
1401/08/03, 21480, 23450
1401/08/02, 22460, 23280
1401/08/01, 22700, 23970
1401/07/30, 22200, 23110
1401/07/27, 22290, 22960
1401/07/26, 22680, 23160
1401/07/25, 22450, 23010
1401/07/24, 22500, 23260
1401/07/23, 22790, 23530
1401/07/20, 22810, 23370
1401/07/19, 22900, 23580
1401/07/18, 22780, 23320
1401/07/17, 22380, 23400
1401/07/16, 22130, 23300
1401/07/12, 22000, 23390
1401/07/11, 22300, 23100
1401/07/10, 22260, 23100
1401/07/09, 22210, 23350
1401/07/06, 22980, 23840
1401/07/04, 23020, 23400
1401/07/02, 22650, 24170
1401/06/30, 23410, 24500
1401/06/29, 23370, 24420
1401/06/28, 23500, 24280
1401/06/27, 23520, 24580
1401/06/23, 24020, 24550
1401/06/22, 23960, 24600
1401/06/21, 23600, 24800
1401/06/20, 24300, 25070
1401/06/19, 24260, 25400
1401/06/16, 25050, 26080
1401/06/15, 25320, 26300
1401/06/14, 24980, 25990
1401/06/13, 24400, 25250
1401/06/12, 24220, 24830
1401/06/09, 24310, 24920
1401/06/08, 23960, 24920
1401/06/07, 24120, 24770
1401/06/06, 23730, 24290
1401/06/05, 23650, 24690
1401/06/02, 23810, 24480
1401/06/01, 23170, 24090
1401/05/31, 23580, 24300
1401/05/30, 23900, 24470
1401/05/29, 24100, 24660
1401/05/26, 24090, 24750
1401/05/25, 23980, 24490
1401/05/24, 23790, 24400
1401/05/23, 23790, 24470
1401/05/22, 23690, 24500
1401/05/19, 23650, 24480
1401/05/18, 23310, 24490
1401/05/15, 23700, 24700
1401/05/12, 22710, 24050
1401/05/11, 22380, 23510
1401/05/10, 22570, 23270
1401/05/09, 22590, 24000
1401/05/08, 23000, 24360
1401/05/05, 23700, 24800
1401/05/04, 23310, 23970
1401/05/03, 23550, 24780
1401/05/02, 24010, 25490
1401/05/01, 24490, 24550
1401/04/29, 22720, 24110
1401/04/28, 22810, 23450
1401/04/26, 22800, 23680
1401/04/25, 23300, 24160
1401/04/22, 23300, 24600
1401/04/21, 23410, 24190
1401/04/20, 23400, 24650
1401/04/18, 23770, 24940
1401/04/15, 23340, 25680
1401/04/14, 23350, 24610
1401/04/13, 23040, 23450
1401/04/07, 24660, 25550
1401/04/06, 24500, 25690
1401/04/05, 24140, 26000
1401/04/04, 24510, 25850
1401/04/01, 24320, 25350
1401/03/31, 24790, 25850
1401/03/30, 25230, 25900
1401/03/29, 25250, 26700
1401/03/28, 25240, 27120
1401/03/25, 26250, 26860
1401/03/24, 26580, 27960
1401/03/23, 26520, 28050
1401/03/22, 26540, 27250
1401/03/21, 26520, 27450
1401/03/18, 26510, 27640
1401/03/17, 26500, 27840
1401/03/16, 26640, 28430
1401/03/11, 27110, 28800
1401/03/10, 26010, 28050
1401/03/09, 26370, 27850
1401/03/08, 26100, 27920
1401/03/07, 25800, 26690
1401/03/04, 24130, 25460
1401/03/03, 23710, 24880
1401/03/02, 24090, 25980
1401/03/01, 24850, 25960
1401/02/31, 25440, 26100
1401/02/28, 26320, 27600
1401/02/27, 26610, 27430
1401/02/26, 27100, 28400
1401/02/25, 27100, 28700
1401/02/24, 26230, 27420
1401/02/21, 25800, 26540
1401/02/20, 24600, 26280
1401/02/19, 25230, 26550
1401/02/12, 25220, 26400
1401/02/11, 25610, 26840
1401/02/10, 25000, 26780
1401/02/07, 24980, 25900
1401/02/06, 24800, 25680
1401/02/05, 24510, 25800
1401/02/04, 24550, 25460
1401/01/31, 25070, 26000
1401/01/30, 24800, 26320
1401/01/29, 24980, 26170
1401/01/28, 23950, 25320
1401/01/27, 23900, 24590
1401/01/24, 23200, 24310
1401/01/23, 23250, 24500
1401/01/22, 23200, 24180
1401/01/21, 22850, 23890
1401/01/20, 22510, 23550
1401/01/17, 22570, 24200
1401/01/16, 23260, 24430
1401/01/15, 23550, 24890
1401/01/14, 23630, 24810
1401/01/10, 22210, 23800
1401/01/09, 22400, 23170
1401/01/08, 22000, 23190
1401/01/07, 22010, 22580
1401/01/06, 21830, 22870
1400/12/28, 22000, 22560
1400/12/25, 21750, 22290
1400/12/24, 21790, 22300
1400/12/23, 21750, 22340
1400/12/22, 22000, 22400
1400/12/21, 21600, 22540
1400/12/18, 21650, 22590
1400/12/17, 22020, 23120
1400/12/16, 21300, 22350
1400/12/15, 21000, 21810
1400/12/14, 20840, 21500
1400/12/11, 20880, 22000
1400/12/09, 21600, 22420
1400/12/08, 20800, 21810
1400/12/07, 20430, 21370
1400/12/04, 19740, 20770
1400/12/03, 19590, 20100
1400/12/02, 19600, 20100
1400/12/01, 19570, 20230
1400/11/30, 19460, 20010
1400/11/27, 20010, 20870
1400/11/25, 20660, 21550
1400/11/24, 19410, 20820
1400/11/23, 19610, 20270
1400/11/20, 19610, 20140
1400/11/19, 19400, 19990
1400/11/18, 19130, 19730
1400/11/17, 19400, 20050
1400/11/16, 19940, 20800
1400/11/13, 19500, 20700
