date, min_price, max_price
1402/03/01, 20950, 21890
1402/02/31, 21010, 21940
1402/02/30, 21090, 22300
1402/02/27, 20020, 21700
1402/02/25, 19530, 20650
1402/02/24, 18940, 20260
1402/02/23, 18910, 20000
1402/02/20, 19940, 22590
1402/02/19, 20940, 22510
1402/02/18, 22510, 22510
1402/02/17, 24030, 25560
1402/02/16, 24460, 27000
1402/02/13, 24100, 25630
1402/02/12, 23400, 24980
1402/02/11, 23300, 25490
1402/02/10, 24470, 24840
1402/02/09, 21600, 24440
1402/02/06, 22500, 24000
1402/02/05, 23510, 25520
1402/02/04, 24120, 26000
1402/01/30, 24720, 26640
1402/01/29, 23690, 25460
1402/01/28, 23380, 25130
1402/01/27, 23980, 26400
1402/01/26, 24000, 24830
1402/01/22, 21900, 23950
1402/01/21, 21400, 24460
1402/01/20, 22860, 23010
1402/01/15, 20910, 21810
1402/01/14, 18690, 20710
1402/01/09, 18540, 19790
1402/01/08, 18200, 19330
1402/01/07, 17700, 18550
1402/01/06, 17200, 19000
1402/01/05, 17810, 19440
1401/12/28, 18690, 19950
1401/12/27, 17910, 18790
1401/12/24, 16220, 17650
1401/12/23, 16200, 16800
1401/12/22, 16010, 16910
1401/12/21, 15790, 16600
1401/12/20, 15510, 16500
1401/12/15, 15720, 16900
1401/12/10, 15900, 17080
1401/12/09, 14600, 16440
1401/12/08, 14800, 15840
1401/12/07, 14210, 15150
1401/12/06, 14010, 14160
1401/12/03, 12570, 13790
1401/12/02, 12500, 13260
1401/12/01, 11580, 12480
1401/11/30, 11410, 11960
1401/11/26, 11320, 11860
1401/11/25, 11700, 12350
1401/11/24, 12130, 12650
1401/11/23, 11190, 12060
1401/11/19, 11070, 11470
1401/11/18, 11150, 11680
1401/11/17, 10690, 11480
1401/11/16, 11150, 12000
1401/11/12, 11800, 12500
1401/11/11, 12100, 13320
1401/11/10, 12460, 12940
1401/11/09, 11340, 12850
1401/11/08, 11500, 12320
1401/11/05, 11300, 11890
1401/11/04, 11450, 11820
1401/11/03, 11250, 11900
1401/11/02, 11240, 11980
1401/11/01, 11280, 12150
1401/10/28, 11910, 12430
1401/10/27, 11880, 12620
1401/10/26, 11860, 12300
1401/10/24, 11400, 12130
1401/10/21, 11550, 12350
1401/10/20, 11200, 11780
1401/10/19, 10900, 11490
1401/10/18, 11000, 11370
1401/10/17, 10450, 10930
1401/10/14, 10400, 11060
1401/10/13, 10680, 11300
1401/10/12, 10840, 11380
1401/10/11, 10750, 11500
1401/10/10, 11280, 11690
1401/10/07, 11430, 11930
1401/10/05, 11300, 11560
1401/10/04, 11370, 11750
1401/10/03, 11200, 11510
1401/09/30, 10580, 11200
1401/09/29, 10510, 10790
1401/09/28, 10550, 10990
1401/09/27, 10800, 11070
1401/09/26, 10520, 11040
1401/09/23, 10600, 11180
1401/09/22, 10280, 10950
1401/09/21, 10120, 10540
1401/09/20, 9860, 10190
1401/09/19, 9990, 10490
1401/09/16, 10330, 10650
1401/09/15, 10000, 10380
1401/09/14, 9810, 10000
1401/09/13, 9930, 10150
1401/09/12, 9870, 10100
1401/09/09, 9900, 10170
1401/09/08, 9900, 10270
1401/09/07, 9940, 10340
1401/09/06, 9560, 10110
1401/09/05, 9510, 10150
1401/09/02, 9820, 10350
1401/09/01, 10040, 10350
1401/08/30, 10100, 10430
1401/08/29, 10100, 10520
1401/08/28, 10080, 10570
1401/08/25, 10330, 10650
1401/08/24, 10070, 10760
1401/08/23, 10380, 10980
1401/08/22, 10730, 11150
1401/08/21, 11050, 11550
1401/08/18, 10420, 11380
1401/08/17, 10570, 11340
1401/08/16, 10310, 10960
1401/08/15, 10080, 10740
1401/08/14, 9790, 10310
1401/08/11, 9510, 10000
1401/08/10, 9410, 9790
1401/08/09, 9070, 9520
1401/08/08, 8870, 9180
1401/08/07, 8860, 9430
1401/08/04, 8950, 9400
1401/08/03, 9050, 9410
1401/08/02, 9140, 9490
1401/08/01, 9450, 9870
1401/07/30, 9730, 10230
1401/07/27, 10020, 10610
1401/07/26, 9910, 10370
1401/07/25, 9600, 9980
1401/07/24, 9260, 9800
1401/07/23, 9300, 9550
1401/07/20, 9400, 9630
1401/07/19, 9200, 9490
1401/07/18, 8970, 9240
1401/07/17, 9070, 9670
1401/07/16, 8920, 9460
1401/07/12, 8840, 9300
1401/07/11, 9000, 9460
1401/07/10, 9020, 9480
1401/07/09, 9280, 9800
1401/07/06, 9260, 9820
1401/07/04, 8930, 9600
1401/07/02, 9350, 9960
1401/06/30, 9730, 10280
1401/06/29, 10140, 10690
1401/06/28, 10460, 11030
1401/06/27, 10590, 11380
1401/06/23, 10850, 11370
1401/06/22, 10800, 11250
1401/06/21, 11100, 11420
1401/06/20, 11050, 11550
1401/06/19, 11180, 11740
1401/06/16, 11500, 12060
1401/06/15, 11800, 12100
1401/06/14, 11910, 12380
1401/06/13, 11820, 12400
1401/06/12, 11930, 12470
1401/06/09, 12260, 12880
1401/06/08, 11840, 12550
1401/06/07, 11870, 12200
1401/06/06, 11880, 12190
1401/06/05, 11900, 12630
1401/06/02, 11810, 12440
1401/06/01, 11650, 12090
1401/05/31, 11760, 12360
1401/05/30, 12160, 12800
1401/05/24, 13280, 14000
1401/05/23, 13620, 14680
1401/05/22, 13960, 14830
1401/05/19, 14670, 14900
1401/05/18, 15440, 15440
1401/05/15, 15850, 17000
1401/05/12, 16120, 16980
1401/05/11, 15730, 16990
1401/05/10, 16240, 16730
1401/05/09, 15250, 16140
1401/05/08, 14300, 15670
1401/05/05, 14560, 15450
1401/05/04, 14280, 15170
1401/05/03, 14510, 15470
1401/05/02, 14900, 15900
1401/05/01, 15440, 16050
1401/04/29, 15710, 16090
1401/04/25, 15510, 16090
1401/04/22, 15900, 16480
1401/04/21, 15300, 16230
1401/04/20, 15870, 16740
1401/04/18, 16260, 17010
1401/04/15, 16590, 17240
1401/04/14, 16300, 17320
1401/04/13, 16350, 16760
1401/04/12, 15960, 16690
1401/04/11, 16130, 17060
1401/04/08, 15710, 16660
1401/04/07, 15400, 16200
1401/04/06, 15500, 16840
1401/04/05, 16090, 17090
1401/04/04, 16130, 17470
1401/04/01, 16260, 17630
1401/03/31, 16900, 17340
1401/03/28, 16670, 17740
1401/03/25, 17000, 17740
1401/03/24, 16200, 17080
1401/03/23, 15830, 16450
1401/03/22, 15430, 15990
1401/03/21, 15400, 16450
1401/03/18, 15720, 16380
1401/03/17, 15380, 16590
1401/03/16, 15790, 16390
1401/03/11, 16200, 16720
1401/03/10, 16300, 16780
1401/03/09, 16400, 17120
1401/03/08, 16480, 17250
1401/03/07, 16400, 17130
1401/03/04, 16100, 16760
1401/03/03, 16270, 16760
1401/03/02, 16190, 17250
1401/03/01, 16300, 17310
1401/02/31, 16500, 17270
1401/02/28, 16700, 17780
1401/02/27, 17030, 17640
1401/02/26, 17360, 18250
1401/02/25, 17040, 17820
1401/02/24, 16230, 17040
1401/02/21, 15800, 16450
1401/02/20, 15760, 16530
1401/02/19, 15900, 16370
1401/02/18, 16100, 16650
1401/02/17, 16100, 16670
1401/02/12, 15760, 16660
1401/02/11, 15750, 16450
1401/02/10, 16160, 17000
1401/02/07, 16170, 17050
1401/02/06, 16110, 17000
1401/02/05, 16060, 16580
1401/02/04, 16010, 16890
1401/01/31, 16330, 17290
