date, min_price, max_price
1402/03/03, 6010, 6190
1402/03/02, 6050, 6250
1402/03/01, 6000, 6200
1402/02/31, 6000, 6250
1402/02/30, 5730, 6150
1402/02/27, 5600, 6000
1402/02/25, 5450, 5740
1402/02/24, 5240, 5550
1402/02/23, 5160, 5540
1402/02/20, 5490, 6140
1402/02/19, 5730, 6130
1402/02/18, 6160, 6270
1402/02/17, 6590, 7180
1402/02/16, 7010, 7260
1402/02/13, 6990, 7390
1402/02/12, 7020, 7420
1402/02/11, 7000, 7410
1402/02/10, 7000, 7350
1402/02/09, 6660, 7060
1402/02/06, 6420, 6950
1402/02/05, 6550, 6980
1402/02/04, 6320, 6740
1402/01/30, 6350, 6700
1402/01/29, 6000, 6370
1402/01/28, 5810, 6050
1402/01/27, 5960, 6170
1402/01/26, 5900, 6180
1402/01/22, 5430, 5950
1402/01/21, 5510, 6000
1402/01/20, 5760, 6100
1402/01/19, 5550, 5840
1402/01/16, 5170, 5540
1402/01/15, 5060, 5490
1402/01/14, 5050, 5430
1402/01/09, 5200, 5450
1402/01/08, 5290, 5500
1402/01/07, 4900, 5300
1402/01/06, 4850, 5030
1402/01/05, 4950, 5200
1401/12/28, 4951, 5240
1401/12/27, 4701, 4996
1401/12/24, 4555, 4700
1401/12/23, 4430, 4680
1401/12/22, 4471, 4638
1401/12/21, 4500, 4669
1401/12/20, 4608, 4800
1401/12/16, 4500, 4750
1401/12/15, 4390, 4660
1401/12/14, 4530, 4720
1401/12/13, 4720, 5090
1401/12/10, 4800, 5189
1401/12/09, 4780, 4930
1401/12/08, 4780, 4979
1401/12/07, 4900, 5470
1401/12/06, 5050, 5251
1401/12/03, 4908, 4908
1401/12/02, 4587, 4587
1401/12/01, 4354, 4354
1401/11/11, 10320, 11200
1401/11/10, 10340, 11330
1401/11/09, 11080, 11810
1401/11/08, 11500, 12450
1401/11/05, 11690, 12660
1401/11/04, 12200, 12780
1401/11/03, 11390, 12160
1401/11/02, 11190, 11780
1401/11/01, 11120, 11720
1401/10/28, 10960, 11300
1401/10/27, 11000, 11450
1401/10/26, 11050, 11470
1401/10/24, 10600, 11200
1401/10/21, 10880, 11220
1401/10/20, 10900, 11650
1401/10/19, 10840, 11360
1401/10/18, 10850, 11500
1401/10/17, 10340, 11130
1401/10/14, 10260, 10590
1401/10/13, 10350, 10960
1401/10/12, 10290, 10850
1401/10/11, 10220, 10950
1401/10/10, 10620, 10990
1401/10/07, 10720, 11580
1401/10/05, 10500, 11130
1401/10/04, 10440, 10990
1401/10/03, 10280, 10970
1401/09/30, 10200, 10680
1401/09/29, 10310, 10700
1401/09/28, 10250, 10840
1401/09/27, 10330, 10860
1401/09/26, 9880, 10280
1401/09/23, 9900, 10320
1401/09/22, 9500, 10210
1401/09/21, 9230, 9660
1401/09/20, 9130, 9380
1401/09/19, 9170, 9480
1401/09/16, 9230, 9780
1401/09/15, 9210, 9410
1401/09/14, 9210, 9410
1401/09/13, 9130, 9500
1401/09/12, 9200, 9450
1401/09/09, 9200, 9560
1401/09/08, 9410, 9600
1401/09/07, 9220, 9570
1401/09/06, 9270, 9380
1401/09/05, 9280, 9610
1401/09/02, 9250, 9570
1401/09/01, 9180, 9500
1401/08/30, 9200, 9750
1401/08/29, 8800, 9390
1401/08/28, 8640, 9050
1401/08/25, 8900, 9290
1401/08/24, 9000, 9190
1401/08/23, 8970, 9280
1401/08/22, 9090, 9390
1401/08/21, 9060, 9380
1401/08/18, 8950, 9330
1401/08/17, 9050, 9540
1401/08/16, 8820, 9400
1401/08/15, 8600, 9150
1401/08/14, 8450, 8650
1401/08/09, 7830, 8310
1401/08/08, 7540, 7990
1401/08/07, 7630, 8480
1401/08/04, 7890, 8540
1401/08/03, 8210, 9010
1401/08/02, 8590, 9300
1401/07/26, 9300, 9690
1401/07/25, 9120, 9300
1401/07/24, 9200, 9430
1401/07/23, 9180, 9600
1401/07/20, 9360, 9680
1401/07/19, 9150, 9610
1401/07/18, 9150, 9360
1401/07/17, 9110, 9660
1401/07/16, 9550, 9960
1401/07/12, 9500, 9800
1401/07/11, 9450, 9980
1401/07/10, 9790, 10090
1401/07/09, 9900, 10230
1401/07/06, 10020, 10380
1401/07/04, 10040, 10490
1401/07/02, 9840, 10450
1401/06/30, 10400, 10620
1401/06/29, 10450, 10800
1401/06/28, 10500, 10950
1401/06/27, 10450, 10880
1401/06/23, 10500, 10700
1401/06/22, 10530, 10850
1401/06/21, 10430, 10960
1401/06/20, 10410, 10650
1401/06/19, 10520, 10730
1401/06/16, 10750, 11250
1401/06/15, 10740, 11090
1401/06/14, 10790, 11340
1401/06/13, 10450, 10940
1401/06/12, 10600, 10940
1401/06/09, 10990, 11240
1401/06/08, 11050, 11330
1401/06/07, 11020, 11490
1401/06/06, 11100, 11370
1401/06/05, 11050, 11700
1401/06/02, 11480, 11880
1401/06/01, 10980, 11630
1401/05/31, 10920, 11160
1401/05/30, 10360, 11150
1401/05/29, 10230, 10590
1401/05/26, 10420, 10860
1401/05/25, 10420, 10640
1401/05/24, 10420, 10700
1401/05/23, 10540, 10820
1401/05/22, 10320, 10900
1401/05/19, 10420, 10810
1401/05/18, 10630, 11120
1401/05/15, 10110, 10880
1401/05/12, 9950, 10390
1401/05/11, 9860, 10150
1401/05/10, 10020, 10290
1401/05/09, 9730, 10320
1401/05/05, 9900, 10240
1401/05/04, 9810, 10140
1401/05/03, 9830, 10300
1401/05/02, 10250, 10600
1401/05/01, 10440, 10700
1401/04/29, 10460, 10650
1401/04/28, 10380, 10760
1401/04/26, 10370, 10830
1401/04/25, 10480, 11000
1401/04/22, 10700, 11050
1401/04/21, 10510, 11090
1401/04/20, 10360, 10800
1401/04/18, 10350, 10570
1401/04/15, 10500, 10800
1401/04/14, 10600, 10960
1401/04/13, 10900, 11150
1401/04/12, 10850, 11120
1401/04/11, 10850, 11280
1401/04/08, 10870, 11330
1401/04/07, 10830, 11180
1401/04/06, 10900, 11200
1401/04/05, 11240, 11640
1401/04/04, 11300, 11750
1401/04/01, 11420, 11800
1401/03/31, 11500, 12070
1401/03/30, 11700, 12000
1401/03/29, 11700, 12170
1401/03/28, 11800, 12090
1401/03/25, 11740, 12300
1401/03/24, 11620, 12350
1401/03/23, 11560, 12300
1401/03/22, 11360, 11860
1401/03/21, 11340, 11790
1401/03/18, 11290, 11850
1401/03/17, 11330, 11800
1401/03/16, 11400, 12200
1401/03/11, 11920, 12320
1401/03/10, 11930, 12450
1401/03/09, 12000, 12370
1401/03/08, 11800, 12420
1401/03/07, 12290, 13000
1401/03/04, 12300, 13100
1401/03/03, 12550, 12990
1401/03/02, 12430, 13210
1401/03/01, 12450, 13380
1401/02/31, 12510, 13010
1401/02/28, 12150, 13050
1401/02/27, 11850, 12500
1401/02/26, 12100, 12390
1401/02/25, 11810, 12400
1401/02/24, 11980, 12520
1401/02/21, 11500, 12060
1401/02/20, 10820, 11640
1401/02/19, 10950, 11400
1401/02/18, 11110, 11430
1401/02/17, 11110, 11630
1401/02/12, 10900, 11230
1401/02/11, 11010, 11290
1401/02/10, 10690, 11380
1401/02/07, 11130, 11600
1401/02/06, 11230, 11760
1401/02/05, 11430, 11880
1401/02/04, 11200, 11840
1401/01/31, 10910, 11600
1401/01/30, 10800, 11200
1401/01/29, 10690, 11310
1401/01/28, 10880, 11300
1401/01/27, 10960, 11520
1401/01/24, 10350, 11390
1401/01/23, 10280, 10880
1401/01/22, 10160, 10560
1401/01/21, 10210, 10770
1401/01/20, 9610, 10440
1401/01/17, 9770, 10130
1401/01/16, 9650, 10160
1401/01/15, 9840, 10510
1401/01/14, 9990, 10380
1401/01/10, 9540, 10080
1401/01/09, 9500, 10080
1401/01/08, 9330, 9820
1401/01/07, 9180, 9470
1401/01/06, 9200, 9590
1400/12/28, 9010, 9380
1400/12/25, 8810, 9100
1400/12/24, 8770, 8990
1400/12/23, 8830, 9070
1400/12/22, 8680, 9090
1400/12/21, 8800, 9120
1400/12/18, 9000, 9340
1400/12/17, 8990, 9440
1400/12/16, 8920, 9300
1400/12/15, 8910, 9250
1400/12/14, 8700, 8980
1400/12/11, 8780, 9280
1400/12/09, 8710, 9110
1400/12/08, 8630, 8800
1400/12/07, 8600, 8790
1400/12/04, 8540, 8720
1400/12/03, 8570, 8800
1400/12/02, 8580, 8920
1400/12/01, 8570, 8860
1400/11/30, 8760, 9000
1400/11/27, 8760, 9170
1400/11/25, 8880, 9170
1400/11/24, 8890, 9410
1400/11/23, 8900, 9350
1400/11/20, 8500, 9000
1400/11/19, 8260, 8820
1400/11/18, 8480, 8700
1400/11/17, 8500, 8830
1400/11/16, 8750, 9040
1400/11/13, 8740, 9060
1400/11/12, 8740, 9070
1400/11/11, 8720, 9260
1400/11/10, 8800, 9290
1400/11/09, 8770, 9100
1400/11/06, 8490, 8880
1400/11/05, 8430, 8910
1400/11/04, 8710, 9190
1400/11/03, 8800, 9200
1400/11/02, 9000, 9340
1400/10/29, 8710, 9250
1400/10/28, 8850, 9350
1400/10/27, 9110, 9660
1400/10/26, 9370, 9790
1400/10/25, 9580, 10240
1400/10/22, 9550, 10110
1400/10/21, 9470, 9780
1400/10/20, 8750, 9600
1400/10/19, 9120, 9460
1400/10/18, 9420, 9840
1400/10/15, 9350, 9720
1400/10/14, 9350, 9700
1400/10/13, 9330, 9640
1400/10/12, 9210, 9570
1400/10/11, 9300, 9580
1400/10/08, 9500, 9750
1400/10/07, 9530, 9930
1400/10/06, 9640, 9950
1400/10/05, 9640, 9800
1400/10/04, 9700, 10490
1400/10/01, 9900, 10340
1400/09/30, 9470, 9910
1400/09/29, 9110, 9470
1400/09/28, 8510, 9050
1400/09/27, 8170, 8750
1400/09/24, 8300, 8470
1400/09/23, 8000, 8540
1400/09/22, 8280, 8700
1400/09/21, 8600, 9000
1400/09/20, 8800, 9110
1400/09/17, 8910, 9150
1400/09/16, 8850, 9070
1400/09/15, 8950, 9150
1400/09/14, 8980, 9160
1400/09/13, 8860, 9190
1400/09/10, 8970, 9420
1400/09/09, 9180, 9590
1400/09/08, 9350, 9770
1400/09/07, 8900, 9510
1400/09/06, 8850, 9270
1400/09/03, 8850, 9140
1400/09/02, 8930, 9390
1400/09/01, 8740, 9390
1400/08/30, 8800, 9100
1400/08/29, 8800, 9070
1400/08/26, 8720, 9060
1400/08/25, 8610, 8970
1400/08/24, 8660, 9180
1400/08/23, 8850, 9420
1400/08/22, 8650, 9490
1400/08/19, 8850, 9220
1400/08/18, 8820, 9210
1400/08/17, 8730, 9190
1400/08/16, 8770, 9330
1400/08/15, 8780, 9130
1400/08/12, 8500, 8890
1400/08/11, 8010, 8660
1400/08/10, 8010, 8530
1400/08/09, 8170, 8740
1400/08/08, 8480, 9090
1400/08/05, 8350, 8990
1400/08/04, 8280, 8790
1400/08/03, 8460, 8990
1400/08/01, 8790, 9250
1400/07/21, 9200, 10160
1400/07/20, 9590, 10090
1400/07/19, 9900, 10410
1400/07/18, 10190, 10590
1400/07/17, 10250, 11070
1400/07/14, 10550, 11060
1400/07/12, 10310, 10920
1400/07/11, 10420, 10790
1400/07/10, 10320, 10790
1400/07/07, 10270, 10500
1400/07/06, 10250, 10830
1400/07/04, 10360, 11040
1400/07/03, 10400, 10870
1400/06/31, 10200, 10760
1400/06/30, 10280, 11080
1400/06/29, 10680, 11000
1400/06/28, 10530, 10990
1400/06/27, 10570, 11140
1400/06/24, 10800, 11270
1400/06/23, 10600, 11290
1400/06/22, 10650, 11470
1400/06/21, 11170, 11550
1400/06/20, 11350, 12270
1400/06/17, 11220, 11920
1400/06/16, 11120, 11500
1400/06/15, 11110, 11790
1400/06/14, 11060, 11800
1400/06/13, 11400, 11800
1400/06/10, 10550, 11390
1400/06/09, 10740, 11300
1400/06/08, 11270, 11550
1400/06/07, 11490, 12500
