date, min_price, max_price
1402/02/25, 11700, 12420
1402/02/24, 11020, 11970
1402/02/23, 11290, 11940
1402/02/20, 11790, 12750
1402/02/19, 12380, 12890
1402/02/18, 13030, 13030
1402/02/17, 13650, 14070
1402/02/16, 14040, 14990
1402/02/13, 14300, 14840
1402/02/12, 13680, 14600
1402/02/11, 13820, 14660
1402/02/10, 13480, 14120
1402/02/09, 13120, 13900
1402/02/06, 13000, 14000
1402/02/05, 13110, 13700
1402/02/04, 12510, 13210
1402/01/30, 12350, 12940
1402/01/29, 12120, 12850
1402/01/28, 12000, 12880
1402/01/27, 12050, 12920
1402/01/26, 12250, 12740
1402/01/22, 11920, 12360
1402/01/21, 12030, 13180
1402/01/20, 12370, 12680
1402/01/19, 12080, 12080
1402/01/16, 10630, 11660
1402/01/15, 10700, 11280
1402/01/14, 10750, 10750
1402/01/09, 9880, 10270
1402/01/08, 9400, 9850
1402/01/07, 9200, 9540
1402/01/06, 9140, 9600
1402/01/05, 9330, 9890
1401/12/28, 9300, 9820
1401/12/27, 9150, 9460
1401/12/24, 8620, 9160
1401/12/23, 8600, 8850
1401/12/22, 8580, 9090
1401/12/21, 8840, 9290
1401/12/20, 9020, 9680
1401/12/16, 8870, 9470
1401/12/15, 8750, 9120
1401/12/14, 8860, 9160
1401/12/13, 8640, 8990
1401/12/10, 8770, 9090
1401/12/09, 8630, 9120
1401/12/08, 8700, 9140
1401/12/07, 8820, 9370
1401/12/06, 8800, 8940
1401/12/03, 8360, 8800
1401/12/02, 8480, 9070
1401/12/01, 8280, 8730
1401/11/30, 8120, 8530
1401/11/26, 8160, 8440
1401/11/25, 8230, 8380
1401/11/24, 8250, 8540
1401/11/23, 8160, 8350
1401/11/19, 8210, 8730
1401/11/18, 8100, 8440
1401/11/17, 7810, 8160
1401/11/16, 7890, 8480
1401/11/12, 8160, 8490
1401/11/11, 8020, 8480
1401/11/10, 7980, 8490
1401/11/09, 8360, 8570
1401/11/08, 8760, 9060
1401/11/05, 8900, 9550
1401/11/04, 9150, 9700
1401/11/03, 9110, 9500
1401/11/02, 8820, 9220
1401/11/01, 8560, 9070
1401/10/28, 8520, 9080
1401/10/27, 8600, 9210
1401/10/26, 8650, 8920
1401/10/20, 8360, 8800
1401/10/19, 8280, 8680
1401/10/18, 8090, 8450
1401/10/17, 8040, 8370
1401/10/14, 7880, 8080
1401/10/13, 7890, 8340
1401/10/12, 7990, 8350
1401/10/11, 7860, 8450
1401/10/10, 8060, 8410
1401/10/07, 8040, 8440
1401/10/05, 7900, 8200
1401/10/04, 7690, 8050
1401/10/03, 7420, 7780
1401/09/30, 7350, 7770
1401/09/29, 7600, 8000
1401/09/28, 7800, 8340
1401/09/27, 7840, 8250
1401/09/26, 7790, 8050
1401/09/23, 7850, 8230
1401/09/22, 7610, 8120
1401/09/21, 7550, 7940
1401/09/20, 7300, 7680
1401/09/19, 7330, 7790
1401/09/16, 7600, 7790
1401/09/15, 7310, 7640
1401/09/14, 7040, 7390
1401/09/13, 6970, 7180
1401/09/12, 6960, 7260
1401/09/09, 7030, 7330
1401/09/08, 7020, 7300
