date, min_price, max_price
1402/03/01, 29980, 32370
1402/02/31, 29930, 32300
1402/02/30, 30010, 32570
1402/02/27, 30040, 31340
1402/02/25, 28980, 30520
1402/02/24, 27060, 29900
1402/02/23, 28460, 28930
1402/02/20, 28930, 31970
1402/02/19, 30340, 31900
1402/02/18, 31930, 31930
1402/02/17, 33280, 36440
1402/02/16, 35030, 35030
1402/02/12, 33330, 33370
1402/02/11, 31100, 31850
1402/02/10, 29400, 30990
1402/02/09, 29250, 29520
1402/02/06, 27150, 28560
1402/02/04, 26810, 27930
1402/01/30, 26400, 29130
1402/01/28, 26000, 28590
1402/01/27, 26890, 29400
1402/01/26, 27030, 28850
1402/01/22, 26400, 27720
1402/01/21, 25200, 26610
1402/01/20, 24590, 25930
1402/01/19, 24090, 26480
1402/01/16, 24460, 25390
1402/01/15, 23320, 24920
1402/01/14, 22840, 24490
1402/01/09, 22300, 23400
1402/01/08, 22030, 22330
1402/01/07, 20300, 21630
1402/01/06, 20570, 21900
1402/01/05, 20700, 22050
1401/12/28, 20500, 21100
1401/12/27, 19200, 20170
1401/12/24, 18710, 19890
1401/12/23, 18500, 19170
1401/12/22, 18190, 19890
1401/12/20, 18850, 19480
1401/12/16, 18120, 18800
1401/12/15, 16800, 18300
1401/12/14, 16590, 18330
1401/12/13, 16770, 17750
1401/12/10, 16240, 16970
1401/12/09, 16170, 16170
1401/12/08, 15400, 15400
1401/12/07, 14400, 14670
1401/12/06, 13780, 13980
1401/12/03, 13070, 13540
1401/12/02, 12600, 13180
1401/12/01, 11990, 12620
1401/11/30, 11600, 12270
1401/11/26, 12070, 12460
1401/11/25, 12310, 13220
1401/11/24, 12710, 13480
1401/11/23, 13250, 13960
1401/11/19, 13650, 13980
1401/11/18, 13320, 13320
1401/11/17, 12000, 12760
1401/11/16, 11770, 12780
1401/11/12, 11780, 12570
1401/11/11, 12130, 12800
1401/11/10, 12550, 13870
1401/11/09, 13190, 13890
1401/11/08, 13820, 14500
1401/11/05, 14280, 15460
1401/11/04, 14890, 15530
1401/11/03, 14960, 16200
1401/11/02, 14800, 15970
1401/11/01, 14960, 15240
1401/10/28, 13900, 14550
1401/10/27, 13590, 14380
1401/10/26, 13710, 14400
1401/10/24, 13760, 14670
1401/10/20, 14220, 14760
1401/10/19, 13320, 14420
1401/10/18, 13300, 13790
1401/10/17, 12910, 13480
1401/10/14, 12880, 13200
1401/10/13, 12930, 13350
1401/10/12, 12710, 13460
1401/10/11, 12280, 13380
1401/10/10, 12840, 13200
1401/10/07, 13300, 13900
1401/10/05, 12930, 13310
1401/10/04, 12200, 12810
1401/10/03, 12130, 12550
1401/09/30, 11640, 12190
1401/09/29, 11700, 12090
1401/09/28, 12010, 12440
1401/09/27, 12000, 12500
1401/09/26, 11740, 12280
1401/09/23, 11650, 12190
1401/09/22, 11510, 12070
1401/09/21, 11300, 11960
1401/09/20, 11100, 11740
1401/09/19, 11010, 11700
1401/09/16, 11300, 11740
1401/09/15, 11450, 11700
1401/09/14, 11100, 11600
1401/09/13, 11050, 11600
1401/09/12, 10990, 11740
1401/09/09, 11210, 11830
1401/09/08, 11100, 11430
1401/09/07, 10560, 10920
1401/09/06, 10090, 10830
1401/09/05, 10100, 10830
1401/09/02, 10270, 10780
1401/09/01, 10330, 10750
1401/08/30, 10400, 11050
1401/08/29, 10500, 11070
1401/08/28, 10500, 11100
1401/08/25, 10790, 11010
1401/08/24, 10760, 11440
1401/08/23, 10720, 11250
1401/08/22, 10680, 11300
1401/08/21, 10550, 11020
1401/08/18, 9910, 10790
1401/08/17, 10010, 10770
1401/08/16, 9880, 10410
1401/08/15, 9860, 10210
1401/08/14, 9600, 10050
1401/08/11, 9450, 9840
1401/08/10, 9170, 9820
1401/08/09, 9400, 9800
1401/08/08, 8940, 9790
1401/08/07, 9110, 9690
1401/08/04, 9390, 9630
1401/08/03, 9810, 10240
1401/08/02, 10220, 10690
1401/08/01, 10450, 10860
1401/07/30, 10520, 10990
1401/07/27, 10820, 11500
1401/07/26, 10940, 11700
1401/07/20, 11160, 11500
1401/07/19, 10820, 11230
1401/07/18, 10500, 10930
1401/07/17, 10490, 11580
1401/07/16, 10550, 11440
1401/07/12, 10960, 11600
1401/07/11, 11490, 11960
1401/07/10, 11940, 12270
1401/07/09, 12470, 13190
1401/07/06, 12950, 13460
1401/07/04, 13040, 13400
1401/07/02, 13360, 13460
1401/06/30, 13670, 14090
1401/06/29, 14090, 14790
1401/06/28, 14350, 15440
1401/06/27, 14300, 15450
1401/06/23, 14370, 14810
1401/06/22, 13230, 14130
1401/06/21, 13150, 13600
1401/06/20, 13350, 14240
1401/06/19, 12760, 13870
1401/06/16, 13020, 13370
1401/06/15, 13170, 13530
1401/06/14, 12950, 13550
1401/06/13, 13030, 13790
1401/06/12, 13340, 14200
1401/06/09, 13700, 14140
1401/06/08, 13890, 13890
1401/06/07, 13330, 13500
1401/05/23, 12600, 13190
1401/05/22, 12610, 13090
1401/05/19, 12560, 12950
1401/05/18, 12720, 13350
