date, min_price, max_price
1402/02/30, 23450, 25000
1402/02/27, 24350, 25700
1402/02/25, 24900, 25650
1402/02/24, 23350, 25600
1402/02/23, 21950, 23700
1402/02/20, 20650, 22750
1402/02/19, 20350, 22450
1402/02/18, 21250, 22200
1402/02/17, 21400, 23150
1402/02/16, 21600, 22800
1402/02/13, 21600, 22850
1402/02/12, 20750, 22650
1402/02/11, 21400, 22850
1402/02/10, 21800, 23800
1402/02/09, 22300, 22950
1402/02/06, 20800, 22150
1402/02/05, 20600, 21150
1402/02/04, 19950, 20900
1402/01/30, 20000, 21680
1402/01/29, 20500, 20810
1402/01/28, 18730, 19910
1402/01/27, 18320, 19200
1402/01/26, 17800, 18340
1402/01/22, 16240, 17850
1402/01/21, 16010, 17290
1402/01/20, 15820, 16550
1402/01/19, 15350, 16100
1402/01/16, 14430, 15400
1402/01/15, 14310, 15090
1402/01/14, 14510, 15270
1402/01/09, 14810, 15490
1402/01/08, 14790, 15140
1402/01/07, 13890, 15160
1402/01/06, 14340, 15390
1402/01/05, 14740, 15210
1401/12/28, 13900, 14500
1401/12/27, 13670, 13810
1401/12/24, 12770, 13510
1401/12/23, 12620, 13100
1401/12/22, 12610, 12900
1401/12/21, 12550, 13080
1401/12/20, 12780, 13110
1401/12/16, 12610, 13200
1401/12/15, 12430, 12830
1401/12/14, 12660, 13120
1401/12/13, 12740, 13300
1401/12/10, 12820, 13460
1401/12/09, 12500, 13050
1401/12/08, 12330, 13000
1401/12/07, 12220, 13240
1401/12/06, 12630, 12770
1401/12/03, 12010, 12300
1401/12/02, 11860, 12630
1401/12/01, 11360, 12100
1401/11/30, 11330, 11750
1401/11/26, 10820, 11580
1401/11/25, 11020, 11880
1401/11/24, 11370, 12000
1401/11/23, 11640, 12450
1401/11/19, 11850, 12320
1401/11/18, 11460, 12020
1401/11/17, 10910, 11750
1401/11/16, 10880, 11630
1401/11/12, 10770, 11520
1401/11/11, 10760, 11420
1401/11/10, 10750, 11500
1401/11/09, 11280, 11650
1401/11/08, 11840, 12400
1401/11/05, 12400, 13110
1401/11/04, 12680, 13490
1401/11/03, 12750, 13480
1401/11/02, 12300, 13190
1401/11/01, 12530, 13400
1401/10/28, 12680, 13580
1401/10/27, 12900, 13500
1401/10/26, 12560, 12870
1401/10/24, 11510, 12660
1401/10/21, 11580, 12130
1401/10/20, 11200, 11570
1401/10/19, 10700, 11530
1401/10/18, 11000, 11000
1401/10/13, 10180, 10600
1401/10/12, 9810, 10100
1401/10/11, 9350, 9820
1401/10/10, 9490, 9940
1401/10/07, 9680, 10100
1401/10/05, 9400, 9780
1401/10/04, 9550, 10030
1401/10/03, 9660, 10040
1401/09/30, 9200, 9630
1401/09/29, 9010, 9530
1401/09/28, 9210, 9570
1401/09/27, 9270, 9660
1401/09/26, 8800, 9240
1401/09/23, 8630, 8910
1401/09/22, 8690, 9050
1401/09/21, 8500, 8630
1401/09/20, 8000, 8290
1401/09/19, 8180, 8460
1401/09/16, 8160, 8490
1401/09/15, 8150, 8420
1401/09/14, 8230, 8440
1401/09/13, 8240, 8530
1401/09/12, 8480, 8650
1401/09/09, 8450, 8760
1401/09/08, 8350, 8780
1401/09/07, 8670, 8800
1401/09/06, 8650, 8820
1401/09/05, 8720, 9080
1401/09/02, 8300, 9100
1401/09/01, 8300, 8700
1401/08/30, 8500, 8850
1401/08/29, 8530, 9100
1401/08/28, 8500, 8750
1401/08/25, 8320, 8610
1401/08/24, 8200, 8450
1401/08/23, 8020, 8420
1401/08/22, 8240, 8540
1401/08/21, 8260, 8450
1401/08/18, 8100, 8310
1401/08/17, 8010, 8310
1401/08/16, 7760, 8050
1401/08/15, 7600, 7850
1401/08/14, 7670, 7910
1401/08/11, 7520, 7920
1401/08/10, 7650, 7950
1401/08/09, 7620, 7790
1401/08/08, 7240, 7700
1401/08/07, 7410, 7840
1401/08/04, 7670, 7910
1401/08/03, 7830, 8010
1401/08/02, 7810, 8120
1401/08/01, 7860, 8200
1401/07/30, 7890, 8080
1401/07/27, 7940, 8230
1401/07/26, 7940, 8090
1401/07/25, 7790, 7950
1401/07/24, 7860, 8200
1401/07/23, 7950, 8220
1401/07/20, 8120, 8360
1401/07/19, 8120, 8460
1401/07/18, 8000, 8400
1401/07/17, 8100, 8340
1401/07/16, 8280, 8520
1401/07/12, 8220, 8390
1401/07/11, 8010, 8460
1401/07/10, 8050, 8250
1401/07/09, 8060, 8560
1401/07/06, 8230, 8690
1401/07/04, 7920, 8410
1401/07/02, 8100, 8530
1401/06/30, 8230, 8640
1401/06/29, 8510, 9060
1401/06/28, 8750, 9200
1401/06/27, 8810, 9180
1401/06/23, 8870, 9180
1401/06/22, 8740, 9000
1401/06/21, 8530, 8840
1401/06/20, 8450, 8880
1401/06/19, 8820, 9060
1401/06/16, 9070, 9490
1401/06/15, 9140, 9620
1401/06/14, 9420, 9700
1401/06/13, 9580, 9980
1401/06/12, 9360, 10200
1401/06/09, 9610, 10030
1401/06/08, 8970, 9900
1401/06/07, 9120, 9590
1401/06/06, 8940, 9440
1401/06/05, 9030, 9360
1401/06/02, 8890, 9340
1401/06/01, 8470, 9180
1401/05/31, 8430, 9120
1401/05/30, 8400, 8750
1401/05/29, 8070, 8550
1401/05/26, 8180, 8400
1401/05/25, 8210, 8440
1401/05/24, 8080, 8340
1401/05/23, 8110, 8420
1401/05/22, 8160, 8470
1401/05/19, 8090, 8280
1401/05/18, 8050, 8500
1401/05/15, 8300, 8600
1401/05/12, 8140, 8560
1401/05/11, 7700, 8320
