date, min_price, max_price
1402/03/03, 16000, 16600
1402/03/02, 15790, 16810
1402/03/01, 15600, 16920
1402/02/31, 15870, 16390
1402/02/30, 15580, 16600
1402/02/27, 16000, 16840
1402/02/25, 15700, 16140
1402/02/24, 14810, 15580
1402/02/23, 14810, 15800
1402/02/20, 15120, 16670
1402/02/19, 14520, 16040
1402/02/18, 15280, 15350
1402/02/17, 15740, 17230
1402/02/16, 16270, 17300
1402/02/13, 16420, 17060
1402/02/12, 16210, 16770
1402/02/11, 16680, 18280
1402/02/10, 16490, 17960
1402/02/09, 16100, 17770
1402/02/06, 16890, 16930
1402/02/04, 14800, 16280
1402/01/30, 15510, 15510
1402/01/29, 14400, 15810
1402/01/28, 14830, 16030
1402/01/27, 14940, 15330
1402/01/26, 14530, 15910
1402/01/22, 15290, 15290
1402/01/21, 15130, 16690
1402/01/20, 15000, 16090
1402/01/19, 14310, 15620
1402/01/16, 14010, 15090
1402/01/15, 14000, 14840
1402/01/14, 14120, 14500
1402/01/09, 14440, 15660
1402/01/08, 14500, 15390
1402/01/07, 14500, 15800
1402/01/06, 14900, 15800
1402/01/05, 14700, 15070
1401/12/28, 13790, 14380
1401/12/27, 13700, 13700
1401/12/24, 12580, 13190
1401/12/23, 12530, 12570
1401/12/22, 11920, 13130
1401/12/21, 12540, 12610
1401/12/20, 12700, 13230
1401/12/16, 12580, 13780
1401/12/15, 13210, 14420
1401/12/14, 13500, 14480
1401/12/13, 13610, 14020
1401/12/10, 12890, 14080
1401/12/09, 12800, 13800
1401/12/08, 12450, 13470
1401/12/07, 12600, 13210
1401/12/06, 12350, 13600
1401/12/03, 12390, 13130
1401/12/02, 12290, 13490
1401/12/01, 12910, 13960
1401/11/30, 13530, 14500
1401/11/26, 13900, 14250
1401/11/25, 13520, 14500
1401/11/24, 14230, 14230
1401/11/23, 14060, 15330
1401/11/19, 14800, 14800
1401/11/18, 14100, 14100
1401/11/17, 13180, 13470
1401/11/16, 11810, 13050
1401/11/12, 12430, 12430
1401/11/11, 11840, 11840
1401/11/10, 11280, 11280
1401/11/09, 10060, 11100
1401/11/08, 10580, 10580
1401/11/05, 10080, 10080
1401/11/04, 9500, 9600
1401/11/03, 9000, 9150
1401/11/02, 8680, 8722
1401/11/01, 8150, 8322
1401/10/28, 7180, 7933
1401/10/27, 7552, 7774
1401/10/20, 7699, 8044
1401/03/21, 7661, 7661
1400/11/30, 7666, 7666
1400/11/19, 7666, 7666
1400/07/21, 7700, 7700
1400/07/18, 7400, 7400
1400/06/14, 7400, 7400
1400/06/10, 7400, 7400
1400/05/13, 7400, 7400
1400/05/10, 7120, 7120
1400/04/16, 9290, 9290
1400/03/26, 9300, 9300
1400/03/09, 9350, 9350
1400/03/08, 9050, 9050
1400/02/28, 9030, 9030
1400/02/25, 9030, 9030
1400/01/14, 8635, 8635
1400/01/08, 8635, 8635
1399/12/26, 8635, 8635
1399/12/24, 8224, 8224
1399/12/20, 7833, 7833
1399/12/19, 7833, 7833
1399/12/12, 7833, 7833
1399/12/04, 7833, 7833
1399/12/02, 7833, 7833
1399/11/12, 7460, 7460
1399/11/08, 7105, 7105
1399/10/30, 6767, 6767
1399/10/27, 6445, 6445
1399/10/21, 6445, 6445
1399/10/13, 6170, 6170
1399/10/08, 5880, 5880
1399/10/07, 5617, 5617
1399/09/30, 5617, 5617
1399/09/22, 5617, 5617
1399/09/16, 5617, 5617
1399/09/02, 5617, 5617
1399/08/19, 5350, 5630
1399/08/07, 5322, 5322
1399/08/05, 5092, 5092
1399/07/16, 4850, 4850
1399/07/05, 5300, 5300
1399/07/01, 4699, 4699
1399/06/30, 4150, 4150
1399/06/18, 3740, 3740
