date, min_price, max_price
1402/03/03, 43135, 43139
1402/03/02, 43101, 43104
1402/03/01, 43068, 43072
1402/02/31, 43035, 43038
1402/02/30, 43002, 43005
1402/02/27, 42938, 42942
1402/02/25, 42869, 42872
1402/02/24, 42835, 42838
1402/02/23, 42800, 42804
1402/02/20, 42741, 42744
1402/02/19, 42705, 42710
1402/02/18, 42668, 42675
1402/02/17, 42637, 42640
1402/02/16, 42602, 42607
1402/02/13, 42546, 42551
1402/02/12, 42512, 42515
1402/02/11, 42479, 42481
1402/02/10, 42444, 42449
1402/02/09, 42360, 42418
1402/02/06, 42355, 42360
1402/02/05, 42321, 42324
1402/02/04, 42287, 42291
1402/01/30, 42199, 42204
1402/01/29, 42133, 42136
1402/01/28, 42100, 42103
1402/01/27, 42067, 42070
1402/01/26, 42033, 42040
1402/01/22, 41945, 41954
1402/01/21, 41911, 41914
1402/01/20, 41877, 41881
1402/01/19, 41844, 41849
1402/01/16, 41786, 41815
1402/01/15, 41753, 41757
1402/01/14, 41719, 41723
1402/01/09, 41619, 41624
1402/01/08, 41575, 41577
1402/01/07, 41534, 41537
1402/01/06, 41500, 41505
1402/01/05, 41465, 41471
1401/12/28, 41331, 41370
1401/12/27, 41278, 41283
1401/12/24, 41199, 41227
1401/12/23, 41191, 41195
1401/12/22, 41158, 41162
1401/12/21, 41127, 41130
1401/12/20, 41098, 41102
1401/12/16, 41027, 41031
1401/12/15, 40987, 40990
1401/12/14, 40958, 40962
1401/12/13, 40929, 40933
1401/12/10, 40877, 40880
1401/12/09, 40850, 40853
1401/12/08, 40819, 40824
1401/12/07, 40791, 40797
1401/12/06, 40763, 40767
1401/12/03, 40708, 40711
1401/12/02, 40657, 40684
1401/12/01, 40652, 40657
1401/11/30, 40625, 40629
1401/11/26, 40555, 40559
1401/11/25, 40513, 40517
1401/11/24, 40486, 40489
1401/11/23, 40458, 40463
1401/11/19, 40387, 40389
1401/11/18, 40347, 40350
1401/11/17, 40320, 40322
1401/11/16, 40291, 40295
1401/11/12, 40222, 40227
1401/11/11, 40181, 40185
1401/11/10, 40154, 40157
1401/11/09, 40125, 40130
1401/11/08, 40097, 40102
1401/11/05, 40013, 40044
1401/11/04, 40012, 40015
1401/11/03, 39836, 40188
1401/11/02, 39956, 39960
1401/11/01, 39932, 39935
1401/10/28, 39877, 39879
1401/10/27, 39850, 39853
1401/10/26, 39823, 39825
1401/10/24, 39767, 39770
1401/10/21, 39717, 39720
1401/10/20, 39691, 39694
1401/10/19, 39665, 39667
1401/10/18, 39600, 39641
1401/10/17, 39610, 39614
1401/10/14, 39560, 39563
1401/10/13, 39533, 39538
1401/10/12, 39508, 39511
1401/10/11, 39481, 39485
1401/10/10, 39455, 39457
1401/10/07, 39404, 39407
1401/10/05, 39362, 39365
1401/10/04, 39323, 39326
1401/10/03, 39297, 39300
1401/09/30, 39232, 39235
1401/09/29, 39207, 39212
1401/09/28, 39188, 39190
1401/09/27, 39164, 39168
1401/09/26, 39140, 39147
1401/09/23, 39083, 39085
1401/09/22, 39060, 39063
1401/09/21, 39040, 39043
1401/09/20, 39021, 39024
1401/09/19, 39001, 39005
1401/09/16, 38940, 38944
1401/09/15, 38920, 38923
1401/09/14, 38889, 38903
1401/09/13, 38878, 38883
1401/09/12, 38860, 38863
1401/09/09, 38800, 38804
1401/09/08, 38775, 38778
1401/09/07, 38756, 38758
1401/09/06, 38735, 38741
1401/09/05, 38717, 38720
1401/09/02, 38651, 38655
1401/09/01, 38630, 38633
1401/08/30, 38609, 38613
1401/08/29, 38589, 38593
1401/08/28, 38569, 38573
1401/08/25, 38511, 38515
1401/08/24, 38485, 38489
1401/08/23, 38466, 38469
1401/08/22, 38446, 38449
1401/08/21, 38427, 38430
1401/08/18, 38372, 38375
1401/08/17, 38346, 38351
1401/08/16, 38328, 38331
1401/08/15, 38297, 38315
1401/08/14, 38293, 38297
1401/08/11, 38237, 38239
1401/08/10, 38214, 38216
1401/08/09, 38194, 38197
1401/08/08, 38175, 38178
1401/08/07, 38157, 38160
1401/08/04, 38099, 38103
1401/08/03, 38077, 38080
1401/08/02, 38058, 38063
1401/08/01, 38039, 38055
1401/07/30, 38020, 38023
1401/07/27, 37971, 37974
1401/07/26, 37945, 37948
1401/07/25, 37928, 37930
1401/07/24, 37893, 37913
1401/07/23, 37891, 37893
1401/07/20, 37853, 37856
1401/07/19, 37814, 37816
1401/07/18, 37794, 37796
1401/07/17, 37775, 37779
1401/07/16, 37755, 37759
1401/07/12, 37695, 37698
1401/07/11, 37657, 37659
1401/07/10, 37637, 37640
1401/07/09, 37619, 37621
1401/07/06, 37550, 37555
1401/07/04, 37509, 37515
1401/07/02, 37470, 37473
1401/06/30, 37425, 37428
1401/06/29, 37387, 37389
1401/06/28, 37368, 37371
1401/06/27, 37349, 37353
1401/06/23, 37290, 37293
1401/06/22, 37250, 37253
1401/06/21, 37231, 37233
1401/06/20, 37211, 37214
1401/06/19, 37192, 37195
1401/06/16, 37134, 37137
1401/06/15, 37112, 37115
1401/06/14, 37094, 37097
