date, min_price, max_price
1402/02/31, 15450, 15900
1402/02/30, 15900, 16200
1402/02/27, 15850, 16290
1402/02/25, 15880, 16180
1402/02/24, 15880, 16380
1402/02/23, 15290, 16000
1402/02/20, 15700, 16290
1402/02/19, 15000, 16300
1402/02/18, 15780, 15820
1402/02/17, 16570, 17440
1402/02/16, 17300, 17790
1402/02/13, 17100, 17660
1402/02/12, 17030, 17650
1402/02/11, 16970, 17500
1402/02/10, 17000, 17600
1402/02/09, 16950, 17590
1402/02/06, 15970, 16820
1402/02/05, 15650, 16250
1402/02/04, 15610, 16200
1402/01/30, 15850, 16300
1402/01/29, 15700, 16400
1402/01/28, 15500, 16260
1402/01/27, 15940, 16480
1402/01/26, 15600, 16340
1402/01/22, 15400, 16000
1402/01/21, 15410, 16280
1402/01/20, 15290, 16000
1402/01/19, 14980, 15670
1402/01/16, 14600, 15320
1402/01/15, 14400, 14900
1402/01/14, 14470, 14830
1402/01/09, 14690, 15130
1402/01/08, 14370, 14950
1402/01/07, 14340, 14500
1402/01/06, 13560, 14800
1402/01/05, 14140, 14530
1401/12/28, 13640, 14310
1401/12/27, 13660, 13980
1401/12/24, 12950, 13710
1401/12/23, 12970, 13200
1401/12/22, 12980, 13270
1401/12/21, 13050, 13380
1401/12/20, 12550, 13360
1401/12/16, 13000, 13340
1401/12/15, 12900, 13250
1401/12/14, 12980, 13090
1401/12/13, 12470, 13050
1401/12/10, 12400, 13080
1401/12/09, 12810, 13200
1401/12/08, 12400, 13240
1401/12/07, 12550, 12980
1401/12/06, 11950, 12390
1401/12/03, 11650, 11960
1401/12/02, 11310, 11750
1401/12/01, 10800, 11340
1401/11/30, 10550, 10890
1401/11/26, 10710, 11100
1401/11/25, 10810, 11000
1401/11/24, 10780, 10940
1401/11/23, 10790, 11000
1401/11/19, 10660, 10950
1401/11/18, 10670, 11000
1401/11/17, 10510, 10920
1401/11/16, 10750, 11050
1401/11/12, 10950, 11290
1401/11/11, 11080, 11500
1401/11/10, 11140, 11500
1401/11/09, 11720, 11950
1401/11/08, 12250, 12890
1401/11/05, 12430, 13160
1401/11/04, 12350, 13000
1401/11/03, 12410, 13260
1401/11/02, 12550, 13390
1401/11/01, 12620, 13250
1401/10/28, 12400, 12930
1401/10/27, 12000, 12570
1401/10/26, 11550, 12120
1401/10/24, 11460, 11680
1401/10/21, 11400, 11650
1401/10/20, 11140, 11550
1401/10/19, 10880, 11300
1401/10/18, 10780, 11200
1401/10/17, 10690, 10850
1401/10/14, 10650, 10910
1401/10/13, 10460, 11100
1401/10/12, 10450, 10730
1401/10/11, 10210, 10730
1401/10/10, 10170, 10740
1401/10/07, 10270, 10750
1401/10/05, 10110, 10340
1401/10/04, 10030, 10180
1401/10/03, 9870, 10150
1401/09/30, 9800, 9910
1401/09/29, 9730, 9900
1401/09/28, 9790, 9950
1401/09/27, 9740, 9910
1401/09/26, 9520, 9860
1401/09/23, 9610, 9820
1401/09/22, 9600, 9830
1401/09/21, 9250, 9690
1401/09/20, 9490, 9650
1401/09/19, 9480, 9610
1401/09/16, 9430, 9680
1401/09/15, 9380, 9540
1401/09/14, 9460, 9660
1401/09/13, 9490, 9630
1401/09/12, 9400, 9610
1401/09/09, 9360, 9500
1401/09/08, 9230, 9420
1401/09/07, 9190, 9280
1401/09/06, 9160, 9250
1401/09/05, 9190, 9300
1401/09/02, 9190, 9300
1401/09/01, 9160, 9350
1401/08/30, 9120, 9410
1401/08/29, 9230, 9390
1401/08/28, 9120, 9430
1401/08/25, 9280, 9450
1401/08/24, 9230, 9450
1401/08/23, 9240, 9480
1401/08/22, 9280, 9560
1401/08/21, 9390, 9640
1401/08/18, 9240, 9700
1401/08/17, 9310, 9660
1401/08/16, 9220, 9580
1401/08/15, 9150, 9400
1401/08/14, 8920, 9410
1401/08/11, 9040, 9300
1401/08/10, 9050, 9310
1401/08/09, 8950, 9240
1401/08/08, 8800, 9110
1401/08/07, 8800, 9200
1401/08/04, 8780, 9400
1401/08/03, 9090, 9410
1401/08/02, 9050, 9300
1401/08/01, 9040, 9540
