date, min_price, max_price
1402/03/03, 18465, 18471
1402/03/02, 18456, 18462
1402/03/01, 18446, 18452
1402/02/31, 18439, 18445
1402/02/30, 18438, 18444
1402/02/27, 18413, 18419
1402/02/25, 18396, 18396
1402/02/24, 18390, 18396
1402/02/23, 18386, 18392
1402/02/20, 18365, 18371
1402/02/19, 18360, 18366
1402/02/18, 18355, 18361
1402/02/17, 18348, 18354
1402/02/16, 18341, 18347
1402/02/13, 18318, 18324
1402/02/12, 18308, 18308
1402/02/11, 18296, 18302
1402/02/10, 18284, 18290
1402/02/09, 18275, 18281
1402/02/06, 18248, 18254
1402/02/05, 18239, 18245
1402/02/04, 18231, 18237
1402/01/30, 18192, 18198
1402/01/29, 18182, 18188
1402/01/28, 18171, 18177
1402/01/27, 18161, 18166
1402/01/26, 18152, 18158
1402/01/22, 18119, 18125
1402/01/21, 18110, 18116
1402/01/20, 18100, 18106
1402/01/19, 18089, 18095
1402/01/16, 18067, 18073
1402/01/15, 18060, 18066
1402/01/14, 18051, 18057
1402/01/09, 18020, 18020
1402/01/08, 18003, 18009
1402/01/07, 17996, 18002
1402/01/05, 17975, 17981
1401/12/28, 17931, 17937
1401/12/27, 17922, 17928
1401/12/24, 17901, 17907
1401/12/23, 17895, 17895
1401/12/22, 17889, 17895
1401/12/21, 17883, 17889
1401/12/20, 17874, 17874
1401/12/16, 17844, 17850
1401/12/15, 17838, 17844
1401/12/14, 17830, 17830
1401/12/13, 17824, 17830
1401/12/10, 17802, 17802
1401/12/09, 17793, 17799
1401/12/08, 17784, 17790
1401/12/07, 17777, 17777
1401/12/06, 17769, 17775
1401/12/03, 17747, 17753
1401/12/02, 17740, 17746
1401/12/01, 17732, 17738
1401/11/30, 17726, 17732
1401/11/26, 17698, 17698
1401/11/25, 17691, 17697
1401/11/24, 17685, 17691
1401/11/23, 17675, 17681
1401/11/19, 17647, 17647
1401/11/18, 17640, 17646
1401/11/17, 17633, 17633
1401/11/16, 17624, 17630
1401/11/12, 17597, 17602
1401/11/11, 17591, 17592
1401/11/10, 17581, 17587
