date, min_price, max_price
1402/03/03, 143302, 145999
1402/03/02, 143000, 146855
1402/03/01, 145001, 147499
1402/02/31, 140500, 144650
1402/02/30, 136010, 140500
1402/02/27, 136800, 140900
1402/02/25, 139500, 141460
1402/02/24, 141500, 144000
1402/02/23, 141011, 145000
1402/02/20, 144811, 148500
1402/02/19, 147501, 149900
1402/02/18, 144350, 149999
1402/02/17, 145560, 152000
1402/02/16, 152600, 154900
1402/02/13, 152011, 155994
1402/02/12, 155000, 158700
1402/02/11, 157210, 164444
1402/02/10, 155300, 161395
1402/02/09, 151000, 155900
1402/02/06, 141500, 148500
1402/02/05, 141000, 141998
1402/02/04, 140504, 142448
1402/01/30, 141000, 142000
1402/01/29, 140013, 141799
1402/01/28, 139600, 141796
1402/01/27, 138000, 139350
1402/01/26, 138565, 141140
1402/01/22, 140010, 141899
1402/01/21, 136030, 137800
1402/01/20, 140307, 141999
1402/01/19, 141500, 142881
1402/01/16, 141222, 144750
1402/01/15, 136000, 139500
1402/01/14, 142500, 148500
1402/01/09, 143520, 148200
1402/01/08, 141050, 142949
1402/01/07, 138859, 141600
1402/01/06, 136128, 143555
1402/01/05, 139300, 143998
1401/12/28, 132255, 136298
1401/12/27, 127300, 132400
1401/12/24, 122750, 125550
1401/12/23, 118184, 123999
1401/12/22, 113811, 116000
1401/12/21, 108006, 115501
1401/12/20, 107707, 112500
1401/12/16, 118200, 123500
1401/12/15, 123000, 126400
1401/12/14, 129141, 136000
1401/12/13, 132000, 140000
1401/12/10, 130013, 133800
1401/12/09, 136200, 140000
1401/12/08, 136001, 145000
1401/12/07, 140688, 149000
1401/12/06, 139112, 146099
1401/12/03, 131001, 135720
1401/12/02, 125590, 133080
1401/12/01, 130120, 138797
1401/11/30, 127400, 134599
1401/11/26, 121100, 125195
1401/11/25, 118500, 121900
1401/11/24, 117253, 118990
1401/11/23, 114000, 118650
1401/11/19, 113358, 114500
1401/11/18, 113000, 114299
1401/11/17, 113000, 114479
1401/11/16, 112100, 112960
1401/11/12, 112510, 114280
1401/11/11, 110501, 112450
1401/11/10, 112150, 113740
1401/11/09, 109519, 113252
1401/11/08, 105620, 111350
