date, min_price, max_price
1402/02/31, 2228, 2228
1402/02/30, 2211, 2211
1402/02/27, 2198, 2198
1401/11/26, 2079, 2170
1401/11/25, 2130, 2206
1401/11/24, 1981, 2124
1401/11/23, 1970, 2096
1401/11/19, 2011, 2100
1401/11/18, 1992, 2061
1401/11/17, 1890, 2038
1401/11/16, 1965, 2107
1401/11/12, 2003, 2101
1401/11/11, 1966, 2070
1401/11/10, 1962, 2090
1401/11/09, 2064, 2170
1401/11/08, 2166, 2266
1401/11/05, 2268, 2383
1401/11/04, 2291, 2446
1401/11/03, 2307, 2439
1401/11/02, 2371, 2533
1401/11/01, 2375, 2590
1401/10/28, 2495, 2495
1401/10/27, 2377, 2377
1401/10/26, 2184, 2270
1401/10/24, 2131, 2221
1401/10/21, 2115, 2243
1401/10/20, 2095, 2219
1401/10/19, 2100, 2219
1401/10/18, 2150, 2230
1401/10/17, 2122, 2217
1401/10/14, 2125, 2185
1401/10/13, 2100, 2228
1401/10/12, 2055, 2220
1401/10/11, 2094, 2249
1401/10/10, 2098, 2270
1401/10/07, 2150, 2227
1401/10/05, 2080, 2122
1401/10/04, 1945, 2048
1401/10/03, 1907, 1990
1401/09/30, 1905, 1977
1401/09/29, 1893, 1999
1401/09/28, 1924, 1999
1401/09/27, 1890, 1988
1401/09/26, 1851, 1910
1401/09/23, 1855, 1925
1401/09/22, 1876, 1930
1401/09/21, 1800, 1869
1401/09/20, 1707, 1814
1401/09/19, 1710, 1780
1401/09/16, 1759, 1804
1401/09/15, 1737, 1817
1401/09/14, 1703, 1800
1401/09/13, 1743, 1809
1401/09/12, 1729, 1818
1401/09/09, 1789, 1870
1401/09/08, 1841, 1919
1401/09/07, 1860, 1950
1401/09/06, 1813, 1900
1401/09/05, 1820, 1901
1401/09/02, 1790, 1924
1401/09/01, 1842, 1899
1401/08/30, 1810, 1910
1401/08/29, 1788, 1890
1401/08/28, 1701, 1831
1401/08/23, 1730, 1800
1401/08/22, 1761, 1837
1401/08/21, 1800, 1910
1401/08/18, 1806, 1917
1401/08/17, 1850, 1973
1401/08/16, 1900, 2005
1401/08/15, 1864, 1968
1401/08/14, 1907, 1943
1401/08/11, 1793, 1856
1401/08/10, 1723, 1800
1401/08/09, 1721, 1790
1401/08/08, 1681, 1800
1401/08/07, 1704, 1825
1401/08/04, 1727, 1834
1401/08/03, 1673, 1790
1401/08/02, 1659, 1765
1401/08/01, 1700, 1800
1401/07/30, 1701, 1819
1401/07/27, 1742, 1848
1401/07/26, 1770, 1855
1401/07/25, 1652, 1798
1401/07/24, 1698, 1800
1401/07/23, 1784, 1900
1401/07/20, 1834, 1882
1401/07/19, 1720, 1857
1401/07/18, 1752, 1820
1401/07/17, 1830, 1940
1401/07/16, 1923, 1954
1401/07/12, 1929, 1929
1401/07/11, 1939, 1939
1401/07/10, 1995, 2008
1401/07/09, 2047, 2258
1401/07/06, 2089, 2177
1401/07/04, 1960, 2090
1401/07/02, 1892, 2026
1401/06/30, 1816, 1937
1401/06/29, 1699, 1852
1401/06/28, 1701, 1770
1401/06/27, 1619, 1750
1401/06/23, 1577, 1680
1401/06/22, 1511, 1613
1401/06/21, 1500, 1560
1401/06/20, 1478, 1547
1401/06/19, 1499, 1575
1401/06/16, 1521, 1635
1401/06/15, 1556, 1619
1401/06/14, 1545, 1608
1401/06/13, 1491, 1580
1401/06/12, 1506, 1598
1401/06/09, 1555, 1650
1401/06/08, 1562, 1623
1401/06/07, 1470, 1558
1401/06/06, 1450, 1514
1401/06/02, 1441, 1511
1401/06/01, 1429, 1498
1401/05/31, 1411, 1476
1401/05/30, 1421, 1478
1401/05/29, 1440, 1498
1401/05/26, 1456, 1505
1401/05/25, 1455, 1538
1401/05/24, 1497, 1544
1401/05/23, 1496, 1538
1401/05/22, 1472, 1547
1401/05/19, 1440, 1520
1401/05/18, 1430, 1502
1401/05/15, 1468, 1515
1401/05/12, 1421, 1484
1401/05/11, 1430, 1489
1401/05/10, 1431, 1490
1401/05/09, 1420, 1490
1401/05/08, 1444, 1500
1401/05/05, 1461, 1498
1401/05/04, 1460, 1520
1401/05/03, 1470, 1540
1401/05/02, 1482, 1537
1401/05/01, 1500, 1550
1401/04/29, 1498, 1540
1401/04/28, 1485, 1537
1401/04/26, 1470, 1537
1401/04/25, 1479, 1547
1401/04/22, 1501, 1560
1401/04/21, 1487, 1553
1401/04/20, 1500, 1594
1401/04/18, 1480, 1590
1401/04/15, 1496, 1564
1401/04/14, 1521, 1583
1401/04/13, 1481, 1580
1401/04/12, 1463, 1537
1401/04/11, 1431, 1540
1401/04/08, 1506, 1544
1401/04/07, 1490, 1549
1401/04/06, 1463, 1550
1401/04/05, 1479, 1545
1401/04/04, 1476, 1549
1401/04/01, 1480, 1522
1401/03/31, 1503, 1550
1401/03/30, 1501, 1590
1401/03/29, 1510, 1600
1401/03/28, 1525, 1632
1401/03/25, 1561, 1650
1401/03/24, 1556, 1615
1401/03/23, 1596, 1658
1401/03/22, 1577, 1652
1401/03/21, 1600, 1719
1401/03/18, 1593, 1688
1401/03/17, 1590, 1696
1401/03/16, 1624, 1770
1401/03/11, 1625, 1689
1401/03/10, 1561, 1605
1401/03/09, 1487, 1560
1401/03/08, 1476, 1550
1401/03/07, 1559, 1680
1401/03/04, 1585, 1701
1401/03/03, 1610, 1690
1401/03/02, 1666, 1751
1401/03/01, 1730, 1833
1401/02/27, 1725, 1840
1401/02/26, 1696, 1839
1401/02/25, 1709, 1796
1401/02/24, 1737, 1806
1401/02/21, 1743, 1853
1401/02/20, 1750, 1890
1401/02/19, 1805, 1909
1401/02/18, 1683, 1836
1401/02/17, 1690, 1797
1401/02/12, 1720, 1792
1401/02/11, 1680, 1765
1401/02/10, 1672, 1757
1401/02/07, 1700, 1829
1401/02/06, 1704, 1814
1401/02/05, 1702, 1796
1401/02/04, 1745, 1822
1401/01/31, 1644, 1739
1401/01/30, 1520, 1651
1401/01/29, 1522, 1581
1401/01/28, 1481, 1570
1401/01/27, 1480, 1540
1401/01/24, 1446, 1524
1401/01/23, 1450, 1520
1401/01/22, 1501, 1573
1401/01/21, 1485, 1568
1401/01/20, 1518, 1620
1401/01/17, 1519, 1626
1401/01/16, 1482, 1595
1401/01/15, 1481, 1579
1401/01/14, 1471, 1539
1401/01/10, 1433, 1500
1401/01/09, 1435, 1543
1401/01/07, 1420, 1474
1401/01/06, 1362, 1411
1400/12/28, 1330, 1380
1400/12/25, 1291, 1350
1400/12/24, 1285, 1334
1400/12/23, 1281, 1321
1400/12/22, 1290, 1340
1400/12/21, 1275, 1339
1400/12/18, 1273, 1323
1400/12/17, 1281, 1348
1400/12/16, 1275, 1364
1400/12/15, 1282, 1364
